acquire	grid	tile	per_writer_pass	no_fence_mismatch	thread0_pass	no_barrier_mismatch
0	64	1024	50	50	50	50
0	64	4096	50	50	50	50
0	128	1024	50	50	50	50
0	128	4096	50	50	50	0
0	256	1024	50	50	50	50
0	256	4096	50	50	50	50
