index	key	placement	tile_m	tile_n	tile_k	stages	split_k	kappa	residency	floor_ns	predicted_ns	source	cg
0	64x128x16s2split32kappa1r3	wavefront	64	128	16	2	32	1	3	2.41276e+06	2.74424e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand0.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand0.mlir
1	64x128x16s2split32kappa2r3	wavefront	64	128	16	2	32	2	3	2.41276e+06	2.74424e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand1.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand1.mlir
2	64x128x16s2split32kappa4r3	wavefront	64	128	16	2	32	4	3	2.41276e+06	2.74424e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand2.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand2.mlir
3	32x16x64s2split4kappa1r4	wavefront	32	16	64	2	4	1	4	3.22932e+06	3.55555e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand3.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand3.mlir
4	32x16x64s2split4kappa2r4	wavefront	32	16	64	2	4	2	4	3.22932e+06	3.55555e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand4.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand4.mlir
5	32x16x64s2split4kappa4r4	wavefront	32	16	64	2	4	4	4	3.22932e+06	3.55555e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand5.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand5.mlir
6	64x128x16s2split16kappa1r2	wavefront	64	128	16	2	16	1	2	2.07187e+06	2.36897e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand6.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand6.mlir
7	64x128x16s2split16kappa2r2	wavefront	64	128	16	2	16	2	2	2.07187e+06	2.36897e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand7.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand7.mlir
8	64x128x16s2split16kappa4r2	wavefront	64	128	16	2	16	4	2	2.07187e+06	2.36897e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand8.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand8.mlir
9	32x16x64s2split8kappa1r4	eft	32	16	64	2	8	1	4	3.41771e+06	3.82428e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand9.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand9.mlir
10	32x16x64s2split8kappa2r4	eft	32	16	64	2	8	2	4	3.41771e+06	3.82922e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand10.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand10.mlir
11	32x16x64s2split8kappa4r4	eft	32	16	64	2	8	4	4	3.41771e+06	3.82922e+06	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand11.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/real_s4/auto.cu.cand11.mlir
