m	n	k	stages	split	kappa	residency	status	work_lb_ns	cp_lb_ns	priority_ns	estimated_work_ns	estimated_stage_sum_ns	register_seed	key
32	16	16	2	1	1	1	project	8134.407757575757	0.0	685096.000001	87692288.0	359160.0	88	32x16x16s2k1_k1_r1
32	16	16	2	1	1	2	project	8134.407757575757	0.0	359160.000001	87692288.0	359160.0	88	32x16x16s2k1_k1_r2
32	16	16	2	1	1	5	project	8134.407757575757	0.0	359160.000001	87692288.0	359160.0	88	32x16x16s2k1_k1_r5
32	16	16	2	1	2	1	project	8134.407757575757	0.0	685096.000002	87692288.0	359160.0	88	32x16x16s2k1_k2_r1
32	16	16	2	1	2	2	project	8134.407757575757	0.0	359160.000002	87692288.0	359160.0	88	32x16x16s2k1_k2_r2
32	16	16	2	1	2	5	project	8134.407757575757	0.0	359160.000002	87692288.0	359160.0	88	32x16x16s2k1_k2_r5
32	16	16	2	1	4	1	project	8134.407757575757	0.0	685096.000004	87692288.0	359160.0	88	32x16x16s2k1_k4_r1
32	16	16	2	1	4	2	project	8134.407757575757	0.0	359160.000004	87692288.0	359160.0	88	32x16x16s2k1_k4_r2
32	16	16	2	1	4	5	project	8134.407757575757	0.0	359160.000004	87692288.0	359160.0	88	32x16x16s2k1_k4_r5
32	16	32	2	1	1	1	project	8134.407757575757	0.0	685096.000001	87692288.0	359160.0	88	32x16x32s2k1_k1_r1
32	16	32	2	1	1	2	project	8134.407757575757	0.0	359160.000001	87692288.0	359160.0	88	32x16x32s2k1_k1_r2
32	16	32	2	1	1	5	project	8134.407757575757	0.0	359160.000001	87692288.0	359160.0	88	32x16x32s2k1_k1_r5
32	16	32	2	1	2	1	project	8134.407757575757	0.0	685096.000002	87692288.0	359160.0	88	32x16x32s2k1_k2_r1
32	16	32	2	1	2	2	project	8134.407757575757	0.0	359160.000002	87692288.0	359160.0	88	32x16x32s2k1_k2_r2
32	16	32	2	1	2	5	project	8134.407757575757	0.0	359160.000002	87692288.0	359160.0	88	32x16x32s2k1_k2_r5
32	16	32	2	1	4	1	project	8134.407757575757	0.0	685096.000004	87692288.0	359160.0	88	32x16x32s2k1_k4_r1
32	16	32	2	1	4	2	project	8134.407757575757	0.0	359160.000004	87692288.0	359160.0	88	32x16x32s2k1_k4_r2
32	16	32	2	1	4	5	project	8134.407757575757	0.0	359160.000004	87692288.0	359160.0	88	32x16x32s2k1_k4_r5
32	16	64	2	1	1	1	project	8134.407757575757	0.0	685096.000001	87692288.0	359160.0	0	32x16x64s2k1_k1_r1
32	16	64	2	1	1	2	project	8134.407757575757	0.0	359160.000001	87692288.0	359160.0	0	32x16x64s2k1_k1_r2
32	16	64	2	1	2	1	project	8134.407757575757	0.0	685096.000002	87692288.0	359160.0	0	32x16x64s2k1_k2_r1
32	16	64	2	1	2	2	project	8134.407757575757	0.0	359160.000002	87692288.0	359160.0	0	32x16x64s2k1_k2_r2
32	16	64	2	1	4	1	project	8134.407757575757	0.0	685096.000004	87692288.0	359160.0	0	32x16x64s2k1_k4_r1
32	16	64	2	1	4	2	project	8134.407757575757	0.0	359160.000004	87692288.0	359160.0	0	32x16x64s2k1_k4_r2
128	128	16	3	1	1	1	project	8134.407757575757	0.0	884322.000001	54316032.0	884322.0	220	128x128x16s3k1_k1_r1
128	128	16	3	1	1	2	project	8134.407757575757	0.0	884322.000001	54316032.0	884322.0	220	128x128x16s3k1_k1_r2
128	128	16	3	1	2	1	project	8134.407757575757	0.0	884322.000002	54316032.0	884322.0	220	128x128x16s3k1_k2_r1
128	128	16	3	1	2	2	project	8134.407757575757	0.0	884322.000002	54316032.0	884322.0	220	128x128x16s3k1_k2_r2
128	128	16	3	1	4	1	project	8134.407757575757	0.0	884322.000004	54316032.0	884322.0	220	128x128x16s3k1_k4_r1
128	128	16	3	1	4	2	project	8134.407757575757	0.0	884322.000004	54316032.0	884322.0	220	128x128x16s3k1_k4_r2
