block	smid	anchors	ns_per_cycle	implied_mhz	clk0	t0_ns	residual_rms_ns	residual_max_ns
0	0	256	0.332729311	3005.446	46772928632084	1789214880106542016	196.0	474.7
1	1	256	0.332729914	3005.441	46772928632097	1789214880106542016	198.3	476.2
2	22	256	0.332730049	3005.439	46772928632072	1789214880106542016	194.2	439.3
3	23	256	0.332729664	3005.443	46772928632076	1789214880106542016	194.2	438.8
4	44	256	0.332729237	3005.447	46772928632043	1789214880106541984	195.8	485.3
5	45	256	0.332728429	3005.454	46772928632050	1789214880106541984	196.4	484.8
6	66	256	0.332730671	3005.434	46772928632034	1789214880106541984	196.3	432.2
7	67	256	0.332731355	3005.428	46772928632037	1789214880106541984	195.3	433.8
8	88	256	0.332734848	3005.396	46772928632057	1789214880106542016	203.6	457.9
9	89	256	0.332733432	3005.409	46772928632063	1789214880106542016	204.2	459.6
10	110	256	0.332732114	3005.421	46772928632035	1789214880106541984	202.7	467.0
11	111	256	0.332732618	3005.416	46772928632038	1789214880106541984	202.9	445.9
12	2	256	0.332433702	3008.119	46794167036321	1789214880106542048	104.5	261.4
13	3	256	0.332434524	3008.111	46794167036334	1789214880106542048	104.8	261.4
14	24	256	0.332433761	3008.118	46794167036306	1789214880106542048	97.4	270.2
15	25	256	0.332435090	3008.106	46794167036312	1789214880106542048	99.2	274.1
16	46	256	0.332434542	3008.111	46794167036253	1789214880106542016	101.1	256.5
17	47	256	0.332435006	3008.107	46794167036258	1789214880106542016	101.2	256.5
18	68	256	0.332436030	3008.098	46794167036199	1789214880106541984	101.5	269.8
19	69	256	0.332436767	3008.091	46794167036210	1789214880106541984	100.5	269.5
20	90	256	0.332434936	3008.107	46794167036277	1789214880106542016	101.3	248.5
21	91	256	0.332434238	3008.114	46794167036290	1789214880106542016	99.7	267.2
22	112	256	0.332433304	3008.122	46794167036213	1789214880106541984	98.0	270.7
23	113	256	0.332433870	3008.117	46794167036248	1789214880106542016	96.5	234.2
24	4	256	0.332776026	3005.024	46724479287211	1789214880106542048	215.0	513.1
25	5	256	0.332774665	3005.036	46724479287214	1789214880106542048	213.3	516.9
26	26	256	0.332773103	3005.051	46724479287183	1789214880106542048	219.7	503.4
27	27	256	0.332776112	3005.023	46724479287191	1789214880106542048	215.2	509.6
28	48	256	0.332771736	3005.063	46724479287133	1789214880106542016	215.8	488.5
29	49	256	0.332772700	3005.054	46724479287147	1789214880106542016	218.6	491.2
30	70	256	0.332771236	3005.067	46724479287069	1789214880106541984	218.6	521.1
31	71	256	0.332770910	3005.070	46724479287089	1789214880106541984	218.4	521.7
32	92	256	0.332775131	3005.032	46724479287158	1789214880106542016	216.4	500.7
33	93	256	0.332775877	3005.026	46724479287171	1789214880106542016	213.6	473.4
34	114	256	0.332774049	3005.042	46724479287097	1789214880106542016	215.7	522.6
