block	smid	globaltimer_ns	clock64	delta_from_min_ns
0	0	1789214879832100224	46772513963017	32
1	1	1789214879832100224	46772513963021	32
2	22	1789214879832100224	46772513963015	32
3	23	1789214879832100224	46772513963019	32
4	44	1789214879832100224	46772513963014	32
5	45	1789214879832100224	46772513963018	32
6	66	1789214879832100192	46772513963010	0
7	67	1789214879832100192	46772513963013	0
8	88	1789214879832100224	46772513963012	32
9	89	1789214879832100224	46772513963018	32
10	110	1789214879832100224	46772513963011	32
11	111	1789214879832100224	46772513963014	32
12	2	1789214879832100288	46793751243700	96
13	3	1789214879832100320	46793751243838	128
14	24	1789214879832100256	46793751243610	64
15	25	1789214879832100288	46793751243717	96
16	46	1789214879832100288	46793751243753	96
17	47	1789214879832100192	46793751243454	0
18	68	1789214879832100320	46793751243790	128
19	69	1789214879832100192	46793751243472	0
20	90	1789214879832100288	46793751243745	96
21	91	1789214879832100320	46793751243846	128
22	112	1789214879832100288	46793751243773	96
23	113	1789214879832100192	46793751243463	0
24	4	1789214879832100320	46724064618466	128
25	5	1789214879832100192	46724064618154	0
26	26	1789214879832100256	46724064618351	64
27	27	1789214879832100320	46724064618473	128
28	48	1789214879832100256	46724064618368	64
29	49	1789214879832100320	46724064618506	128
30	70	1789214879832100192	46724064618147	0
31	71	1789214879832100192	46724064618176	0
32	92	1789214879832100256	46724064618356	64
33	93	1789214879832100320	46724064618494	128
34	114	1789214879832100320	46724064618519	128
35	115	1789214879832100192	46724064618166	0
36	6	1789214879832100192	46785980212349	0
37	7	1789214879832100224	46785980212377	32
38	28	1789214879832100320	46785980212727	128
39	29	1789214879832100288	46785980212597	96
40	50	1789214879832100192	46785980212334	0
41	51	1789214879832100192	46785980212372	0
42	72	1789214879832100192	46785980212345	0
43	73	1789214879832100192	46785980212377	0
44	94	1789214879832100320	46785980212714	128
45	95	1789214879832100192	46785980212358	0
46	116	1789214879832100352	46785980212742	160
47	117	1789214879832100192	46785980212365	0
48	8	1789214879832100224	46742268100640	32
49	9	1789214879832100224	46742268100663	32
50	30	1789214879832100192	46742268100613	0
51	31	1789214879832100224	46742268100654	32
52	52	1789214879832100192	46742268100630	0
53	53	1789214879832100224	46742268100661	32
54	74	1789214879832100192	46742268100640	0
55	75	1789214879832100224	46742268100664	32
56	96	1789214879832100224	46742268100645	32
57	97	1789214879832100224	46742268100665	32
58	118	1789214879832100320	46742268100943	128
59	119	1789214879832100192	46742268100623	0
60	10	1789214879832100320	46705066627778	128
61	11	1789214879832100192	46705066627425	0
62	32	1789214879832100320	46705066627803	128
63	33	1789214879832100192	46705066627445	0
64	54	1789214879832100256	46705066627589	64
65	55	1789214879832100288	46705066627723	96
66	76	1789214879832100256	46705066627597	64
67	77	1789214879832100288	46705066627724	96
68	98	1789214879832100320	46705066627787	128
69	99	1789214879832100192	46705066627434	0
70	120	1789214879832100288	46705066627690	96
71	121	1789214879832100320	46705066627820	128
72	12	1789214879832100256	46493773287876	64
73	13	1789214879832100288	46493773287951	96
74	34	1789214879832100224	46493773287824	32
75	35	1789214879832100256	46493773287905	64
76	56	1789214879832100224	46493773287781	32
77	57	1789214879832100224	46493773287834	32
78	78	1789214879832100224	46493773287783	32
79	79	1789214879832100224	46493773287782	32
80	100	1789214879832100256	46493773287887	64
81	101	1789214879832100288	46493773287963	96
82	122	1789214879832100224	46493773287825	32
83	123	1789214879832100256	46493773287914	64
84	14	1789214879832100192	46421225352065	0
85	15	1789214879832100224	46421225352096	32
86	36	1789214879832100192	46421225352085	0
87	37	1789214879832100224	46421225352107	32
88	58	1789214879832100288	46421225352319	96
89	59	1789214879832100320	46421225352454	128
90	80	1789214879832100288	46421225352332	96
91	81	1789214879832100192	46421225352063	0
92	102	1789214879832100192	46421225352075	0
93	103	1789214879832100224	46421225352101	32
94	124	1789214879832100320	46421225352439	128
95	125	1789214879832100192	46421225352093	0
96	16	1789214879832100192	46524888942738	0
97	17	1789214879832100224	46524888942760	32
98	38	1789214879832100224	46524888942750	32
99	39	1789214879832100224	46524888942766	32
100	60	1789214879832100320	46524888943044	128
101	61	1789214879832100192	46524888942730	0
102	82	1789214879832100320	46524888943053	128
103	83	1789214879832100192	46524888942738	0
104	104	1789214879832100192	46524888942743	0
105	105	1789214879832100224	46524888942762	32
106	126	1789214879832100192	46524888942718	0
107	127	1789214879832100224	46524888942757	32
108	18	1789214879832100320	46780742586066	128
109	19	1789214879832100192	46780742585687	0
110	40	1789214879832100288	46780742585988	96
111	41	1789214879832100352	46780742586092	160
112	62	1789214879832100288	46780742586000	96
113	63	1789214879832100256	46780742585899	64
114	84	1789214879832100256	46780742585898	64
115	85	1789214879832100288	46780742586008	96
116	106	1789214879832100320	46780742586075	128
117	107	1789214879832100192	46780742585695	0
118	20	1789214879832100224	46746221332256	32
119	21	1789214879832100224	46746221332269	32
120	42	1789214879832100224	46746221332255	32
121	43	1789214879832100224	46746221332263	32
122	64	1789214879832100224	46746221332251	32
123	65	1789214879832100224	46746221332258	32
124	86	1789214879832100224	46746221332250	32
125	87	1789214879832100224	46746221332255	32
126	108	1789214879832100224	46746221332258	32
127	109	1789214879832100224	46746221332278	32
