stage	event_offset	event_flags
0	0	2
1	4	1
2	5	1
3	6	1
4	7	2
5	23	2
6	39	1
7	40	1
8	41	2
9	57	2
10	61	2
11	65	2
12	73	2
13	81	2
14	85	2
15	89	2
16	93	1
17	94	1
18	95	1
19	96	2
20	112	2
21	128	1
22	129	1
23	130	2
24	146	2
25	150	2
26	154	2
27	162	2
28	170	2
29	174	2
30	178	2
31	182	1
32	183	1
33	184	1
34	185	2
35	201	2
36	217	1
37	218	1
38	219	2
39	235	2
40	239	2
41	243	2
42	251	2
43	259	2
44	263	2
45	267	2
46	271	1
47	272	1
48	273	1
49	274	2
50	290	2
51	306	1
52	307	1
53	308	2
54	324	2
55	328	2
56	332	2
57	340	2
58	348	2
59	352	0
