path	kind	files
CMakeLists.txt	code	1
include/tilemega/Codegen/tasks/GeneratedLlamaRuntime.cuh	code	1
include/tilemega/Codegen/tasks/ModelHarness.cuh	code	1
include/tilemega/Codegen/tasks/ModelRuntime.h	code	1
include/tilemega/Codegen/tasks/Placement.cuh	code	1
include/tilemega/Dialect/CouplingGraph/CGOps.h	code	1
include/tilemega/Dialect/CouplingGraph/CGOps.td	code	1
include/tilemega/Dialect/CouplingGraph/PlacementPlan.h	code	1
include/tilemega/Solver/BalancedPlacement.h	code	1
include/tilemega/Solver/CoResidency.h	code	1
include/tilemega/Solver/EftPlacement.h	code	1
include/tilemega/Solver/ExecutionSimulator.h	code	1
include/tilemega/Solver/HopCurve.h	code	1
include/tilemega/Solver/PlanMaterialize.h	code	1
include/tilemega/Solver/VariantSchedule.h	code	1
lib/Codegen/Codegen.cpp	code	1
lib/Dialect/CouplingGraph/CGDialect.cpp	code	1
lib/Dialect/CouplingGraph/PlacementPlan.cpp	code	1
lib/Frontend/Frontend.cpp	code	1
lib/Solver/BalancedPlacement.cpp	code	1
lib/Solver/EftPlacement.cpp	code	1
lib/Solver/ExecutionSimulator.cpp	code	1
lib/Solver/PlanMaterialize.cpp	code	1
lib/Solver/VariantSchedule.cpp	code	1
test/Dialect/CouplingGraph/placement_plan.mlir	code	1
test/Dialect/CouplingGraph/placement_plan_invalid.mlir	code	1
test/unit/eft_placement_test.cpp	code	1
test/unit/execution_simulator_test.cpp	code	1
test/unit/plan_contract_test.cpp	code	1
test/unit/plan_table_test.cpp	code	1
docs/experiments/PLACE_EFT	experiment	490
docs/experiments/PLACE_ROTATE	experiment	3770
docs/experiments/PLAN_CONTRACT	experiment	45
docs/experiments/REALMODEL	experiment	12
docs/experiments/SIMULATOR	experiment	171
docs/experiments/TRACE_V2	experiment	921
docs/experiments/sm120_place_eft_retry_20260913.md	experiment	1
docs/experiments/sm120_round_one_20260912.md	experiment	1
docs/experiments/sm120_simulator_place_eft_20260913.md	experiment	1
