id	status	evidence
K1	⛔	superseded by e7b4c5cc: the grid-stride owner assignment left the harness for the Plan materializer (EX-E1); evidence now: include/tilemega/Codegen/tasks/Placement.cuh:30; include/tilemega/Codegen/tasks/Placement.cuh:65
K2	✅	include/tilemega/Codegen/tasks/AddTaskBody.h:32; include/tilemega/Codegen/tasks/ElementwiseTaskBody.h:66; include/tilemega/Codegen/tasks/FusedGemmTaskBody.h:106; include/tilemega/Codegen/tasks/FusedRoPEKVTaskBody.h:64; include/tilemega/Codegen/tasks/GemmCombineTaskBody.h:94; include/tilemega/Codegen/tasks/GemmCombineTaskBody.h:99
K3	⛔	superseded by e7b4c5cc: queues are built from sigma, so the stage-major ownership loop is gone (EX-E1); evidence now: 
K4	⛔	superseded by e7b4c5cc: `placed_tasks` is gone; the harness reads the Plan's owner and slot; evidence now: worker uses ; slot reads 0
K5	⛔	superseded by e7b4c5cc: slot is read now, at lib/Solver/PlanMaterialize.cpp, which is what STATUS G14 asked for; evidence now: hits lib/Solver/PlanMaterialize.cpp:253; non-write hits ['lib/Solver/PlanMaterialize.cpp:253']
K6	✅	lib/Frontend/Frontend.cpp:761; lib/Frontend/Frontend.cpp:762; solver writes 0
K7	⛔	superseded by 157b5960: `BuildVariantSchedule` moved from Codegen into the Solver (EX-E1); evidence now: lib/Codegen/Codegen.cpp:None; include/tilemega/Codegen/tasks/ModelRuntime.h:159
K8	✅	comparator lines lib/Solver/ListScheduler.cpp:27; lib/Solver/ListScheduler.cpp:37; lib/Solver/ListScheduler.cpp:43; lib/Solver/ListScheduler.cpp:48; lib/Solver/ListScheduler.cpp:49; lib/Solver/ListScheduler.cpp:50
K9	✅	include/tilemega/Codegen/tasks/ModelHarness.cuh wait/run/notify at lines [720, 742, 754]
K10	✅	NotifyTask fence/barrier/arrive at [592, 593, 604]; ArriveEvent atomicAdd at 555
K11	✅	include/tilemega/Codegen/tasks/EventSync.cuh:7; include/tilemega/Codegen/tasks/EventSync.cuh:18
K12	⛔	superseded by 11c0199f: per-slot trace timestamps added a sixth barrier, in the L2 kernel; evidence now: barriers in WaitTaskDependencies / L2 kernel / NotifyTask = [1, 3, 2]
K13	✅	include/tilemega/Codegen/tasks/ModelHarness.cuh:1755; include/tilemega/Codegen/tasks/ModelHarness.cuh:1716
K14	✅	include/tilemega/Codegen/tasks/ModelRuntime.h:234; include/tilemega/Codegen/tasks/ModelRuntime.h:249; include/tilemega/Codegen/tasks/ModelHarness.cuh:729; include/tilemega/Codegen/tasks/ModelHarness.cuh:753
K15	✅	lib/Solver/ChainDP.cpp:32; lib/Solver/ChainDP.cpp:189; lib/Solver/ChainDP.cpp:292; lib/Solver/ChainDP.cpp:294
K16	✅	lib/Solver/CostModel.cpp:818; lib/Solver/CostModel.cpp:869; lib/Solver/CostModel.cpp:919
K17	✅	lib/Solver/BalancedPlacement.cpp:37
K18	⛔	superseded by 17b014d5: `kLastTaskOfStage` was deleted as an unread flag (EX-C1); evidence now: hits ; reads []
K19	✅	includes []
K20	✅	mainloop at 468, epilogue at 496
K21	✅	include/tilemega/Solver/RuntimeProjection.h:66
K22	✅	include/tilemega/Codegen/tasks/ModelHarness.cuh:259
K23	✅	all 20 medians found in docs/experiments/L2_ATTRIB/result.md; missing []
K24	✅	missing []
K25	✅	missing []; F-90 128 threads True
K26	✅	missing []
K27	✅	include/tilemega/Codegen/tasks/TaskBase.h:59; include/tilemega/Codegen/tasks/TaskBase.h:64; include/tilemega/Codegen/tasks/TaskBase.h:65; include/tilemega/Codegen/tasks/TaskBase.h:93
K28	✅	last base finding F-125
K29	✅	base §6 tree lists include/tilemega/tasks/; actual include/tilemega/Codegen/tasks
P1	✅	gqa2/4: ceiling 13.6% / ratio 2.2x; gqa2/128: ceiling 9.4% / ratio 2.5x; mha4/4: ceiling 12.1% / ratio 2.1x; mha4/128: ceiling 9.1% / ratio 2.9x
