model	variant	seq	past	term	paired_process_rounds	median_ns	paired_bootstrap_low_ns	paired_bootstrap_high_ns	wilcoxon_exact_p	max_abs_closure_ns
gqa2	base	1	3	notify	25	66464.0	65344.0	66688.0	5.960464477539063e-08	0.0
gqa2	base	1	3	wait	25	22560.0	21696.0	23552.0	5.960464477539063e-08	0.0
gqa2	base	1	3	barrier	25	36928.0	35840.0	37344.0	5.960464477539063e-08	0.0
gqa2	base	1	3	loop	25	-10464.0	-11360.0	-9312.0	5.960464477539063e-08	0.0
gqa2	base	1	3	gap	25	41760.0	40896.0	43008.0	5.960464477539063e-08	0.0
gqa2	base	4	3	notify	25	66272.0	64768.0	66848.0	5.960464477539063e-08	0.0
gqa2	base	4	3	wait	25	24576.0	23392.0	24992.0	5.960464477539063e-08	0.0
gqa2	base	4	3	barrier	25	35808.0	35008.0	36128.0	5.960464477539063e-08	0.0
gqa2	base	4	3	loop	25	-10560.0	-11264.0	-9664.0	5.960464477539063e-08	0.0
gqa2	base	4	3	gap	25	44032.0	43008.0	44800.0	5.960464477539063e-08	0.0
gqa2	base	16	3	notify	25	66560.0	65536.0	67584.0	5.960464477539063e-08	0.0
gqa2	base	16	3	wait	25	24576.0	24128.0	26496.0	5.960464477539063e-08	0.0
gqa2	base	16	3	barrier	25	34624.0	33888.0	35680.0	5.960464477539063e-08	0.0
gqa2	base	16	3	loop	25	-11104.0	-12128.0	-10240.0	5.960464477539063e-08	0.0
gqa2	base	16	3	gap	25	44864.0	43872.0	45056.0	5.960464477539063e-08	0.0
gqa2	base	128	3	notify	25	71456.0	70912.0	71680.0	5.960464477539063e-08	0.0
gqa2	base	128	3	wait	25	23840.0	23552.0	24576.0	5.960464477539063e-08	0.0
gqa2	base	128	3	barrier	25	40031.99999999994	39712.00000000006	40735.99999999994	5.960464477539063e-08	0.0
gqa2	base	128	3	loop	25	-5151.999999999942	-6080.0	-5120.0	5.960464477539063e-08	0.0
gqa2	base	128	3	gap	25	49984.0	49248.0	50240.0	5.960464477539063e-08	0.0
gqa2	base	512	3	notify	25	161088.0	159456.0	162048.0	5.960464477539063e-08	0.0
gqa2	base	512	3	wait	25	87040.0	83968.0	88384.0	5.960464477539063e-08	0.0
gqa2	base	512	3	barrier	25	106400.0	103712.0	108608.0	5.960464477539063e-08	0.0
gqa2	base	512	3	loop	25	5120.0	3360.0	7168.0	9.167194366455078e-05	0.0
gqa2	base	512	3	gap	25	146624.0	145728.0	147456.0	5.960464477539063e-08	0.0
gqa2	base	2048	3	notify	25	280577.0	268415.0	283520.0	5.960464477539063e-08	0.0
gqa2	base	2048	3	wait	25	174208.0	153503.0	180225.0	5.960464477539063e-08	0.0
gqa2	base	2048	3	barrier	25	289472.0	276448.99999999814	307008.0	5.960464477539063e-08	0.0
gqa2	base	2048	3	loop	25	183454.00000000186	173183.00000000186	192513.0	5.960464477539063e-08	0.0
gqa2	base	2048	3	gap	25	338177.0	322785.0	353024.0	5.960464477539063e-08	0.0
mha4	base	1	3	notify	25	123904.0	121856.0	127712.0	5.960464477539063e-08	0.0
mha4	base	1	3	wait	25	43008.0	40000.0	45056.0	5.960464477539062e-07	0.0
mha4	base	1	3	barrier	25	71456.0	70400.0	72704.0	5.960464477539063e-08	0.0
mha4	base	1	3	loop	25	-17472.0	-20480.0	-16384.0	5.960464477539063e-08	0.0
mha4	base	1	3	gap	25	76800.0	74752.0	79072.0	5.960464477539063e-08	0.0
mha4	base	4	3	notify	25	114752.0	113920.0	117600.0	5.960464477539063e-08	0.0
mha4	base	4	3	wait	25	44000.0	42176.0	46080.0	5.960464477539063e-08	0.0
mha4	base	4	3	barrier	25	68608.0	67680.0	69696.0	5.960464477539063e-08	0.0
mha4	base	4	3	loop	25	-15360.0	-16608.0	-14592.0	5.960464477539063e-08	0.0
mha4	base	4	3	gap	25	76672.0	74560.0	77664.0	5.960464477539063e-08	0.0
mha4	base	16	3	notify	25	116992.0	114816.0	118656.0	5.960464477539063e-08	0.0
mha4	base	16	3	wait	25	45056.0	44736.0	46464.0	5.960464477539063e-08	0.0
mha4	base	16	3	barrier	25	66624.0	65312.0	68640.0	5.960464477539063e-08	0.0
mha4	base	16	3	loop	25	-15104.0	-17408.0	-13600.0	5.960464477539063e-08	0.0
mha4	base	16	3	gap	25	79776.0	78528.0	80928.0	5.960464477539063e-08	0.0
mha4	base	128	3	notify	25	153344.0	153024.0	153664.0	5.960464477539063e-08	0.0
mha4	base	128	3	wait	25	40960.0	39776.0	41600.0	5.960464477539063e-08	0.0
mha4	base	128	3	barrier	25	69408.0	67904.0	70272.0	5.960464477539063e-08	0.0
mha4	base	128	3	loop	25	-8416.0	-8992.0	-7296.0	5.960464477539063e-08	0.0
mha4	base	128	3	gap	25	116640.0	116448.0	116864.0	5.960464477539063e-08	0.0
mha4	base	512	3	notify	25	366048.0	362496.0	368640.0	5.960464477539063e-08	0.0
mha4	base	512	3	wait	25	162624.0	161088.0	166784.0	5.960464477539063e-08	0.0
mha4	base	512	3	barrier	25	174144.0	173696.0	176224.0	5.960464477539063e-08	0.0
mha4	base	512	3	loop	25	6912.0	5600.0	8352.0	5.960464477539063e-08	0.0
mha4	base	512	3	gap	25	361120.0	360576.0	361632.0	5.960464477539063e-08	0.0
mha4	base	2048	3	notify	25	935936.0	855038.0	971710.0	5.960464477539063e-08	0.0
mha4	base	2048	3	wait	25	258019.0	210941.0	330177.0	5.960464477539063e-08	0.0
mha4	base	2048	3	barrier	25	581730.0	553856.0	597824.0	5.960464477539063e-08	0.0
