seq	past	kappa	stages	task_refs	waits	max_worker_tasks	event_ns	delta_from_k0_ns
1	3	0	60	236	228	60	172405.1853864124	0
4	3	0	60	512	588	60	173749.01778656972	0
16	3	0	60	1616	2112	60	179168.42018730444	0
128	3	0	60	11920	9168	80	225988.63031849652	0
512	3	0	60	47680	11328	212	376763.14541346941	0
2048	3	0	60	190720	12288	764	975831.69264086219	0
1	3	1	60	236	257	60	172420.4009959726	15.215609560196754
4	3	1	60	512	1076	60	174005.05976813473	256.04198156500934
16	3	1	60	1616	4628	60	180488.50548570117	1320.0852983967343
128	3	1	60	11920	33092	80	238540.9835294834	12552.353210986883
512	3	1	60	47680	117320	212	432374.62432748557	55611.478914016159
2048	3	1	60	190720	453920	764	1207545.4885476739	231713.79590681172
1	3	2	60	236	275	60	172429.84516742377	24.659781011374434
4	3	2	60	512	888	60	173906.4206440892	157.4028575194825
16	3	2	60	1616	3552	60	179923.95390339795	755.53371609351598
128	3	2	60	11920	23296	80	233401.2555552806	7412.6252367840789
512	3	2	60	47680	77880	212	411681.39532559109	34918.249912121682
2048	3	2	60	190720	296160	764	1124772.572540096	148940.87989923381
