slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations
27	0	32	16	32	1	3072	1789817830292271104	6099434445611	1789817830292272128	6099434447917	1789817830292272128	6099434448581	1789817830292280320	6099434469894	1789817830292280320	6099434472349	1789817830292281344	6099434472855	6099434449435	6099434469704	7055	16
28	4	0	0	0	1	0	1789817830292288512	6099434493381	1789817830292288512	6099434494977	1789817830292288512	6099434494977	1789817830292291584	6099434501732	1789817830292291584	6099434501767	1789817830292291584	6099434501902	0	0	0	0
29	0	32	16	32	1	3072	1789817830292293632	6099434507793	1789817830292294656	6099434509771	1789817830292294656	6099434510762	1789817830292306944	6099434545337	1789817830292307968	6099434547702	1789817830292307968	6099434548086	6099434510857	6099434545235	13886	32
30	1	0	0	0	1	0	1789817830292312064	6099434559473	1789817830292313088	6099434560826	1789817830292313088	6099434560826	1789817830292314112	6099434563385	1789817830292314112	6099434565190	1789817830292314112	6099434565324	0	0	0	0
31	0	32	16	32	1	3072	1789817830292316160	6099434570543	1789817830292317184	6099434572815	1789817830292317184	6099434573720	1789817830292324352	6099434592337	1789817830292324352	6099434594206	1789817830292325376	6099434594534	6099434573895	6099434592247	7029	16
32	2	0	0	0	1	0	1789817830292329472	6099434606003	1789817830292329472	6099434608055	1789817830292329472	6099434608055	1789817830292330496	6099434609605	1789817830292330496	6099434609638	1789817830292330496	6099434609991	0	0	0	0
33	3	0	0	0	1	0	1789817830292332544	6099434614351	1789817830292332544	6099434615439	1789817830292332544	6099434615439	1789817830292332544	6099434616732	1789817830292332544	6099434616763	1789817830292332544	6099434616892	0	0	0	0
34	5	0	0	0	1	0	1789817830292336640	6099434626358	1789817830292337664	6099434628374	1789817830292337664	6099434628374	1789817830292361216	6099434694072	1789817830292361216	6099434694105	1789817830292361216	6099434694245	0	0	0	0
35	0	32	16	32	1	3072	1789817830292364288	6099434704331	1789817830292365312	6099434706623	1789817830292366336	6099434708421	1789817830292375552	6099434734538	1789817830292376576	6099434738518	1789817830292376576	6099434738647	6099434708460	6099434734377	16389	16
36	1	0	0	0	1	0	1789817830292379648	6099434746749	1789817830292380672	6099434749592	1789817830292380672	6099434749592	1789817830292381696	6099434752375	1789817830292382720	6099434754506	1789817830292382720	6099434754640	0	0	0	0
37	0	32	16	32	1	3072	1789817830292385792	6099434763392	1789817830292386816	6099434765309	1789817830292386816	6099434766520	1789817830292393984	6099434786023	1789817830292395008	6099434788693	1789817830292395008	6099434788910	6099434766962	6099434785876	7630	16
38	4	0	0	0	1	0	1789817830292402176	6099434806963	1789817830292402176	6099434808251	1789817830292402176	6099434808251	1789817830292405248	6099434815168	1789817830292405248	6099434815199	1789817830292405248	6099434815329	0	0	0	0
39	0	32	16	32	1	3072	1789817830292406272	6099434820239	1789817830292407296	6099434822470	1789817830292408320	6099434823551	1789817830292420608	6099434859366	1789817830292421632	6099434861372	1789817830292421632	6099434861693	6099434823605	6099434859116	12676	32
40	1	0	0	0	1	0	1789817830292200448	6099434251124	1789817830292200448	6099434252319	1789817830292200448	6099434252319	1789817830292201472	6099434254865	1789817830292202496	6099434256603	1789817830292202496	6099434256745	0	0	0	0
41	0	32	16	32	1	3072	1789817830292204544	6099434262231	1789817830292205568	6099434264673	1789817830292205568	6099434265785	1789817830292212736	6099434285511	1789817830292213760	6099434287293	1789817830292213760	6099434287502	6099434266328	6099434285380	6981	16
42	2	0	0	0	1	0	1789817830292215808	6099434293720	1789817830292216832	6099434295084	1789817830292216832	6099434295084	1789817830292216832	6099434296914	1789817830292216832	6099434296944	1789817830292216832	6099434297073	0	0	0	0
43	3	0	0	0	1	0	1789817830292217856	6099434300096	1789817830292218880	6099434301340	1789817830292218880	6099434301340	1789817830292218880	6099434302268	1789817830292218880	6099434302302	1789817830292218880	6099434302627	0	0	0	0
44	5	0	0	0	1	0	1789817830292221952	6099434311773	1789817830292222976	6099434313531	1789817830292222976	6099434313531	1789817830292245504	6099434376271	1789817830292245504	6099434376303	1789817830292245504	6099434376462	0	0	0	0
45	0	32	16	32	1	3072	1789817830292251648	6099434390552	1789817830292251648	6099434393022	1789817830292252672	6099434394125	1789817830292261888	6099434420184	1789817830292262912	6099434423579	1789817830292262912	6099434423711	6099434395107	6099434420070	5670	16
46	1	0	0	0	1	0	1789817830292265984	6099434432836	1789817830292267008	6099434433930	1789817830292267008	6099434433930	1789817830292268032	6099434436466	1789817830292268032	6099434437339	1789817830292268032	6099434437474	0	0	0	0
47	0	32	16	32	1	3072	1789817830292271104	6099434446801	1789817830292272128	6099434448652	1789817830292273152	6099434450154	1789817830292280320	6099434471948	1789817830292281344	6099434475150	1789817830292281344	6099434475380	6099434450252	6099434471800	8054	16
48	4	0	0	0	1	0	1789817830292288512	6099434493831	1789817830292288512	6099434494987	1789817830292288512	6099434494987	1789817830292291584	6099434501714	1789817830292291584	6099434501755	1789817830292291584	6099434501887	0	0	0	0
49	0	32	16	32	1	3072	1789817830292293632	6099434507769	1789817830292294656	6099434509884	1789817830292294656	6099434511183	1789817830292308992	6099434551343	1789817830292310016	6099434554068	1789817830292310016	6099434554197	6099434511272	6099434551251	12772	32
50	1	0	0	0	1	0	1789817830292312064	6099434559651	1789817830292313088	6099434560851	1789817830292313088	6099434560851	1789817830292314112	6099434563412	1789817830292314112	6099434565454	1789817830292314112	6099434565590	0	0	0	0
51	0	32	16	32	1	3072	1789817830292316160	6099434570575	1789817830292317184	6099434572892	1789817830292317184	6099434573963	1789817830292324352	6099434593127	1789817830292325376	6099434594610	1789817830292325376	6099434594747	6099434574262	6099434593025	8311	16
