rank	key	placement	tile_m	tile_n	tile_k	stages	split_k	kappa	residency	floor_ns	predicted_ns	source	cg
1	32x16x64s2split4kappa1r4	wavefront	32	16	64	2	4	1	4	108739	227295	/root/TileMega/docs/experiments/E2E_REAL/topk/gqa2_s128/auto.cu.top1.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/gqa2_s128/auto.cu.top1.mlir
2	32x16x64s2split4kappa1r4	eft	32	16	64	2	4	1	4	108739	228208	/root/TileMega/docs/experiments/E2E_REAL/topk/gqa2_s128/auto.cu.top2.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/gqa2_s128/auto.cu.top2.mlir
3	32x16x64s2split4kappa2r4	eft	32	16	64	2	4	2	4	108739	236318	/root/TileMega/docs/experiments/E2E_REAL/topk/gqa2_s128/auto.cu.top3.cu	/root/TileMega/docs/experiments/E2E_REAL/topk/gqa2_s128/auto.cu.top3.mlir
