rank	key	pure_ns	eft_ns	pure_selected	moved_fraction
1	16x32x64s16k1;16x32x128s6k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=4	4.64059e+06	4.64059e+06	1	0.527743
2	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=4	4.64059e+06	4.64059e+06	1	0.527743
3	16x32x64s16k1;16x32x128s5k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=4	4.64059e+06	4.64059e+06	1	0.527743
4	16x32x64s16k1;16x32x128s7k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=4	4.64059e+06	4.64059e+06	1	0.527743
5	16x32x64s16k1;16x32x128s8k1;16x128x64s5k1;16x32x128s4k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=4	4.64059e+06	4.64059e+06	1	0.527743
6	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s5k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=4	4.64059e+06	4.64059e+06	1	0.527743
7	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s6k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=4	4.64059e+06	4.64059e+06	1	0.527743
8	16x32x64s16k1;16x32x128s4k1;16x128x64s5k1;16x32x128s7k1;16x32x128s4k1;16x256x64s2k1;kappa=1;residency=1;Ec=1088;Rq=4	4.64059e+06	4.64059e+06	1	0.527743
