stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
0	serving.s0	embedding	16	0	2170.4984749773676	0	7045.1345760000004	10496.786575637881	17186.054447999999
1	serving.s1	rmsnorm	16	2170.4984749773676	5159.7286713352678	0	13498.1366464	17143.492047326399	17186.054447999999
2	serving.s2	gemm	96	6395.140472335268	25713.240650340475	169379.348256	267662.725248	1314379.2168965	103116.326688
3	serving.s3	fused_attention	128	26948.652451340473	101960.47214220448	225839.13100799944	996193.6568319978	8241991.6970065851	137488.43558399982
4	serving.s4	gemm	64	103195.88394320448	118372.9083049313	112919.565504	197821.02374400001	591844.75211051758	68744.217791999996
5	serving.s5	rmsnorm	16	119608.3201059313	124361.91851328919	28229.891376	13498.1366464	17143.492047326406	17186.054447999999
6	serving.s6	swiglu_gemm	128	125597.33031428918	205475.68430872375	225839.131008	584876.60185600002	9276225.1428396255	137488.43558399999
7	serving.s7	gemm	64	206711.09610972376	249630.84322663111	112919.565504	197821.02374400001	2367379.0084420703	68744.217791999996
8	serving.s8	rmsnorm	16	250866.25502763112	255619.85343498903	28229.891376	13498.1366464	17143.492047326174	17186.054447999999
9	serving.s9	gemm	96	256855.26523598903	276173.36541399424	169379.348256	267662.725248	1314379.2168964986	103116.326688
10	serving.s10	fused_attention	128	277408.77721499425	352420.59690585826	225839.13100799944	996193.6568319978	8241991.6970065841	137488.43558399982
11	serving.s11	gemm	64	353656.00870685827	368833.03306858509	112919.565504	197821.02374400001	591844.75211051852	68744.217791999996
12	serving.s12	rmsnorm	16	370068.4448695851	374822.04327694303	28229.891376	13498.1366464	17143.492047326639	17186.054447999999
13	serving.s13	swiglu_gemm	128	376057.45507794304	455935.80907237763	225839.131008	584876.60185600002	9276225.1428396255	137488.43558399999
14	serving.s14	gemm	64	457171.22087337764	500090.96799028496	112919.565504	197821.02374400001	2367379.0084420703	68744.217791999996
15	serving.s15	rmsnorm	16	501326.37979128497	506079.9781986429	28229.891376	13498.1366464	17143.492047326639	17186.054447999999
16	serving.s16	gemm	96	507315.38999964291	526633.49017764803	169379.348256	267662.725248	1314379.2168964986	103116.326688
17	serving.s17	fused_attention	128	527868.90197864803	602880.72166951199	225839.13100799944	996193.6568319978	8241991.6970065851	137488.43558399982
18	serving.s18	gemm	64	604116.133470512	619293.15783223882	112919.565504	197821.02374400001	591844.75211051852	68744.217791999996
19	serving.s19	rmsnorm	16	620528.56963323883	625282.16804059665	28229.891376	13498.1366464	17143.492047326639	17186.054447999999
20	serving.s20	swiglu_gemm	128	626517.57984159666	706395.93383603112	225839.131008	584876.60185600002	9276225.1428396255	137488.43558399999
21	serving.s21	gemm	64	707631.34563703113	750551.09275393852	112919.565504	197821.02374400001	2367379.0084420741	68744.217791999996
22	serving.s22	rmsnorm	16	751786.50455493852	756540.10296229634	28229.891376	13498.1366464	17143.492047326639	17186.054447999999
23	serving.s23	gemm	96	757775.51476329635	777093.61494130152	169379.348256	267662.725248	1314379.2168965042	103116.326688
24	serving.s24	fused_attention	128	778329.02674230153	853340.84643316548	225839.13100799944	996193.6568319978	8241991.6970065851	137488.43558399982
25	serving.s25	gemm	64	854576.25823416549	869753.28259589232	112919.565504	197821.02374400001	591844.75211051852	68744.217791999996
26	serving.s26	rmsnorm	16	870988.69439689233	875742.29280425014	28229.891376	13498.1366464	17143.492047326639	17186.054447999999
27	serving.s27	swiglu_gemm	128	876977.70460525015	956856.05859968462	225839.131008	584876.60185600002	9276225.1428396255	137488.43558399999
28	serving.s28	gemm	64	958091.47040068463	1001011.217517592	112919.565504	197821.02374400001	2367379.0084420741	68744.217791999996
29	serving.s29	rmsnorm	16	1002246.629318592	1007000.2277259498	28229.891376	13498.1366464	17143.492047326639	17186.054447999999
30	serving.s30	gemm	96	1008235.6395269498	1027553.739704955	169379.348256	267662.725248	1314379.2168965042	103116.326688
31	serving.s31	fused_attention	128	1028789.151505955	1103800.9711968191	225839.13100799944	996193.6568319978	8241991.6970065851	137488.43558399982
32	serving.s32	gemm	64	1105036.382997819	1120213.4073595458	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
33	serving.s33	rmsnorm	16	1121448.8191605457	1126202.4175679036	28229.891376	13498.1366464	17143.492047324777	17186.054447999999
34	serving.s34	swiglu_gemm	128	1127437.8293689035	1207316.183363338	225839.131008	584876.60185600002	9276225.1428396106	137488.43558399999
35	serving.s35	gemm	64	1208551.5951643379	1251471.3422812454	112919.565504	197821.02374400001	2367379.0084420741	68744.217791999996
36	serving.s36	rmsnorm	16	1252706.7540822453	1257460.3524896032	28229.891376	13498.1366464	17143.492047324777	17186.054447999999
37	serving.s37	gemm	96	1258695.7642906031	1278013.8644686085	169379.348256	267662.725248	1314379.2168965042	103116.326688
38	serving.s38	fused_attention	128	1279249.2762696084	1354261.0959604725	225839.13100799944	996193.6568319978	8241991.6970065832	137488.43558399982
39	serving.s39	gemm	64	1355496.5077614724	1370673.5321231992	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
40	serving.s40	rmsnorm	16	1371908.9439241991	1376662.542331557	28229.891376	13498.1366464	17143.492047324777	17186.054447999999
41	serving.s41	swiglu_gemm	128	1377897.9541325569	1457776.3081269916	225839.131008	584876.60185600002	9276225.1428396404	137488.43558399999
