stage	logical_task	worker	slot
0	0	0	0
0	1	1	0
0	2	2	0
0	3	3	0
1	0	64	0
1	1	65	0
1	2	66	0
1	3	67	0
1	4	68	0
1	5	69	0
1	6	70	0
1	7	71	0
1	8	72	0
1	9	73	0
1	10	74	0
1	11	75	0
1	12	76	0
1	13	77	0
1	14	78	0
1	15	79	0
1	16	80	0
1	17	81	0
1	18	82	0
1	19	83	0
1	20	84	0
1	21	85	0
1	22	86	0
1	23	87	0
1	24	88	0
1	25	89	0
1	26	90	0
1	27	91	0
1	28	92	0
1	29	93	0
1	30	94	0
1	31	95	0
1	32	96	0
1	33	97	0
1	34	98	0
1	35	99	0
1	36	100	0
1	37	101	0
1	38	102	0
1	39	103	0
1	40	104	0
1	41	105	0
1	42	106	0
1	43	107	0
1	44	108	0
1	45	109	0
1	46	110	0
1	47	111	0
1	48	112	0
1	49	113	0
1	50	114	0
1	51	115	0
1	52	116	0
1	53	117	0
1	54	118	0
1	55	119	0
1	56	120	0
1	57	121	0
1	58	122	0
1	59	123	0
1	60	124	0
1	61	125	0
1	62	126	0
1	63	127	0
1	64	0	2
1	65	1	2
1	66	2	2
1	67	3	2
1	68	4	1
1	69	5	1
1	70	6	1
1	71	7	1
1	72	8	1
1	73	9	1
1	74	10	1
1	75	11	1
1	76	12	1
1	77	13	1
1	78	14	1
1	79	15	1
1	80	16	1
1	81	17	1
1	82	18	1
1	83	19	1
1	84	20	1
1	85	21	1
1	86	22	1
1	87	23	1
1	88	24	1
1	89	25	1
1	90	26	1
1	91	27	1
1	92	28	1
1	93	29	1
1	94	30	1
1	95	31	1
1	96	32	1
1	97	33	1
1	98	34	1
1	99	35	1
1	100	36	1
1	101	37	1
1	102	38	1
1	103	39	1
1	104	40	1
1	105	41	1
1	106	42	1
1	107	43	1
1	108	44	1
1	109	45	1
1	110	46	1
1	111	47	1
1	112	48	1
1	113	49	1
1	114	50	1
1	115	51	1
1	116	52	1
1	117	53	1
1	118	54	1
1	119	55	1
1	120	56	1
1	121	57	1
1	122	58	1
1	123	59	1
1	124	60	1
1	125	61	1
1	126	62	1
1	127	63	1
2	0	16	2
2	1	17	2
2	2	18	2
2	3	19	2
2	4	20	2
2	5	21	2
2	6	22	2
2	7	23	2
2	8	24	2
2	9	25	2
2	10	26	2
2	11	27	2
2	12	28	2
2	13	29	2
2	14	30	2
2	15	31	2
2	16	32	2
2	17	33	2
2	18	34	2
2	19	35	2
2	20	36	2
2	21	37	2
2	22	38	2
2	23	39	2
2	24	40	2
2	25	41	2
2	26	42	2
2	27	43	2
2	28	44	2
2	29	45	2
2	30	46	2
2	31	47	2
3	0	0	1
3	1	1	1
3	2	2	1
3	3	3	1
3	4	4	0
3	5	5	0
3	6	6	0
3	7	7	0
3	8	8	0
3	9	9	0
3	10	10	0
3	11	11	0
3	12	12	0
3	13	13	0
3	14	14	0
3	15	15	0
3	16	16	0
3	17	17	0
3	18	18	0
3	19	19	0
3	20	20	0
3	21	21	0
3	22	22	0
3	23	23	0
3	24	24	0
3	25	25	0
3	26	26	0
3	27	27	0
3	28	28	0
3	29	29	0
3	30	30	0
3	31	31	0
3	32	32	0
3	33	33	0
3	34	34	0
3	35	35	0
3	36	36	0
3	37	37	0
3	38	38	0
3	39	39	0
3	40	40	0
3	41	41	0
3	42	42	0
3	43	43	0
3	44	44	0
3	45	45	0
3	46	46	0
3	47	47	0
3	48	48	0
3	49	49	0
3	50	50	0
3	51	51	0
3	52	52	0
3	53	53	0
3	54	54	0
3	55	55	0
3	56	56	0
3	57	57	0
3	58	58	0
3	59	59	0
3	60	60	0
3	61	61	0
3	62	62	0
3	63	63	0
4	0	0	3
4	1	1	3
4	2	2	3
4	3	3	3
4	4	4	2
4	5	5	2
4	6	6	2
4	7	7	2
4	8	8	2
4	9	9	2
4	10	10	2
4	11	11	2
4	12	12	2
4	13	13	2
4	14	14	2
4	15	15	2
5	0	64	1
5	1	65	1
5	2	66	1
5	3	67	1
5	4	68	1
5	5	69	1
5	6	70	1
5	7	71	1
5	8	72	1
5	9	73	1
5	10	74	1
5	11	75	1
5	12	76	1
5	13	77	1
5	14	78	1
5	15	79	1
5	16	80	1
5	17	81	1
5	18	82	1
5	19	83	1
5	20	84	1
5	21	85	1
5	22	86	1
5	23	87	1
5	24	88	1
5	25	89	1
5	26	90	1
5	27	91	1
5	28	92	1
5	29	93	1
5	30	94	1
5	31	95	1
5	32	96	1
5	33	97	1
5	34	98	1
5	35	99	1
5	36	100	1
5	37	101	1
5	38	102	1
5	39	103	1
5	40	104	1
5	41	105	1
5	42	106	1
5	43	107	1
5	44	108	1
5	45	109	1
5	46	110	1
5	47	111	1
5	48	112	1
5	49	113	1
5	50	114	1
5	51	115	1
5	52	116	1
5	53	117	1
5	54	118	1
5	55	119	1
5	56	120	1
5	57	121	1
5	58	122	1
5	59	123	1
5	60	124	1
5	61	125	1
5	62	126	1
5	63	127	1
6	0	48	2
6	1	49	2
6	2	50	2
6	3	51	2
6	4	52	2
6	5	53	2
6	6	54	2
6	7	55	2
6	8	56	2
6	9	57	2
6	10	58	2
6	11	59	2
6	12	60	2
6	13	61	2
6	14	62	2
6	15	63	2
7	0	24	3
7	1	25	3
7	2	26	3
7	3	27	3
7	4	20	3
7	5	21	3
7	6	22	3
7	7	23	3
7	8	16	3
7	9	17	3
7	10	18	3
7	11	19	3
7	12	8	3
7	13	9	3
7	14	10	3
7	15	11	3
8	0	0	4
8	1	1	4
8	2	2	4
8	3	3	4
8	4	4	3
8	5	5	3
8	6	6	3
8	7	7	3
9	0	0	5
9	1	1	5
9	2	2	5
9	3	3	5
9	4	4	4
9	5	5	4
9	6	6	4
9	7	7	4
10	0	12	3
10	1	13	3
10	2	14	3
10	3	15	3
10	4	48	3
10	5	49	3
10	6	50	3
10	7	51	3
11	0	12	4
11	1	13	4
11	2	14	4
11	3	15	4
11	4	8	4
11	5	9	4
11	6	10	4
11	7	11	4
11	8	4	5
11	9	5	5
11	10	6	5
11	11	7	5
11	12	0	6
11	13	1	6
11	14	2	6
11	15	3	6
12	0	0	7
12	1	1	7
12	2	2	7
12	3	3	7
12	4	4	6
12	5	5	6
12	6	6	6
12	7	7	6
12	8	8	5
12	9	9	5
12	10	10	5
12	11	11	5
12	12	12	5
12	13	13	5
12	14	14	5
12	15	15	5
12	16	16	4
12	17	17	4
12	18	18	4
12	19	19	4
12	20	20	4
12	21	21	4
12	22	22	4
12	23	23	4
12	24	24	4
12	25	25	4
12	26	26	4
12	27	27	4
12	28	28	3
12	29	29	3
12	30	30	3
12	31	31	3
12	32	32	3
12	33	33	3
12	34	34	3
12	35	35	3
12	36	36	3
12	37	37	3
12	38	38	3
12	39	39	3
12	40	40	3
12	41	41	3
12	42	42	3
12	43	43	3
12	44	44	3
12	45	45	3
12	46	46	3
12	47	47	3
12	48	48	4
12	49	49	4
12	50	50	4
12	51	51	4
12	52	52	3
12	53	53	3
12	54	54	3
12	55	55	3
12	56	56	3
12	57	57	3
12	58	58	3
12	59	59	3
12	60	60	3
12	61	61	3
12	62	62	3
12	63	63	3
12	64	64	2
12	65	65	2
12	66	66	2
12	67	67	2
12	68	68	2
12	69	69	2
12	70	70	2
12	71	71	2
12	72	72	2
12	73	73	2
12	74	74	2
12	75	75	2
12	76	76	2
12	77	77	2
12	78	78	2
12	79	79	2
12	80	80	2
12	81	81	2
12	82	82	2
12	83	83	2
12	84	84	2
12	85	85	2
12	86	86	2
12	87	87	2
12	88	88	2
12	89	89	2
12	90	90	2
12	91	91	2
12	92	92	2
12	93	93	2
12	94	94	2
12	95	95	2
12	96	96	2
12	97	97	2
12	98	98	2
12	99	99	2
12	100	100	2
12	101	101	2
12	102	102	2
12	103	103	2
12	104	104	2
12	105	105	2
12	106	106	2
12	107	107	2
12	108	108	2
12	109	109	2
12	110	110	2
12	111	111	2
12	112	112	2
12	113	113	2
12	114	114	2
12	115	115	2
12	116	116	2
12	117	117	2
12	118	118	2
12	119	119	2
12	120	120	2
12	121	121	2
12	122	122	2
12	123	123	2
12	124	124	2
12	125	125	2
12	126	126	2
12	127	127	2
13	0	0	8
13	1	1	8
13	2	2	8
13	3	3	8
13	4	4	7
13	5	5	7
13	6	6	7
13	7	7	7
13	8	8	6
13	9	9	6
13	10	10	6
13	11	11	6
13	12	12	6
13	13	13	6
13	14	14	6
13	15	15	6
13	16	16	5
13	17	17	5
13	18	18	5
13	19	19	5
13	20	20	5
13	21	21	5
13	22	22	5
13	23	23	5
13	24	24	5
13	25	25	5
13	26	26	5
13	27	27	5
13	28	28	4
13	29	29	4
13	30	30	4
13	31	31	4
14	0	0	9
14	1	1	9
14	2	2	9
14	3	3	9
15	0	0	10
15	1	1	10
15	2	2	10
15	3	3	10
15	4	4	8
15	5	5	8
15	6	6	8
15	7	7	8
15	8	8	7
15	9	9	7
15	10	10	7
15	11	11	7
15	12	12	7
15	13	13	7
15	14	14	7
15	15	15	7
15	16	16	6
15	17	17	6
15	18	18	6
15	19	19	6
15	20	20	6
15	21	21	6
15	22	22	6
15	23	23	6
15	24	24	6
15	25	25	6
15	26	26	6
15	27	27	6
15	28	28	5
15	29	29	5
15	30	30	5
15	31	31	5
15	32	32	4
15	33	33	4
15	34	34	4
15	35	35	4
15	36	36	4
15	37	37	4
15	38	38	4
15	39	39	4
15	40	40	4
15	41	41	4
15	42	42	4
15	43	43	4
15	44	44	4
15	45	45	4
15	46	46	4
15	47	47	4
15	48	48	5
15	49	49	5
15	50	50	5
15	51	51	5
15	52	52	4
15	53	53	4
15	54	54	4
15	55	55	4
15	56	56	4
15	57	57	4
15	58	58	4
15	59	59	4
15	60	60	4
15	61	61	4
15	62	62	4
15	63	63	4
15	64	64	3
15	65	65	3
15	66	66	3
15	67	67	3
15	68	68	3
15	69	69	3
15	70	70	3
15	71	71	3
15	72	72	3
15	73	73	3
15	74	74	3
15	75	75	3
15	76	76	3
15	77	77	3
15	78	78	3
15	79	79	3
15	80	80	3
15	81	81	3
15	82	82	3
15	83	83	3
15	84	84	3
15	85	85	3
15	86	86	3
15	87	87	3
15	88	88	3
15	89	89	3
15	90	90	3
15	91	91	3
15	92	92	3
15	93	93	3
15	94	94	3
15	95	95	3
15	96	96	3
15	97	97	3
15	98	98	3
15	99	99	3
15	100	100	3
15	101	101	3
15	102	102	3
15	103	103	3
15	104	104	3
15	105	105	3
15	106	106	3
15	107	107	3
15	108	108	3
15	109	109	3
15	110	110	3
15	111	111	3
15	112	112	3
15	113	113	3
15	114	114	3
15	115	115	3
15	116	116	3
15	117	117	3
15	118	118	3
15	119	119	3
15	120	120	3
15	121	121	3
15	122	122	3
15	123	123	3
15	124	124	3
15	125	125	3
15	126	126	3
15	127	127	3
15	128	0	11
15	129	1	11
15	130	2	11
15	131	3	11
15	132	4	9
15	133	5	9
15	134	6	9
15	135	7	9
15	136	8	8
15	137	9	8
15	138	10	8
15	139	11	8
15	140	12	8
15	141	13	8
15	142	14	8
15	143	15	8
15	144	16	7
15	145	17	7
15	146	18	7
15	147	19	7
15	148	20	7
15	149	21	7
15	150	22	7
15	151	23	7
15	152	24	7
15	153	25	7
15	154	26	7
15	155	27	7
15	156	28	6
15	157	29	6
15	158	30	6
15	159	31	6
15	160	32	5
15	161	33	5
15	162	34	5
15	163	35	5
15	164	36	5
15	165	37	5
15	166	38	5
15	167	39	5
15	168	40	5
15	169	41	5
15	170	42	5
15	171	43	5
15	172	44	5
15	173	45	5
15	174	46	5
15	175	47	5
15	176	48	6
15	177	49	6
15	178	50	6
15	179	51	6
15	180	52	5
15	181	53	5
15	182	54	5
15	183	55	5
15	184	56	5
15	185	57	5
15	186	58	5
15	187	59	5
15	188	60	5
15	189	61	5
15	190	62	5
15	191	63	5
15	192	64	4
15	193	65	4
15	194	66	4
15	195	67	4
15	196	68	4
15	197	69	4
15	198	70	4
15	199	71	4
15	200	72	4
15	201	73	4
15	202	74	4
15	203	75	4
15	204	76	4
15	205	77	4
15	206	78	4
15	207	79	4
15	208	80	4
15	209	81	4
15	210	82	4
15	211	83	4
15	212	84	4
15	213	85	4
15	214	86	4
15	215	87	4
15	216	88	4
15	217	89	4
15	218	90	4
15	219	91	4
15	220	92	4
15	221	93	4
15	222	94	4
15	223	95	4
15	224	96	4
15	225	97	4
15	226	98	4
15	227	99	4
15	228	100	4
15	229	101	4
15	230	102	4
15	231	103	4
15	232	104	4
15	233	105	4
15	234	106	4
15	235	107	4
15	236	108	4
15	237	109	4
15	238	110	4
15	239	111	4
15	240	112	4
15	241	113	4
15	242	114	4
15	243	115	4
15	244	116	4
15	245	117	4
15	246	118	4
15	247	119	4
15	248	120	4
15	249	121	4
15	250	122	4
15	251	123	4
15	252	124	4
15	253	125	4
15	254	126	4
15	255	127	4
16	0	0	14
16	1	1	14
16	2	2	14
16	3	3	14
16	4	4	12
16	5	5	12
16	6	6	12
16	7	7	12
16	8	8	11
16	9	9	11
16	10	10	11
16	11	11	11
16	12	12	11
16	13	13	11
16	14	14	11
16	15	15	11
16	16	16	10
16	17	17	10
16	18	18	10
16	19	19	10
16	20	20	10
16	21	21	10
16	22	22	10
16	23	23	10
16	24	24	10
16	25	25	10
16	26	26	10
16	27	27	10
16	28	28	9
16	29	29	9
16	30	30	9
16	31	31	9
16	32	32	8
16	33	33	8
16	34	34	8
16	35	35	8
16	36	36	8
16	37	37	8
16	38	38	8
16	39	39	8
16	40	40	8
16	41	41	8
16	42	42	8
