stage	logical_stage	combine	task_ns	count
0	0	0	10240	4
1	1	0	4781.02	1024
2	1	1	4957.44	32
3	2	0	5607.95	256
4	2	1	5309.44	8
5	3	0	5101.75	256
6	3	1	4797.44	8
7	4	0	2048	128
8	5	0	2048	32
9	6	0	1024	32
10	7	0	1024	32
11	8	0	4240	128
12	9	0	7589.05	1024
13	9	1	7933.44	32
14	10	0	13312	4
15	11	0	7799.47	3584
16	11	1	5080.87	112
17	12	0	7013.03	3584
18	12	1	5336.87	112
19	13	0	30720	4
20	14	0	11625.1	1024
21	14	1	7933.44	32
22	15	0	13312	4
23	16	0	4750.48	1024
24	16	1	5085.44	32
25	17	0	5607.95	256
26	17	1	5309.44	8
27	18	0	5167.2	256
28	18	1	5181.44	8
29	19	0	1288	128
30	20	0	2048	32
31	21	0	1024	32
32	22	0	1024	32
33	23	0	5120	128
34	24	0	7626.88	1024
35	24	1	7933.44	32
36	25	0	13312	4
37	26	0	7490.93	3584
38	26	1	5099.15	112
39	27	0	7344.38	3584
40	27	1	5364.3	112
41	28	0	30976	4
42	29	0	11575.3	1024
43	29	1	7837.44	32
44	30	0	12288	4
45	31	0	4974.49	1024
46	31	1	5053.44	32
47	32	0	5159.95	256
48	32	1	5181.44	8
49	33	0	5606.5	256
50	33	1	5309.44	8
51	34	0	1544	128
52	35	0	2048	32
53	36	0	1024	32
54	37	0	1024	32
55	38	0	5120	128
56	39	0	7619.24	1024
57	39	1	7965.44	32
58	40	0	13312	4
59	41	0	7148.35	3584
60	41	1	5437.44	112
61	42	0	7637.47	3584
62	42	1	5208.87	112
63	43	0	32000	4
64	44	0	11555	1024
65	44	1	7805.44	32
66	45	0	13312	4
67	46	0	4745.4	1024
68	46	1	5085.44	32
69	47	0	4591.2	256
70	47	1	4925.44	8
71	48	0	4975.2	256
72	48	1	5309.44	8
73	49	0	2048	128
74	50	0	2048	32
75	51	0	1024	32
76	52	0	1056	32
77	53	0	5120	128
78	54	0	7525.77	1024
79	54	1	7869.44	32
80	55	0	13312	4
81	56	0	7216.49	3584
82	56	1	5410.01	112
83	57	0	7699.31	3584
84	57	1	5227.15	112
85	58	0	30720	4
86	59	0	11620.4	1024
87	59	1	7933.44	32
