# EX-S2c: feedback re-extraction rounds against the committed default (fb=0).
# fb=0 reproduces raw/predicted.tsv exactly through col20; eval_us is wall clock.
fb	cell	candidate	cp_hops	cp_same_worker	cp_queue	cp_len	makespan_ns	max_queue_ns	spine_length_ns
0	gqa2_s4	chain	17	2	0	19	200796	179817	179817
0	mha4_s4	chain	35	3	0	38	403305	359634	359634
0	real_s4	chain	35	4	1	40	4481786	3718801	3718801
0	gqa2_s128	chain	18	7	10	35	229487	181407	181407
0	mha4_s128	chain	39	20	28	87	530126	362813	362813
0	real_s128	chain	39	88	108	235	5404710	3727084	3727084
1	gqa2_s4	chain	17	2	0	19	200796	179817	179817
1	mha4_s4	chain	35	3	0	38	403305	359634	359634
1	real_s4	chain	35	4	1	40	4481786	3718801	3718801
1	gqa2_s128	chain	18	7	10	35	229487	181407	181407
1	mha4_s128	chain	41	20	26	87	532494	361877	361877
1	real_s128	chain	39	92	104	235	5407564	3726066	3726066
2	gqa2_s4	chain	17	2	0	19	200796	179817	179817
2	mha4_s4	chain	35	3	0	38	403305	359634	359634
2	real_s4	chain	35	4	1	40	4481786	3718801	3718801
2	gqa2_s128	chain	18	7	10	35	229487	181407	181407
2	mha4_s128	chain	41	20	26	87	532494	361877	361877
2	real_s128	chain	39	92	104	235	5407564	3726066	3726066
4	gqa2_s4	chain	17	2	0	19	200796	179817	179817
4	mha4_s4	chain	35	3	0	38	403305	359634	359634
4	real_s4	chain	35	4	1	40	4481786	3718801	3718801
4	gqa2_s128	chain	18	7	10	35	229487	181407	181407
4	mha4_s128	chain	41	20	26	87	532494	361877	361877
4	real_s128	chain	39	92	104	235	5407564	3726066	3726066
-	gqa2_s4	rotate	19	0	0	19	203269	30235	-
-	mha4_s4	rotate	39	0	0	39	407769	60470	-
-	real_s4	rotate	39	0	0	39	4340901	1204185	-
-	gqa2_s128	rotate	17	0	10	27	215127	42170	-
-	mha4_s128	rotate	35	0	32	67	437124	73643	-
-	real_s128	rotate	35	0	168	203	4760049	1583210	-
