model	seq	candidate	prepare_us	coarse_us	full_us	coarse_ns	full_ns	binding_cp_ns	semantic_cp_ns	queue_lb_ns	readiness_us	cached_us
gqa2	4	legacy_grid_stride	39.083	9.868	21.715	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091	5.196	8.166
gqa2	4	rotate	39.083	5.758	18.869	344114.592952	421518.85283	344114.592952	344114.592952	61038.4362679	9.356	6.428
gqa2	4	balanced	39.083	9.271	18.266	687623.03762	859900.666384	687623.03762	344114.592952	392543.105409	5.11	7.897
gqa2	4	band	39.083	5.86	12.9	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091	4.327	6.831
gqa2	4	wavefront	39.083	5.151	13.949	344114.592952	421518.85283	344114.592952	344114.592952	344037.669874	5.238	6.487
gqa2	128	legacy_grid_stride	2939.709	70.817	192.515	567453.889733	669681.948161	567453.889733	350473.567366	564223.120475	62.518	115.093
gqa2	128	rotate	2939.709	56.052	172.594	363321.147629	450989.049976	363321.147629	350473.567366	90438.3797309	61.257	110.194
gqa2	128	balanced	2939.709	70.124	186.037	576730.978041	1036642.04095	576730.978041	350473.567366	156615.410483	61.797	117.139
gqa2	128	band	2939.709	55.276	174.946	569094.915389	671322.973816	569094.915389	350473.567366	562582.09482	61.548	111.125
gqa2	128	wavefront	2939.709	53.87	169.36	363321.147629	450989.049976	363321.147629	350473.567366	360090.37837	60.124	109.567
gqa2	512	legacy_grid_stride	41951.813	356.31	742.641	773890.84963	974504.797782	773890.84963	370165.875228	761172.900802	225.284	481.349
gqa2	512	rotate	41951.813	347.499	746.267	569758.107525	755811.899597	569758.107525	370165.875228	299663.852187	267.005	479.106
gqa2	512	balanced	41951.813	255.519	714.493	1396674.32748	2264009.74493	1396674.32748	370165.875228	436718.012015	212.25	496.15
gqa2	512	band	41951.813	244.412	730.101	819737.003871	1026528.01103	819737.003871	370165.875228	717993.413251	212.306	514.3
gqa2	512	wavefront	41951.813	298.242	676.965	569758.107525	755811.899597	569758.107525	370165.875228	557450.415112	210.201	460.392
mha4	4	legacy_grid_stride	92.633	13.695	35.46	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818	9.071	15.788
mha4	4	rotate	92.633	10.082	31.367	688229.185904	847111.614075	688229.185904	688229.185904	122076.872536	14.717	13.272
mha4	4	balanced	92.633	12.729	26.4	1366498.90795	1697006.75023	1366498.90795	688229.185904	612921.626319	8.004	14.385
mha4	4	band	92.633	9.449	24.664	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818	7.885	14.17
mha4	4	wavefront	92.633	9.48	24.93	688229.185904	847111.614075	688229.185904	688229.185904	688075.339749	8.97	12.843
mha4	128	legacy_grid_stride	11051.547	187.356	473.103	1145358.87529	1376596.87347	1145358.87529	700947.134732	1138897.33677	147.845	307.212
mha4	128	rotate	11051.547	173.021	474.015	737093.39108	939211.077099	737093.39108	700947.134732	161361.295738	149.846	302.718
mha4	128	balanced	11051.547	155.255	479.612	2248301.63193	3859320.23628	2248301.63193	700947.134732	322065.88119	141.246	319.425
mha4	128	band	11051.547	142.603	495.921	1148640.9266	1379878.92478	1148640.9266	700947.134732	1135717.84957	143.795	333.074
mha4	128	wavefront	11051.547	140.095	449.192	737093.39108	939211.077099	737093.39108	700947.134732	730631.852563	142.151	301.735
mha4	512	legacy_grid_stride	258470.395	1026.17	1985.803	1589586.08255	2086248.73532	1589586.08255	740331.750455	1564970.69772	606.256	1290.793
mha4	512	rotate	258470.395	929.661	1908	1181320.59834	1648862.93895	1181320.59834	740331.750455	647317.385938	679.587	1228.301
mha4	512	balanced	258470.395	742.071	1859.953	6666403.47098	10078464.5212	6666403.47098	740331.750455	1818741.79726	530.456	1289.436
mha4	512	band	258470.395	759.869	1958.005	1681278.39103	2191530.57361	1681278.39103	740331.750455	1484355.31241	538.482	1443.706
mha4	512	wavefront	258470.395	788.852	1791.836	1181320.59834	1648862.93895	1181320.59834	740331.750455	1156705.21351	561.907	1210.355
real	4	legacy_grid_stride	528.971	37.769	101.83	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625	28.783	56.649
real	4	rotate	528.971	27.471	77.044	7995594.84006	8154477.26824	7995594.84006	7995594.84006	2589677.25825	29.729	45.534
real	4	balanced	528.971	29.817	87.301	102295054.394	103686547.267	102295054.394	7995594.84006	17145734.4052	29.1	52.832
real	4	band	528.971	28.17	84.639	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625	29.137	50.946
real	4	wavefront	528.971	27.148	76.518	7995594.84006	8154477.26824	7995594.84006	7995594.84006	7995193.82082	31.586	45.41
real	128	legacy_grid_stride	125221.387	1095.768	2073.203	12272063.6249	12806477.9991	12272063.6249	8028739.74807	12257092.2522	653.665	1185.459
real	128	rotate	125221.387	738.085	1520.978	8600097.0229	9105391.08491	8600097.0229	8028739.74807	3543047.54921	531.663	934.191
real	128	balanced	125221.387	624.436	1539.771	26106495.7047	29008178.745	26106495.7047	8028739.74807	9430676.31424	419.47	981.62
real	128	band	125221.387	657.26	1619.866	12400389.6768	12934804.051	12400389.6768	8028739.74807	12135182.5028	458.208	1153.875
real	128	wavefront	125221.387	624.546	1467.459	8600097.0229	9105391.08491	8600097.0229	8028739.74807	8585125.65018	469.928	1005.035
