model	seq	k	index	candidate	simulated	predicted_ns	batch_us
gqa2	4	1	0	rotate	1	421518.85283	53.603
gqa2	4	1	1	wavefront	1	421518.85283	53.603
gqa2	4	1	2	legacy_grid_stride	0	551735.307169	53.603
gqa2	4	1	3	band	0	551735.307169	53.603
gqa2	4	1	4	balanced	0	687623.03762	53.603
gqa2	4	2	0	rotate	1	421518.85283	49.001
gqa2	4	2	1	wavefront	1	421518.85283	49.001
gqa2	4	2	2	legacy_grid_stride	0	551735.307169	49.001
gqa2	4	2	3	band	0	551735.307169	49.001
gqa2	4	2	4	balanced	0	687623.03762	49.001
gqa2	4	3	0	rotate	1	421518.85283	72.556
gqa2	4	3	1	wavefront	1	421518.85283	72.556
gqa2	4	3	2	legacy_grid_stride	1	644757.635947	72.556
gqa2	4	3	3	band	1	644757.635947	72.556
gqa2	4	3	4	balanced	0	687623.03762	72.556
gqa2	4	4	0	rotate	1	421518.85283	70.711
gqa2	4	4	1	wavefront	1	421518.85283	70.711
gqa2	4	4	2	legacy_grid_stride	1	644757.635947	70.711
gqa2	4	4	3	band	1	644757.635947	70.711
gqa2	4	4	4	balanced	0	687623.03762	70.711
gqa2	4	5	0	rotate	1	421518.85283	83.215
gqa2	4	5	1	wavefront	1	421518.85283	83.215
gqa2	4	5	2	legacy_grid_stride	1	644757.635947	83.215
gqa2	4	5	3	band	1	644757.635947	83.215
gqa2	4	5	4	balanced	1	859900.666384	83.215
gqa2	128	1	0	rotate	1	450989.049976	610.673
gqa2	128	1	1	wavefront	1	450989.049976	610.673
gqa2	128	1	2	legacy_grid_stride	0	567453.889733	610.673
gqa2	128	1	3	band	0	569094.915389	610.673
gqa2	128	1	4	balanced	0	576730.978041	610.673
gqa2	128	2	0	rotate	1	450989.049976	603.454
gqa2	128	2	1	wavefront	1	450989.049976	603.454
gqa2	128	2	2	legacy_grid_stride	0	567453.889733	603.454
gqa2	128	2	3	band	0	569094.915389	603.454
gqa2	128	2	4	balanced	0	576730.978041	603.454
gqa2	128	3	0	rotate	1	450989.049976	773.136
gqa2	128	3	1	wavefront	1	450989.049976	773.136
gqa2	128	3	2	legacy_grid_stride	1	669681.948161	773.136
gqa2	128	3	3	band	0	569094.915389	773.136
gqa2	128	3	4	balanced	0	576730.978041	773.136
gqa2	128	4	0	rotate	1	450989.049976	949.726
gqa2	128	4	1	wavefront	1	450989.049976	949.726
gqa2	128	4	2	legacy_grid_stride	1	669681.948161	949.726
gqa2	128	4	3	band	1	671322.973816	949.726
gqa2	128	4	4	balanced	0	576730.978041	949.726
gqa2	128	5	0	rotate	1	450989.049976	1116.117
gqa2	128	5	1	wavefront	1	450989.049976	1116.117
gqa2	128	5	2	legacy_grid_stride	1	669681.948161	1116.117
gqa2	128	5	3	band	1	671322.973816	1116.117
gqa2	128	5	4	balanced	1	1036642.04095	1116.117
gqa2	512	1	0	rotate	1	755811.899597	2698.935
gqa2	512	1	1	wavefront	1	755811.899597	2698.935
gqa2	512	1	2	legacy_grid_stride	0	773890.84963	2698.935
gqa2	512	1	3	band	0	819737.003871	2698.935
gqa2	512	1	4	balanced	0	1396674.32748	2698.935
gqa2	512	2	0	rotate	1	755811.899597	2645.136
gqa2	512	2	1	wavefront	1	755811.899597	2645.136
gqa2	512	2	2	legacy_grid_stride	0	773890.84963	2645.136
gqa2	512	2	3	band	0	819737.003871	2645.136
gqa2	512	2	4	balanced	0	1396674.32748	2645.136
gqa2	512	3	0	rotate	1	755811.899597	3360.916
gqa2	512	3	1	wavefront	1	755811.899597	3360.916
gqa2	512	3	2	legacy_grid_stride	1	974504.797782	3360.916
gqa2	512	3	3	band	0	819737.003871	3360.916
gqa2	512	3	4	balanced	0	1396674.32748	3360.916
gqa2	512	4	0	rotate	1	755811.899597	4050.718
gqa2	512	4	1	wavefront	1	755811.899597	4050.718
gqa2	512	4	2	legacy_grid_stride	1	974504.797782	4050.718
gqa2	512	4	3	band	1	1026528.01103	4050.718
