slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
0	0	0	1	1	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1421	0	2406	2043	1858	185	5870
1	2	0	0	1	128	128	16	1	8192	1024	0	17408	4096	4096	0	22528	2244	1160	48888	9774	9117	657	62066
2	1	0	0	0	128	128	16	1	8192	1024	1024	17408	4096	3072	1024	23552	1795	1300	49143	10097	9627	470	62335
3	3	0	0	0	128	128	16	1	8192	1024	0	18432	3072	3072	0	22528	1997	1186	49414	10303	9606	697	62900
4	5	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1099	0	1929	255	30	225	3283
5	5	256	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1027	0	1554	218	30	188	2799
6	4	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1259	0	1831	466	30	436	3556
7	4	256	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1260	0	1775	217	30	187	3252
8	7	0	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1305	0	936	217	30	187	2458
9	7	256	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1130	0	705	218	30	188	2053
10	6	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1048	0	907	217	30	187	2172
11	6	256	3	0	0	0	0	1	0	0	0	0	1024	0	1024	1024	1137	0	673	219	30	189	2029
12	8	0	5	0	0	0	0	1	0	0	0	19456	0	0	0	19456	1446	0	52695	468	30	438	54609
13	8	256	5	0	0	0	0	1	0	1024	0	19456	0	0	0	20480	1843	0	53690	217	30	187	55750
14	9	0	0	1	128	128	16	1	8192	1024	1024	17408	12288	11264	1024	31744	2252	1122	49019	32981	32543	438	85374
15	10	0	1	1	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1349	0	2287	2084	1896	188	5720
16	11	0	0	1	128	128	16	1	8192	1024	1024	17408	3072	3072	0	22528	2255	1144	47872	10257	9774	483	61528
17	12	0	0	0	128	128	16	1	8192	1024	0	17408	4096	4096	0	22528	1991	1148	48606	10309	9872	437	62054
18	13	0	4	1	0	0	0	1	0	1024	0	2048	0	0	0	3072	1286	0	6483	218	30	188	7987
19	14	0	0	1	128	128	16	1	8192	1024	1024	34816	12288	12288	0	49152	2251	1163	98265	33204	32768	436	134883
20	15	0	1	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1390	0	2274	1931	1743	188	5595
21	17	0	0	1	128	128	16	1	8192	1024	0	17408	4096	4096	0	22528	2283	1154	49029	10104	9647	457	62570
22	16	0	0	0	128	128	16	1	8192	0	1024	17408	4096	4096	0	22528	2279	1261	49638	10368	9717	651	63546
23	18	0	0	0	128	128	16	1	8192	0	1024	17408	4096	4096	0	22528	2115	1203	49172	10112	9537	575	62602
24	20	0	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1310	0	1820	217	30	187	3347
25	20	256	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1083	0	1317	217	30	187	2617
26	19	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1285	0	1856	470	30	440	3611
27	19	256	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1613	0	1289	219	30	189	3121
28	22	0	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1304	0	1222	217	30	187	2743
29	22	256	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1137	0	690	217	30	187	2044
30	21	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1308	0	948	217	30	187	2473
31	21	256	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1140	0	695	217	30	187	2052
32	23	0	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1866	0	56717	1038	444	594	59621
33	23	256	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	3040	0	47557	217	30	187	50814
