cell	arm	rounds	l05_ms	l1_ms	l2_ms	l2_over_l1
gqa2_s1	refine_off	25	0.180224	0.190464	0.137216	0.7204301075268817
gqa2_s1	refine_on	25	0.638752	0.632832	0.41984	0.6634304207119741
gqa2_s4	refine_off	25	0.18432	0.196608	0.15872	0.8072916666666666
gqa2_s4	refine_on	25	1.130496	1.144832	0.74752	0.6529516994633273
gqa2_s16	refine_off	25	0.202752	0.2128	0.214016	1.0057142857142858
gqa2_s16	refine_on	25	3.274752	3.295136	2.121728	0.6438969438590699
gqa2_s128	refine_off	25	0.31232	0.325472	0.309248	0.9501523940615476
gqa2_s128	refine_on	25	6.254592	6.278048	4.6408	0.7392106591093281
mha4_s1	refine_off	25	0.353088	0.375808	0.287744	0.7656675749318802
mha4_s1	refine_on	25	1.247232	1.25456	0.832512	0.663588827955618
mha4_s4	refine_off	25	0.360192	0.385088	0.344064	0.8934685058999501
mha4_s4	refine_on	25	2.107392	2.132992	1.407936	0.6600756120979356
mha4_s16	refine_off	25	0.397312	0.416704	0.493568	1.1844570726462909
mha4_s16	refine_on	25	6.530048	6.563808	4.268032	0.6502371793934253
mha4_s128	refine_off	25	0.631808	0.65616	0.656384	1.0003413801511827
mha4_s128	refine_on	25	12.760064	12.812288	9.584576	0.7480768462276215
llama_s1	refine_off	10	5.428224	5.2597760000000005	4.645232	0.8831615642947531
llama_s1	refine_on	10	49.665584499999994	49.611328	36.400993	0.7337234149426518
llama_s4	refine_off	10	6.217727999999999	6.146528	5.9290400000000005	0.964616121491678
llama_s4	refine_on	10	49.457729	49.477295	41.102337	0.8307312879574358
llama_s16	refine_off	10	6.560256000000001	6.337536	6.8197600000000005	1.0760901397640976
llama_s16	refine_on	10	158.23308550000002	158.310402	131.20256	0.8287677773694239
llama_s64	refine_off	10	10.850816	10.898336	11.739647999999999	1.0771963719966056
llama_s64	refine_on	10	379.50770550000004	379.5660855	422.39488200000005	1.1128362046455809
