model	seq	v2	n	l1	l2	gap	wait	notify	barrier	loop	closure_us
gqa2	4	0	25	0.404480	0.446368	0.040960	0.023552	0.064896	0.038912	-0.008288	0.000000
gqa2	4	1	25	0.392384	0.444416	0.051456	0.021568	0.064704	0.026752	-0.008032	0.000000
gqa2	128	0	25	0.565248	0.613376	0.048256	0.023520	0.069632	0.040256	-0.004192	0.000000
gqa2	128	1	25	0.556256	0.616448	0.060384	0.026368	0.069664	0.031904	-0.003392	0.000000
mha4	4	0	25	0.731136	0.806112	0.076608	0.040960	0.116800	0.069888	-0.011264	0.000000
mha4	4	1	25	0.710656	0.803840	0.093952	0.037856	0.115776	0.049248	-0.010112	0.000000
mha4	128	0	25	1.029120	1.143808	0.114752	0.037568	0.150528	0.070336	-0.004096	0.000000
mha4	128	1	25	1.019904	1.149312	0.129888	0.043040	0.150176	0.061568	-0.003072	0.000000

model	seq	n	ratio_on_over_off	ci95_low	ci95_high	delta_ms	p
gqa2	4	25	0.995423	0.993445	0.997491	-0.002048	4.917e-05
gqa2	128	25	1.005000	1.004643	1.005269	0.003072	1.296e-05
mha4	4	25	0.995762	0.993440	0.997109	-0.003424	1.266e-04
mha4	128	25	1.005281	1.004224	1.006614	0.006208	7.130e-03
