slot	worker	stage	logical_task	smid	wait_begin	ready	run_begin	run_end	publish_end	wait_begin_idx	wait_count	dependency_begin	dependency_count	run_begin_clk	run_end_clk
1909	108	20	68	89	1789554991600648192	1789554991600728064	1789554991600728064	1789554991600729088	1789554991600730112	9401	1	23	1	36988568067800	36988568071365
1910	108	19	68	89	1789554991600730112	1789554991600731136	1789554991600731136	1789554991600732160	1789554991600733184	9402	1	22	1	36988568077283	36988568079770
1911	108	19	324	89	1789554991600733184	1789554991600733184	1789554991600734208	1789554991600734208	1789554991600735232	9403	0	22	1	36988568083377	36988568085292
1912	108	22	68	89	1789554991600735232	1789554991600736256	1789554991600736256	1789554991600737280	1789554991600738304	9403	1	25	1	36988568090731	36988568092692
1913	108	21	68	89	1789554991600738304	1789554991600738304	1789554991600738304	1789554991600739328	1789554991600740352	9404	0	24	1	36988568095967	36988568097712
1914	108	23	68	89	1789554991600740352	1789554991600741376	1789554991600741376	1789554991600763904	1789554991600765952	9404	2	26	3	36988568103145	36988568167004
1915	108	23	324	89	1789554991600765952	1789554991600765952	1789554991600766976	1789554991600784384	1789554991600785408	9406	0	26	3	36988568173533	36988568221971
1916	108	25	64	89	1789554991600785408	1789554991600820224	1789554991600820224	1789554991600822272	1789554991600824320	9406	4	31	1	36988568321508	36988568328344
1917	109	0	109	91	1789554991600491520	1789554991600491520	1789554991600491520	1789554991600494592	1789554991600496640	9410	0	0	0	37001021432531	37001021441667
1918	109	5	229	91	1789554991600496640	1789554991600521216	1789554991600521216	1789554991600522240	1789554991600523264	9410	1	4	1	37001021513959	37001021517540
1919	109	4	229	91	1789554991600523264	1789554991600524288	1789554991600524288	1789554991600525312	1789554991600527360	9411	1	3	1	37001021523450	37001021526321
1920	109	4	485	91	1789554991600527360	1789554991600527360	1789554991600527360	1789554991600527360	1789554991600528384	9412	0	3	1	37001021530047	37001021532112
1921	109	7	229	91	1789554991600528384	1789554991600529408	1789554991600530432	1789554991600530432	1789554991600531456	9412	1	6	1	37001021537818	37001021539914
1922	109	6	229	91	1789554991600531456	1789554991600531456	1789554991600531456	1789554991600532480	1789554991600533504	9413	0	5	1	37001021543347	37001021545095
1923	109	8	229	91	1789554991600533504	1789554991600534528	1789554991600534528	1789554991600552960	1789554991600553984	9413	2	7	3	37001021550277	37001021602018
1924	109	8	485	91	1789554991600555008	1789554991600555008	1789554991600555008	1789554991600574464	1789554991600575488	9415	0	7	3	37001021605863	37001021659310
1925	109	13	81	91	1789554991600575488	1789554991600644096	1789554991600644096	1789554991600647168	1789554991600648192	9415	16	14	2	37001021853087	37001021860498
1926	109	20	69	91	1789554991600648192	1789554991600728064	1789554991600728064	1789554991600729088	1789554991600730112	9431	1	23	1	37001022084244	37001022087781
1927	109	19	69	91	1789554991600730112	1789554991600731136	1789554991600732160	1789554991600732160	1789554991600733184	9432	1	22	1	37001022094041	37001022096518
1928	109	19	325	91	1789554991600733184	1789554991600734208	1789554991600734208	1789554991600734208	1789554991600735232	9433	0	22	1	37001022100001	37001022102020
1929	109	22	69	91	1789554991600735232	1789554991600736256	1789554991600736256	1789554991600737280	1789554991600738304	9433	1	25	1	37001022107436	37001022109403
1930	109	21	69	91	1789554991600738304	1789554991600738304	1789554991600738304	1789554991600739328	1789554991600740352	9434	0	24	1	37001022112721	37001022114442
1931	109	23	69	91	1789554991600740352	1789554991600741376	1789554991600741376	1789554991600763904	1789554991600765952	9434	2	26	3	37001022119662	37001022183081
1932	109	23	325	91	1789554991600765952	1789554991600765952	1789554991600765952	1789554991600784384	1789554991600785408	9436	0	26	3	37001022188974	37001022237883
1933	109	25	65	91	1789554991600785408	1789554991600820224	1789554991600820224	1789554991600823296	1789554991600824320	9436	4	31	1	37001022338124	37001022345195
1934	110	0	110	93	1789554991600491520	1789554991600491520	1789554991600491520	1789554991600494592	1789554991600496640	9440	0	0	0	36988780868363	36988780877622
1935	110	5	230	93	1789554991600496640	1789554991600521216	1789554991600521216	1789554991600522240	1789554991600523264	9440	1	4	1	36988780949655	36988780953203
1936	110	4	230	93	1789554991600523264	1789554991600524288	1789554991600524288	1789554991600525312	1789554991600526336	9441	1	3	1	36988780959017	36988780961924
