stage	logical_stage	combine	task_ns	count
0	0	0	17416	128
1	1	0	86048	64
2	2	0	86752	16
3	3	0	86457.6	16
4	4	0	1097	4096
5	5	0	1295	1024
6	6	0	853	1024
7	7	0	886	1024
8	8	0	20108	4096
9	9	0	94679.2	64
10	10	0	15656	128
11	11	0	159886	224
12	12	0	159980	224
13	13	0	31056	128
14	14	0	285241	64
15	15	0	13312	128
16	16	0	85842.4	64
17	17	0	85961.6	16
18	18	0	84982.4	16
19	19	0	1123.25	4096
20	20	0	1050	1024
21	21	0	872	1024
22	22	0	849	1024
23	23	0	166424	4096
24	24	0	98529.6	64
25	25	0	16384	128
26	26	0	148098	224
27	27	0	170039	224
28	28	0	31040	128
29	29	0	284850	64
30	30	0	13312	128
31	31	0	85840	64
32	32	0	86713.6	16
33	33	0	85980.8	16
34	34	0	1091.5	4096
35	35	0	1303	1024
36	36	0	856	1024
37	37	0	878	1024
38	38	0	20102	4096
39	39	0	1.4389e+06	64
40	40	0	16384	128
41	41	0	161539	224
42	42	0	173970	224
43	43	0	30952	128
44	44	0	284871	64
45	45	0	12832	128
46	46	0	85065.6	64
47	47	0	85145.6	16
48	48	0	84729.6	16
49	49	0	1119.25	4096
50	50	0	1034	1024
51	51	0	852	1024
52	52	0	861	1024
53	53	0	20283.5	4096
54	54	0	94966.4	64
55	55	0	15360	128
56	56	0	160394	224
57	57	0	155240	224
58	58	0	2.33842e+06	128
59	59	0	291814	64
