slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kind_name	simt_barriers	seg_setup	seg_wait	seg_compute	seg_epilogue
0	0	0	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1345	0	2819	1964	1834	130	6128	rmsnorm	8	1345	89	2730	1964
1	2	0	0	0	32	16	64	1	6144	0	1024	3072	1024	1024	0	5120	2159	1087	9366	1243	946	297	13855	gemm	0	2159	2663	7790	1243
2	5	0	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1288	0	1583	159	30	129	3030	rope	0	1288	0	1583	159
3	6	0	3	0	0	0	0	1	0	0	0	0	1024	0	1024	1024	1129	0	988	160	30	130	2277	kvappend	0	1129	0	988	160
4	8	0	5	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1764	0	8115	160	30	130	10039	attention	2	1764	52	8063	160
5	9	0	0	0	32	16	64	1	6144	0	1024	3072	1024	1024	0	5120	2181	1001	9374	1999	1869	130	14555	gemm	0	2181	2464	7911	1999
6	10	0	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1281	0	2910	1946	1815	131	6137	rmsnorm	8	1281	89	2821	1946
7	11	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2180	1088	9742	1073	942	131	14083	gemm	0	2180	3402	7428	1073
8	13	0	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1312	0	6256	160	30	130	7728	elementwise	0	1312	0	6256	160
9	14	0	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	2159	1036	18297	2244	2114	130	23736	gemm	0	2159	4159	15174	2244
10	15	0	1	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1295	0	2910	1842	1712	130	6047	rmsnorm	8	1295	89	2821	1842
11	17	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2159	1021	9461	1233	933	300	13874	gemm	0	2159	2494	7988	1233
12	20	0	2	1	0	0	0	1	0	0	0	1024	0	0	0	1024	1289	0	1580	159	30	129	3028	rope	0	1289	0	1580	159
13	21	0	3	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1128	0	931	160	30	130	2219	kvappend	0	1128	0	931	160
14	23	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1678	0	8384	159	30	129	10221	attention	2	1678	52	8332	159
15	24	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2221	1004	9536	1554	1424	130	14315	gemm	0	2221	2523	8017	1554
16	25	0	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1378	0	2894	2050	1920	130	6322	rmsnorm	8	1378	89	2805	2050
17	26	0	0	1	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2229	1486	9327	1380	1249	131	14422	gemm	0	2229	3594	7219	1380
18	28	0	4	1	0	0	0	1	0	0	0	3072	0	0	0	3072	1339	0	6444	159	30	129	7942	elementwise	0	1339	0	6444	159
19	29	0	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	2220	1035	18327	2037	1907	130	23619	gemm	0	2220	4299	15063	2037
20	0	1	1	0	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1343	0	2909	1913	1783	130	6165	rmsnorm	8	1343	89	2820	1913
21	2	1	0	0	32	16	64	1	6144	0	1024	4096	0	0	0	5120	2168	1030	9424	1251	946	305	13873	gemm	0	2168	2528	7926	1251
