round	execution_index	model	split	order	seq	past	pass	l2_mismatch	max_abs	task_refs	waits	hash_l05	hash_l1	hash_l2
0	0	gqa2	16	0	512	0	0	106624	0.68359375	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	2ff6fde3236089c8
0	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
1	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
1	1	gqa2	16	0	512	0	0	113032	1.0976562	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	4b47c4a0df35ab00
2	0	gqa2	16	0	512	0	0	111666	1	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	db0dba57734af18f
2	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
3	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
3	1	gqa2	16	0	512	0	0	112510	1.0898438	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	6e6f2e4d70f1017e
4	0	gqa2	16	0	512	0	0	54589	0.69140625	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	6e0e6725f8cd81ab
4	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
5	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
5	1	gqa2	16	0	512	0	0	216049	1.1054688	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	ec840bbe2cc86885
6	0	gqa2	16	0	512	0	0	113801	0.875	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	fefdea0894b4ad7b
6	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
7	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
7	1	gqa2	16	0	512	0	0	60328	0.90625	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	9ce944745a632323
8	0	gqa2	16	0	512	0	0	57034	0.70507812	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	123760b7d8099982
8	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
9	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
9	1	gqa2	16	0	512	0	0	110475	0.75683594	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8ff8ed9718093de3
10	0	gqa2	16	0	512	0	0	99838	0.765625	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b18c340c925a275
10	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
11	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
11	1	gqa2	16	0	512	0	0	163880	1.0976562	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	4af5ae7295175f7b
12	0	gqa2	16	0	512	0	0	209892	1.0976562	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	bb42f90c23fb2ce0
12	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
13	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
13	1	gqa2	16	0	512	0	0	112112	0.765625	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	e2181979721f13d6
14	0	gqa2	16	0	512	0	0	108412	1	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	b9610a8ee114bf52
14	1	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
15	0	gqa2	16	1	512	0	1	0	0	21760	314710	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d
15	1	gqa2	16	0	512	0	0	112779	1.0976562	21760	314344	8b8a3de9e7f35f9d	8b8a3de9e7f35f9d	2a8b9a2fb9d87b79
