solver	model	seq	phase	count	total_ms
skeleton	r10_seed_smoke.cu.export	1	cache_hit	702901	0
skeleton	r10_seed_smoke.cu.export	1	cache_miss	865	0
skeleton	r10_seed_smoke.cu.export	1	derive	1	293.631
skeleton	r10_seed_smoke.cu.export	1	flow	2518	28197.3
skeleton	r10_seed_smoke.cu.export	1	incremental_prepare	3777	8.44964
skeleton	r10_seed_smoke.cu.export	1	instantiate	1	1.62918
skeleton	r10_seed_smoke.cu.export	1	instantiate_and_derive	3776	40217.7
skeleton	r10_seed_smoke.cu.export	1	piece_pricing_and_release	3777	175534
skeleton	r10_seed_smoke.cu.export	1	prepare_derive	0	30979.1
skeleton	r10_seed_smoke.cu.export	1	prepare_edges	0	84294.5
skeleton	r10_seed_smoke.cu.export	1	prepare_graph	0	4134.23
skeleton	r10_seed_smoke.cu.export	1	prepare_piece_map	0	1632.37
skeleton	r10_seed_smoke.cu.export	1	prepare_price	0	39164.9
skeleton	r10_seed_smoke.cu.export	1	prepare_relations	1	5208.36
skeleton	r10_seed_smoke.cu.export	1	prepare_spaces	0	84120
skeleton	r10_seed_smoke.cu.export	1	price_cache_hit	1200	0
skeleton	r10_seed_smoke.cu.export	1	price_cache_miss	1016	0
skeleton	r10_seed_smoke.cu.export	1	release_cache_hit	693429	0
skeleton	r10_seed_smoke.cu.export	1	resource_probe	5204	4364.58
skeleton	r10_seed_smoke.cu.export	1	search_evaluations	1259	0
skeleton	r10_seed_smoke.cu.export	1	search_rounds	2	0
skeleton	r10_seed_smoke.cu.export	1	space_cache_hit	127042	0
skeleton	r10_seed_smoke.cu.export	1	space_cache_miss	2216	0
