cell	rank	mode	flow_ms	fluid_ms	measured_ms	estimated_rmax	actual_rmax	re_solved	evidence
llama_prefill_B1	1	L1	4.04715	4.04715	3.6971	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B1/plan.so.top3_measured.tsv
llama_prefill_B1	1	L2	4.04715	4.04715	3.82116	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B1/plan.so.top3_measured.tsv
llama_prefill_B1	2	L1	4.04715	4.04715	3.98361	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B1/plan.so.top3_measured.tsv
llama_prefill_B1	2	L2	4.04715	4.04715	4.11587	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B1/plan.so.top3_measured.tsv
llama_prefill_B1	3	L1	4.04715	4.04715	3.69727	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B1/plan.so.top3_measured.tsv
llama_prefill_B1	3	L2	4.04715	4.04715	3.83119	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B1/plan.so.top3_measured.tsv
llama_prefill_B2	1	L1	4.33478	4.33478	4.69347	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B2/plan.so.top3_measured.tsv
llama_prefill_B2	1	L2	4.33478	4.33478	4.80447	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B2/plan.so.top3_measured.tsv
llama_prefill_B2	2	L1	4.33478	4.33478	4.71842	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B2/plan.so.top3_measured.tsv
llama_prefill_B2	2	L2	4.33478	4.33478	4.76897	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B2/plan.so.top3_measured.tsv
llama_prefill_B2	3	L1	4.33478	4.33478	4.73618	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B2/plan.so.top3_measured.tsv
llama_prefill_B2	3	L2	4.33478	4.33478	4.78556	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B2/plan.so.top3_measured.tsv
llama_prefill_B4	1	L1	6.59188	6.50896	8.5334	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B4/plan.so.top3_measured.tsv
llama_prefill_B4	1	L2	6.59188	6.50896	9.933	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B4/plan.so.top3_measured.tsv
llama_prefill_B4	2	L1	6.59188	6.50896	8.482	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B4/plan.so.top3_measured.tsv
llama_prefill_B4	2	L2	6.59188	6.50896	8.58322	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B4/plan.so.top3_measured.tsv
llama_prefill_B4	3	L1	6.59188	6.50896	9.20924	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B4/plan.so.top3_measured.tsv
llama_prefill_B4	3	L2	6.59188	6.50896	9.55105	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B4/plan.so.top3_measured.tsv
llama_prefill_B8	1	L1	11.3378	11.089	11.7275	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B8/plan.so.top3_measured.tsv
llama_prefill_B8	1	L2	11.3378	11.089	12.126	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B8/plan.so.top3_measured.tsv
llama_prefill_B8	2	L1	11.3378	11.089	11.7079	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B8/plan.so.top3_measured.tsv
llama_prefill_B8	2	L2	11.3378	11.089	11.9742	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B8/plan.so.top3_measured.tsv
llama_prefill_B8	3	L1	11.3378	11.089	11.733	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B8/plan.so.top3_measured.tsv
llama_prefill_B8	3	L2	11.3378	11.089	12.0814	1	1	0	closure_r11/historical_b22/plans/llama_prefill_B8/plan.so.top3_measured.tsv
llama_decode_B1	1	L1	3.88965	3.90785	3.93944	1	1	0	closure_r11/historical_b22/plans/llama_decode_B1/plan.so.top3_measured.tsv
llama_decode_B1	1	L2	3.88965	3.90785	4.14084	1	1	0	closure_r11/historical_b22/plans/llama_decode_B1/plan.so.top3_measured.tsv
llama_decode_B1	2	L1	3.88965	3.90785	3.96413	1	1	0	closure_r11/historical_b22/plans/llama_decode_B1/plan.so.top3_measured.tsv
llama_decode_B1	2	L2	3.88965	3.90785	4.16753	1	1	0	closure_r11/historical_b22/plans/llama_decode_B1/plan.so.top3_measured.tsv
llama_decode_B1	3	L1	3.88965	3.90785	3.25978	1	1	0	closure_r11/historical_b22/plans/llama_decode_B1/plan.so.top3_measured.tsv
llama_decode_B1	3	L2	3.88965	3.90785	3.37896	1	1	0	closure_r11/historical_b22/plans/llama_decode_B1/plan.so.top3_measured.tsv
llama_decode_B2	1	L1	4.0407	4.24425	6.99734	1	1	0	closure_r11/historical_b22/plans/llama_decode_B2/plan.so.top3_measured.tsv
llama_decode_B2	1	L2	4.0407	4.24425	7.75007	1	1	0	closure_r11/historical_b22/plans/llama_decode_B2/plan.so.top3_measured.tsv
llama_decode_B2	2	L1	4.0407	4.24425	6.34692	1	1	0	closure_r11/historical_b22/plans/llama_decode_B2/plan.so.top3_measured.tsv
llama_decode_B2	2	L2	4.0407	4.24425	5.38726	1	1	0	closure_r11/historical_b22/plans/llama_decode_B2/plan.so.top3_measured.tsv
llama_decode_B2	3	L1	4.0407	4.24425	7.12576	1	1	0	closure_r11/historical_b22/plans/llama_decode_B2/plan.so.top3_measured.tsv
llama_decode_B2	3	L2	4.0407	4.24425	5.19924	1	1	0	closure_r11/historical_b22/plans/llama_decode_B2/plan.so.top3_measured.tsv
llama_decode_B4	1	L1	4.26361	4.39124	4.56442	1	1	0	closure_r11/historical_b22/plans/llama_decode_B4/plan.so.top3_measured.tsv
llama_decode_B4	1	L2	4.26361	4.39124	4.78162	1	1	0	closure_r11/historical_b22/plans/llama_decode_B4/plan.so.top3_measured.tsv
llama_decode_B4	2	L1	4.26361	4.39124	5.0259	1	1	0	closure_r11/historical_b22/plans/llama_decode_B4/plan.so.top3_measured.tsv
llama_decode_B4	2	L2	4.26361	4.39124	5.15213	1	1	0	closure_r11/historical_b22/plans/llama_decode_B4/plan.so.top3_measured.tsv
llama_decode_B4	3	L1	4.26361	4.39124	4.88971	1	1	0	closure_r11/historical_b22/plans/llama_decode_B4/plan.so.top3_measured.tsv
llama_decode_B4	3	L2	4.26361	4.39124	5.12295	1	1	0	closure_r11/historical_b22/plans/llama_decode_B4/plan.so.top3_measured.tsv
llama_decode_B8	1	L1	4.64053	4.64053	5.95399	1	1	0	closure_r11/historical_b22/plans/llama_decode_B8/plan.so.top3_measured.tsv
llama_decode_B8	1	L2	4.64053	4.64053	5.98883	1	1	0	closure_r11/historical_b22/plans/llama_decode_B8/plan.so.top3_measured.tsv
llama_decode_B8	2	L1	4.64053	4.64053	5.64215	1	1	0	closure_r11/historical_b22/plans/llama_decode_B8/plan.so.top3_measured.tsv
llama_decode_B8	2	L2	4.64053	4.64053	5.77096	1	1	0	closure_r11/historical_b22/plans/llama_decode_B8/plan.so.top3_measured.tsv
llama_decode_B8	3	L1	4.64053	4.64053	5.10555	1	1	0	closure_r11/historical_b22/plans/llama_decode_B8/plan.so.top3_measured.tsv
llama_decode_B8	3	L2	4.64053	4.64053	5.22883	1	1	0	closure_r11/historical_b22/plans/llama_decode_B8/plan.so.top3_measured.tsv
llama_decode_B16	1	L1	4.64059	4.64059	4.16642	1	1	0	closure_r11/historical_b22/plans/llama_decode_B16/plan.so.top3_measured.tsv
llama_decode_B16	1	L2	4.64059	4.64059	4.22063	1	1	0	closure_r11/historical_b22/plans/llama_decode_B16/plan.so.top3_measured.tsv
llama_decode_B16	2	L1	4.64059	4.64059	4.15188	1	1	0	closure_r11/historical_b22/plans/llama_decode_B16/plan.so.top3_measured.tsv
llama_decode_B16	2	L2	4.64059	4.64059	4.16257	1	1	0	closure_r11/historical_b22/plans/llama_decode_B16/plan.so.top3_measured.tsv
llama_decode_B16	3	L1	4.64059	4.64059	4.19172	1	1	0	closure_r11/historical_b22/plans/llama_decode_B16/plan.so.top3_measured.tsv
llama_decode_B16	3	L2	4.64059	4.64059	4.20974	1	1	0	closure_r11/historical_b22/plans/llama_decode_B16/plan.so.top3_measured.tsv
qwen3_prefill_B1	1	L1	7.09717	7.09717	6.0744	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B1/plan.so.top3_measured.tsv
qwen3_prefill_B1	1	L2	7.09717	7.09717	6.3822	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B1/plan.so.top3_measured.tsv
qwen3_prefill_B1	2	L1	7.09717	7.09717	6.11163	1	1	0	closure_r11/historical_b22/plans/qwen3_prefill_B1/plan.so.top3_measured.tsv
