model	batch	rank	mode	T_ms	floor_ms	synchronization_ms	fixed_ms	contention_ms	chain_delay_ms	pg_upper_bound_ms	chain_depth	bubble_us	attention_chain_share	chain_protocol_constants_ms	rmsnorm_links	rmsnorm_chain_wall_ms	rmsnorm_protocol_fixed_bound_ms	attention_chain_wall_ms	evidence
llama	1	3	L1	3.8417513012307416	2.5372328467046894	0.5339046075620134	0.4328579372114963	0.011821134808992035	0.3259347749435506	1.3045184545260524	132	9.882715564591306	0.09943937968744769	0.528917854142001	33	0.15510437923181103	0.15927910451619995	0.38202136630782996	plans/llama_decode_B1/winner.flow.tsv
llama	2	3	L2	4.001440633671185	2.556462376434395	0.5793205533860167	0.44281031673789395	0.011821134808992035	0.4110262523038876	1.4449782572367904	132	10.946804979066593	0.12147749190626597	0.528917854142001	33	0.15510437923181114	0.15927910451619995	0.48608497219019525	plans/llama_decode_B2/winner.flow.tsv
llama	4	1	L1	4.224346661837392	2.5949214358938066	0.5793205533860195	0.4428103167378935	0.011821134808992035	0.5954732210106799	1.6294252259435849	132	12.344130499572612	0.1678212780932149	0.528917854142001	33	0.15510437923181103	0.15927910451619995	0.7089352558983569	plans/llama_decode_B4/winner.flow.tsv
llama	8	3	L1	4.640530619240304	2.67183955481263	0.46872207292201973	0.4074754665394952	0.011821134808992035	1.0806723901571678	1.6269054439560264	116	16.971474693342024	0.25863187069118104	0.4637353195020008	33	0.15510437923181114	0.15927910451619995	1.2001891150538246	plans/llama_decode_B8/winner.flow.tsv
qwen3	1	1	L1	6.061936656634065	3.573016467402418	0.9260739438050362	0.9021552768160896	0.014003679658955895	0.6466872889515646	2.14458182304725	228	10.916316619437044	0.1647179062144505	0.9200130619819966	57	0.2691907410084013	0.2773001114458005	0.9985095136853894	plans/qwen3_decode_B1/winner.flow.tsv
qwen3	2	3	L2	6.510320542378397	3.640317438570597	1.0055518489970416	0.9195719409872946	0.014003679658954963	0.9308756341645094	2.1416515422039666	228	12.58773291143772	0.2073317725844243	0.9200130619819966	57	0.2691907410084014	0.2773001114458005	1.349796298144104	plans/qwen3_decode_B2/winner.flow.tsv
