seq	placement	floor_ns	predicted_ns	error
1	wavefront	56298.2	168442	
1	eft	59866.3	165284	
1	rotate	62002.8	178374	
1	chain	66876.3	176193	
1	legacy_grid_stride	76723.9	216195	
1	balanced	974764	1.39859e+06	
2	wavefront	56855.9	169000	
2	eft	58750.5	165953	
2	rotate	62671.1	179042	
2	chain	68273.2	176410	
2	legacy_grid_stride	77613.3	217084	
2	balanced	733402	1.13976e+06	
3	wavefront	57413.6	169557	
3	eft	59418.8	166621	
3	rotate	63339.4	179710	
3	chain	67976.5	177308	
3	legacy_grid_stride	78502.7	217974	
3	balanced	746005	1.1397e+06	
4	wavefront	57971.3	170115	
4	eft	60087.1	167289	
4	rotate	64007.6	180379	
4	chain	68534.2	177866	
4	legacy_grid_stride	79392.1	218863	
4	balanced	739564	1.12539e+06	
5	wavefront	58529	170673	
5	eft	60755.4	167957	
5	rotate	64675.9	181047	
5	chain	69091.9	178424	
5	legacy_grid_stride	80281.6	219752	
5	balanced	737466	1.19123e+06	
6	wavefront	59086.7	171230	
6	eft	61423.6	168626	
6	rotate	65344.2	181715	
6	chain	69649.6	178982	
6	legacy_grid_stride	81171	220642	
6	balanced	751766	1.14301e+06	
7	wavefront	59644.4	171788	
7	eft	62091.9	169294	
7	rotate	66012.5	182383	
7	chain	70207.3	179539	
7	legacy_grid_stride	82060.4	221531	
7	balanced	746791	1.16097e+06	
8	eft	60202.1	164198	
8	wavefront	60202.1	172346	
8	rotate	66680.7	183052	
8	chain	70765	179057	
8	legacy_grid_stride	82949.8	222421	
8	balanced	764710	1.18939e+06	
9	eft	60759.8	164756	
9	wavefront	60759.8	172904	
9	rotate	67349	183720	
9	chain	71322.6	180655	
9	legacy_grid_stride	83839.2	223310	
9	balanced	963964	1.56318e+06	
10	eft	61317.5	165313	
10	wavefront	61317.5	173461	
10	rotate	68017.3	184388	
10	chain	71880.3	181212	
10	legacy_grid_stride	84728.7	224200	
10	balanced	871090	1.33152e+06	
11	eft	61875.1	165871	
11	wavefront	61875.1	174019	
11	rotate	68685.5	185057	
11	chain	72438	181770	
11	legacy_grid_stride	85618.1	225089	
11	balanced	672273	1.10191e+06	
12	eft	62432.8	166429	
12	wavefront	62432.8	174577	
12	rotate	69353.8	185725	
12	chain	72995.7	182328	
12	legacy_grid_stride	86507.5	225978	
12	balanced	689922	1.06338e+06	
13	eft	62990.5	166986	
13	wavefront	62990.5	175134	
13	rotate	70022.1	186393	
13	chain	76420.9	186827	
13	legacy_grid_stride	87396.9	226868	
13	balanced	629830	1.03442e+06	
14	eft	63548.2	167544	
14	wavefront	63548.2	175692	
14	rotate	70690.3	187061	
14	chain	74111.1	183443	
14	legacy_grid_stride	88286.4	227757	
14	balanced	892849	1.44262e+06	
15	eft	64105.9	168102	
15	wavefront	64105.9	176250	
15	rotate	71358.6	187730	
15	chain	74668.8	184001	
15	legacy_grid_stride	89175.8	228647	
15	balanced	756508	1.19535e+06	
16	eft	64663.6	168660	
16	wavefront	64663.6	176807	
16	rotate	72026.9	188398	
16	chain	75801.7	187462	
16	legacy_grid_stride	90065.2	229536	
16	balanced	724181	1.19029e+06	
