slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
0	1	0	0	0	1	0	1789794411651268608	1093036764666	1789794411651269632	1093036765854	1789794411651269632	1093036765854	1789794411651270656	1093036769235	1789794411651271680	1093036770750	1789794411651271680	1093036770889	0	0	0	0	92	8
1	0	32	16	32	1	3072	1789794411651273728	1093036776174	1789794411651274752	1093036778490	1789794411651274752	1093036779373	1789794411651282944	1093036798413	1789794411651283968	1093036800808	1789794411651283968	1093036801075	1093036779552	1093036798231	6137	16	0	0
2	2	0	0	0	1	0	1789794411651286016	1093036806915	1789794411651287040	1093036808231	1789794411651287040	1093036808231	1789794411651287040	1093036809632	1789794411651287040	1093036809663	1789794411651287040	1093036810094	0	0	0	0	0	0
3	3	0	0	0	1	0	1789794411651288064	1093036813042	1789794411651289088	1093036814216	1789794411651289088	1093036814216	1789794411651289088	1093036815247	1789794411651289088	1093036815277	1789794411651290112	1093036815673	0	0	0	0	0	0
4	5	0	0	0	1	0	1789794411651293184	1093036825731	1789794411651294208	1093036827637	1789794411651294208	1093036827637	1789794411651320832	1093036893144	1789794411651320832	1093036893180	1789794411651320832	1093036893312	0	0	0	0	53	2
5	0	32	16	32	1	3072	1789794411651325952	1093036907555	1789794411651328000	1093036910881	1789794411651328000	1093036912515	1789794411651339264	1093036939749	1789794411651340288	1093036943689	1789794411651340288	1093036943823	1093036912638	1093036939610	11679	16	0	0
6	1	0	0	0	1	0	1789794411651344384	1093036954189	1789794411651345408	1093036955318	1789794411651345408	1093036955318	1789794411651346432	1093036958997	1789794411651347456	1093036960280	1789794411651347456	1093036960412	0	0	0	0	99	8
7	0	32	16	32	1	3072	1789794411651350528	1093036969291	1789794411651351552	1093036970444	1789794411651351552	1093036971306	1789794411651359744	1093036991979	1789794411651360768	1093036994455	1789794411651360768	1093036994585	1093036972315	1093036991767	6416	16	0	0
8	4	0	0	0	1	0	1789794411651369984	1093037015874	1789794411651369984	1093037016859	1789794411651369984	1093037016859	1789794411651373056	1093037023746	1789794411651373056	1093037023777	1789794411651373056	1093037023908	0	0	0	0	0	0
9	0	32	16	32	1	3072	1789794411651375104	1093037029273	1789794411651376128	1093037031459	1789794411651376128	1093037032382	1789794411651389440	1093037067021	1789794411651391488	1093037070608	1789794411651391488	1093037070742	1093037032413	1093037066842	14599	32	0	0
10	1	0	0	0	1	0	1789794411651395584	1093037081882	1789794411651396608	1093037083142	1789794411651396608	1093037083142	1789794411651397632	1093037086300	1789794411651398656	1093037088174	1789794411651398656	1093037088313	0	0	0	0	89	8
11	0	32	16	32	1	3072	1789794411651399680	1093037093094	1789794411651400704	1093037095280	1789794411651401728	1093037096239	1789794411651407872	1093037113400	1789794411651408896	1093037115534	1789794411651408896	1093037115786	1093037096275	1093037113229	7281	16	0	0
12	2	0	0	0	1	0	1789794411651414016	1093037128309	1789794411651415040	1093037129593	1789794411651415040	1093037129593	1789794411651415040	1093037131553	1789794411651415040	1093037131583	1789794411651416064	1093037132162	0	0	0	0	0	0
13	3	0	0	0	1	0	1789794411651417088	1093037136749	1789794411651418112	1093037137925	1789794411651418112	1093037137925	1789794411651418112	1093037138980	1789794411651418112	1093037139015	1789794411651418112	1093037139155	0	0	0	0	0	0
14	5	0	0	0	1	0	1789794411651422208	1093037149799	1789794411651423232	1093037151791	1789794411651423232	1093037151791	1789794411651448832	1093037216307	1789794411651448832	1093037216338	1789794411651448832	1093037216469	0	0	0	0	52	2
15	0	32	16	32	1	3072	1789794411651454976	1093037231756	1789794411651456000	1093037233446	1789794411651456000	1093037234030	1789794411651465216	1093037255786	1789794411651466240	1093037260304	1789794411651466240	1093037260451	1093037234330	1093037255652	11906	16	0	0
16	1	0	0	0	1	0	1789794411651470336	1093037268613	1789794411651470336	1093037270173	1789794411651470336	1093037270173	1789794411651472384	1093037273618	1789794411651472384	1093037274939	1789794411651472384	1093037275071	0	0	0	0	99	8
17	0	32	16	32	1	3072	1789794411651475456	1093037281975	1789794411651476480	1093037284175	1789794411651476480	1093037285021	1789794411651483648	1093037303951	1789794411651485696	1093037306707	1789794411651485696	1093037307146	1093037285691	1093037303761	7042	16	0	0
18	4	0	0	0	1	0	1789794411651492864	1093037324913	1789794411651492864	1093037326102	1789794411651492864	1093037326102	1789794411651495936	1093037332733	1789794411651495936	1093037332763	1789794411651495936	1093037332931	0	0	0	0	0	0
19	0	32	16	32	1	3072	1789794411651497984	1093037337774	1789794411651499008	1093037340018	1789794411651499008	1093037340925	1789794411651512320	1093037375018	1789794411651513344	1093037378250	1789794411651513344	1093037378407	1093037340993	1093037374873	15073	32	0	0
20	1	0	0	0	1	0	1789794411651268608	1093036764712	1789794411651269632	1093036765864	1789794411651269632	1093036765864	1789794411651270656	1093036769283	1789794411651271680	1093036770761	1789794411651271680	1093036770900	0	0	0	0	91	8
21	0	32	16	32	1	3072	1789794411651273728	1093036776339	1789794411651274752	1093036778560	1789794411651274752	1093036779554	1789794411651282944	1093036798642	1789794411651283968	1093036800920	1789794411651283968	1093036801079	1093036779955	1093036798471	6042	16	0	0
22	2	0	0	0	1	0	1789794411651286016	1093036806936	1789794411651287040	1093036808002	1789794411651287040	1093036808002	1789794411651287040	1093036809652	1789794411651287040	1093036809686	1789794411651287040	1093036810103	0	0	0	0	0	0
23	3	0	0	0	1	0	1789794411651288064	1093036813009	1789794411651289088	1093036814259	1789794411651289088	1093036814259	1789794411651289088	1093036815503	1789794411651289088	1093036815533	1789794411651290112	1093036815669	0	0	0	0	0	0
24	5	0	0	0	1	0	1789794411651293184	1093036825743	1789794411651294208	1093036827708	1789794411651294208	1093036827708	1789794411651320832	1093036893120	1789794411651320832	1093036893152	1789794411651320832	1093036893283	0	0	0	0	52	2
25	0	32	16	32	1	3072	1789794411651326976	1093036908666	1789794411651328000	1093036910955	1789794411651328000	1093036912532	1789794411651339264	1093036939909	1789794411651340288	1093036943475	1789794411651340288	1093036943646	1093036912682	1093036939743	9698	16	0	0
26	1	0	0	0	1	0	1789794411651344384	1093036952821	1789794411651344384	1093036954148	1789794411651344384	1093036954148	1789794411651346432	1093036958082	1789794411651347456	1093036960560	1789794411651347456	1093036960690	0	0	0	0	116	8
27	0	32	16	32	1	3072	1789794411651350528	1093036968041	1789794411651351552	1093036970293	1789794411651351552	1093036971250	1789794411651360768	1093036993353	1789794411651361792	1093036995334	1789794411651361792	1093036995648	1093036972086	1093036993228	6382	16	0	0
28	4	0	0	0	1	0	1789794411651368960	1093037015242	1789794411651369984	1093037016859	1789794411651369984	1093037016859	1789794411651373056	1093037023702	1789794411651373056	1093037023734	1789794411651373056	1093037023864	0	0	0	0	0	0
29	0	32	16	32	1	3072	1789794411651375104	1093037029871	1789794411651376128	1093037031600	1789794411651376128	1093037032747	1789794411651390464	1093037069198	1789794411651391488	1093037072085	1789794411651391488	1093037072370	1093037032827	1093037069076	14402	32	0	0
30	1	0	0	0	1	0	1789794411651395584	1093037081812	1789794411651396608	1093037083148	1789794411651396608	1093037083148	1789794411651397632	1093037086563	1789794411651398656	1093037088183	1789794411651398656	1093037088315	0	0	0	0	95	8
31	0	32	16	32	1	3072	1789794411651400704	1093037093114	1789794411651400704	1093037095351	1789794411651401728	1093037096627	1789794411651408896	1093037113779	1789794411651408896	1093037115799	1789794411651408896	1093037115959	1093037096714	1093037113657	6603	16	0	0
32	2	0	0	0	1	0	1789794411651414016	1093037128324	1789794411651415040	1093037129590	1789794411651415040	1093037129590	1789794411651415040	1093037131625	1789794411651415040	1093037131687	1789794411651416064	1093037132155	0	0	0	0	0	0
