model	split	fp32_partials	round	pass	mismatch	max_abs	partial_bytes	l05_ms	l1_ms	l2_ms
gqa2	1	0	0	1	0	0.03125	0	0.562368	0.568320	0.609376
gqa2	1	1	0	1	0	0.03125	0	0.558080	0.564448	0.615424
gqa2	2	0	0	0	2	0.09375	4194304	1.174400	1.170624	1.227584
gqa2	2	1	0	1	0	0.03125	8388608	1.260544	1.261568	1.324032
gqa2	4	0	0	0	1	0.0625	8388608	0.916480	0.831584	0.970624
gqa2	4	1	0	1	0	0.03125	16777216	1.009664	0.921696	1.057792
gqa2	8	0	0	1	0	0.0625	16777216	0.921792	1.047552	0.974688
gqa2	8	1	0	1	0	0.03125	33554432	1.038208	1.141760	1.075200
gqa2	16	0	0	0	3	0.09375	33554432	1.070080	1.659712	1.107936
gqa2	16	1	0	1	0	0.03125	67108864	1.145952	1.627136	1.163264
mha4	1	0	0	1	0	0.03125	0	1.037312	1.038464	1.130400
mha4	1	1	0	1	0	0.03125	0	1.019904	1.028096	1.141760
mha4	2	0	0	0	57	0.078125	9437184	2.141184	2.142272	2.263040
mha4	2	1	0	1	0	0.046875	18874368	2.299904	2.298880	2.430976
mha4	4	0	0	0	69	0.078125	18874368	1.782784	1.631296	1.907712
mha4	4	1	0	1	0	0.046875	37748736	1.970176	1.806432	2.080768
mha4	8	0	0	0	70	0.09375	37748736	1.795040	2.045952	1.919840
mha4	8	1	0	1	0	0.046875	75497472	2.074368	2.268256	2.162688
mha4	16	0	0	0	61	0.09375	75497472	2.008928	3.066976	2.077600
mha4	16	1	0	1	0	0.046875	150994944	2.361472	3.289088	2.417664
gqa2	1	1	1	1	0	0.03125	0	0.507776	0.514080	0.559104
gqa2	2	0	1	0	2	0.09375	4194304	1.071104	1.070080	1.115296
gqa2	2	1	1	1	0	0.03125	8388608	1.148928	1.146944	1.205248
gqa2	4	0	1	0	1	0.0625	8388608	0.892928	0.813184	0.945152
gqa2	4	1	1	1	0	0.03125	16777216	0.983040	0.900192	1.028096
gqa2	8	0	1	1	0	0.0625	16777216	0.898048	1.020928	0.950272
gqa2	8	1	1	1	0	0.03125	33554432	1.010688	1.112064	1.049600
gqa2	16	0	1	0	3	0.09375	33554432	1.071104	1.657024	1.107968
gqa2	16	1	1	1	0	0.03125	67108864	1.168384	1.655904	1.187648
mha4	1	0	1	1	0	0.03125	0	1.055680	1.066112	1.160320
mha4	1	1	1	1	0	0.03125	0	1.047424	1.062624	1.174528
mha4	2	0	1	0	57	0.078125	9437184	2.351104	2.183264	2.314240
mha4	2	1	1	1	0	0.046875	18874368	2.298720	2.295808	2.427904
mha4	4	0	1	0	69	0.078125	18874368	1.782784	1.632256	1.907712
mha4	4	1	1	1	0	0.046875	37748736	1.969184	1.807200	2.081696
mha4	8	0	1	0	70	0.09375	37748736	1.796096	2.045952	1.919904
mha4	8	1	1	1	0	0.046875	75497472	2.078720	2.269184	2.163712
mha4	16	0	1	0	61	0.09375	75497472	2.010112	3.068032	2.077952
mha4	16	1	1	1	0	0.046875	150994944	2.371584	3.293184	2.427808
gqa2	1	0	1	1	0	0.03125	0	0.512224	0.514912	0.553984
gqa2	2	0	2	0	2	0.09375	4194304	1.071104	1.071008	1.117184
gqa2	2	1	2	1	0	0.03125	8388608	1.147904	1.147744	1.206272
