stage	tasks	first_ready_ns	first_start_ns	last_end_ns	run_total_ns	wait_total_ns	name	category	external_bytes	streaming_ns	wall_span_ns	space_excess_ns
0	64	1790328442212619264	1790328442212619264	1790328442212630528	448512	0	l0.s00.embed	embed	262656.0	267.58411729214646	11264	10996.415882707854
1	64	1790328442212627456	1790328442212627456	1790328442212639744	400384	1024	l0.s01.norm	norm	4096.0	4.172851731651407	12288	12283.827148268349
2	512	1790328442212638720	1790328442212638720	1790328442212692992	12872704	7864320	l0.s02.proj	proj	8388608.0	8546.00034642208	54272	45725.99965357792
3	256	1790328442212669440	1790328442212670464	1790328442212699136	1048576	832512	l0.s02.proj.combine	combine	0.0	0.0	29696	29696.0
4	128	1790328442212638720	1790328442212638720	1790328442212673536	3144704	1383424	l0.s03.proj	proj	2097152.0	2136.50008660552	34816	32679.49991339448
5	64	1790328442212667392	1790328442212667392	1790328442212685824	236544	111616	l0.s03.proj.combine	combine	0.0	0.0	18432	18432.0
6	128	1790328442212664320	1790328442212664320	1790328442212691968	1806336	110592	l0.s04.proj	proj	2097152.0	2136.50008660552	27648	25511.49991339448
7	64	1790328442212684800	1790328442212685824	1790328442212698112	181248	112640	l0.s04.proj.combine	combine	0.0	0.0	13312	13312.0
8	2048	1790328442212699136	1790328442212699136	1790328442212724736	1747968	697344	l0.s05.rope	rope	64.0	0.06520080830705323	25600	25599.934799191695
9	512	1790328442212685824	1790328442212685824	1790328442212700160	425984	1388544	l0.s06.rope	rope	64.0	0.06520080830705323	14336	14335.934799191693
10	512	1790328442212691968	1790328442212691968	1790328442212704256	338944	57344	l0.s07.append	append	65536.0	66.7656277064225	12288	12221.234372293577
11	512	1790328442212698112	1790328442212698112	1790328442212708352	489472	2732032	l0.s08.append	append	65536.0	66.7656277064225	10240	10173.234372293577
12	2048	1790328442212711424	1790328442212711424	1790328442212752384	11699200	1402880	l0.s09.attn	attn	6144.0	6.25927759747711	40960	40953.74072240252
13	512	1790328442212753408	1790328442212753408	1790328442212785152	12745728	4192256	l0.s10.proj	proj	8388608.0	8546.00034642208	31744	23197.99965357792
14	256	1790328442212777984	1790328442212777984	1790328442212794368	931840	925696	l0.s10.proj.combine	combine	0.0	0.0	16384	16384.0
15	64	1790328442212794368	1790328442212794368	1790328442212807680	377856	443392	l0.s11.norm	norm	4096.0	4.172851731651407	13312	13307.827148268349
16	2048	1790328442212808704	1790328442212808704	1790328442212997120	53784576	11928576	l0.s12.proj	proj	33554432.0	34184.00138568832	188416	154231.99861431168
17	1024	1790328442212964352	1790328442212964352	1790328442213081088	4209664	1321984	l0.s12.proj.combine	combine	0.0	0.0	116736	116736.0
18	2048	1790328442212887552	1790328442212887552	1790328442213064704	32633856	311296	l0.s13.proj	proj	33554432.0	34184.00138568832	177152	142967.99861431168
19	1024	1790328442212981760	1790328442212982784	1790328442213095424	3741696	4478976	l0.s13.proj.combine	combine	0.0	0.0	113664	113664.0
20	64	1790328442213088256	1790328442213089280	1790328442213122048	1428480	3771392	l0.s14.act	act	0.0	0.0	33792	33792.0
21	512	1790328442213115904	1790328442213115904	1790328442213243904	41039872	30951424	l0.s15.proj	proj	33554432.0	34184.00138568832	128000	93815.99861431168
22	256	1790328442213179392	1790328442213180416	1790328442213251072	1415168	6397952	l0.s15.proj.combine	combine	0.0	0.0	71680	71680.0
23	64	1790328442213235712	1790328442213236736	1790328442213265408	368640	1564672	l0.s16.norm	norm	4096.0	4.172851731651407	29696	29691.82714826835
24	512	1790328442213246976	1790328442213246976	1790328442213300224	10702848	12167168	l0.s17.proj	proj	8388608.0	8546.00034642208	53248	44701.99965357792
25	256	1790328442213278720	1790328442213279744	1790328442213306368	843776	645120	l0.s17.proj.combine	combine	0.0	0.0	27648	27648.0
26	128	1790328442213246976	1790328442213246976	1790328442213295104	2530304	3353600	l0.s18.proj	proj	2097152.0	2136.50008660552	48128	45991.49991339448
27	64	1790328442213283840	1790328442213283840	1790328442213301248	222208	204800	l0.s18.proj.combine	combine	0.0	0.0	17408	17408.0
28	128	1790328442213266432	1790328442213266432	1790328442213300224	2002944	135168	l0.s19.proj	proj	2097152.0	2136.50008660552	33792	31655.49991339448
29	64	1790328442213291008	1790328442213292032	1790328442213305344	190464	134144	l0.s19.proj.combine	combine	0.0	0.0	14336	14336.0
30	2048	1790328442213306368	1790328442213306368	1790328442213344256	1807360	659456	l0.s20.rope	rope	64.0	0.06520080830705323	37888	37887.934799191695
31	512	1790328442213301248	1790328442213301248	1790328442213314560	448512	863232	l0.s21.rope	rope	64.0	0.06520080830705323	13312	13311.934799191693
32	512	1790328442213307392	1790328442213307392	1790328442213321728	339968	385024	l0.s22.append	append	65536.0	66.7656277064225	14336	14269.234372293577
33	512	1790328442213305344	1790328442213305344	1790328442213324800	433152	3686400	l0.s23.append	append	65536.0	66.7656277064225	19456	19389.234372293577
34	2048	1790328442213324800	1790328442213324800	1790328442213370880	10492928	3165184	l0.s24.attn	attn	6144.0	6.25927759747711	46080	46073.74072240252
35	512	1790328442213371904	1790328442213371904	1790328442213404672	12152832	6256640	l0.s25.proj	proj	8388608.0	8546.00034642208	32768	24221.99965357792
36	256	1790328442213394432	1790328442213395456	1790328442213410816	969728	1147904	l0.s25.proj.combine	combine	0.0	0.0	16384	16384.0
37	64	1790328442213408768	1790328442213409792	1790328442213423104	435200	314368	l0.s26.norm	norm	4096.0	4.172851731651407	14336	14331.827148268349
38	2048	1790328442213423104	1790328442213423104	1790328442213613568	53848064	10488832	l0.s27.proj	proj	33554432.0	34184.00138568832	190464	156279.99861431168
39	1024	1790328442213572608	1790328442213572608	1790328442213698560	3893248	1394688	l0.s27.proj.combine	combine	0.0	0.0	125952	125952.0
40	2048	1790328442213498880	1790328442213498880	1790328442213682176	31310848	315392	l0.s28.proj	proj	33554432.0	34184.00138568832	183296	149111.99861431168
41	1024	1790328442213588992	1790328442213590016	1790328442213711872	3764224	5193728	l0.s28.proj.combine	combine	0.0	0.0	122880	122880.0
42	64	1790328442213706752	1790328442213706752	1790328442213738496	1401856	4197376	l0.s29.act	act	0.0	0.0	31744	31744.0
43	512	1790328442213733376	1790328442213733376	1790328442213853184	40731648	32532480	l0.s30.proj	proj	33554432.0	34184.00138568832	119808	85623.99861431168
44	256	1790328442213793792	1790328442213794816	1790328442213860352	1375232	6274048	l0.s30.proj.combine	combine	0.0	0.0	66560	66560.0
