group	cell	round	ratio	rotate_log	legacy_log
reference	gqa2_s128	0	0.9261538461538462	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r0.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r0.log
reference	gqa2_s128	1	0.9303797468354431	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r1.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r1.log
reference	gqa2_s128	2	0.9617647058823529	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r2.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r2.log
reference	gqa2_s128	3	0.9369627507163323	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r3.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r3.log
reference	gqa2_s128	4	1.0014070351758795	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r4.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r4.log
reference	gqa2_s128	5	1.0580645161290323	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r5.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r5.log
reference	gqa2_s128	6	1.0290322580645161	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r6.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r6.log
reference	gqa2_s128	7	1.0345911949685533	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r7.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r7.log
reference	gqa2_s128	8	1.0588116614546554	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r8.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r8.log
reference	gqa2_s128	9	1.0280241935483871	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r9.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r9.log
reference	gqa2_s128	10	1.0580645161290323	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r10.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r10.log
reference	gqa2_s128	11	1.0378548895899053	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r11.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r11.log
reference	gqa2_s128	12	1.0580645161290323	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r12.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r12.log
reference	gqa2_s128	13	1.0223044706340703	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r13.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r13.log
reference	gqa2_s128	14	1.0134727528654737	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r14.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r14.log
reference	gqa2_s128	15	1.0480769230769231	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r15.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r15.log
reference	gqa2_s128	16	1.0575079872204474	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r16.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r16.log
reference	gqa2_s128	17	1.0514469453376205	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r17.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r17.log
reference	gqa2_s128	18	1.057676848874598	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r18.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r18.log
reference	gqa2_s128	19	1.0638810767376456	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r19.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r19.log
reference	gqa2_s128	20	1.0619326205366149	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r20.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r20.log
reference	gqa2_s128	21	1.0606854838709678	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r21.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r21.log
reference	gqa2_s128	22	1.058165322580645	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r22.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r22.log
reference	gqa2_s128	23	1.038709677419355	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r23.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r23.log
reference	gqa2_s128	24	1.0548387096774192	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/rotate__full/r24.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/gqa2_s128/measure/legacy_grid_stride__full/r24.log
reference	mha4_s4	0	0.7763947740112995	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r0.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r0.log
reference	mha4_s4	1	0.8530259365994236	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r1.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r1.log
reference	mha4_s4	2	0.8771519461077845	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r2.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r2.log
reference	mha4_s4	3	0.7994006849315068	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r3.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r3.log
reference	mha4_s4	4	0.8378378378378378	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r4.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r4.log
