cell	arm	processes	processes_with_active_telemetry	l1_min_ms	l1_max_ms	l1_median_ms	l2_median_ms	process_seconds_median	active_clock_mhz_median	active_power_w_median	l1_clock_spearman	l2_clock_spearman
mha4_s4	legacy_grid_stride__nofence	25	3	0.354304	0.392192	0.38912	0.308064	0.519421462	nan	nan	nan	nan
mha4_s4	legacy_grid_stride__nowait	25	4	0.355328	0.392192	0.388096	0.259232	0.514319555	nan	nan	nan	nan
mha4_s4	legacy_grid_stride__neither	25	2	0.355008	0.390144	0.356064	0.160768	0.515016663	nan	nan	nan	nan
mha4_s4	legacy_grid_stride__l1nosync	25	3	0.227008	0.25088	0.244736	0.373696	0.526659737	nan	nan	nan	nan
mha4_s4	balanced__full	25	2	0.357376	0.393216	0.387936	3.250944	0.638121233	nan	nan	nan	nan
mha4_s4	balanced__nofence	25	2	0.367616	0.393216	0.388096	2.366464	0.630730165	nan	nan	nan	nan
mha4_s4	balanced__nowait	25	4	0.36864	0.39424	0.387872	0.335648	0.587037755	nan	nan	nan	nan
mha4_s4	balanced__neither	25	2	0.366592	0.394144	0.388096	0.267264	0.584102044	nan	nan	nan	nan
mha4_s4	balanced__l1nosync	25	2	0.229632	0.247008	0.244736	3.247104	0.628179952	nan	nan	nan	nan
mha4_s4	protocol_off__full	25	2	0.365664	0.4096	0.403456	0.326848	0.517286001	nan	nan	nan	nan
mha4_s4	protocol_off__nofence	25	2	0.365952	0.408576	0.403456	0.290816	0.510481753	nan	nan	nan	nan
mha4_s4	protocol_off__nowait	25	2	0.36528	0.4096	0.405152	0.263968	0.518932778	nan	nan	nan	nan
mha4_s4	protocol_off__neither	25	2	0.375168	0.411648	0.40448	0.157696	0.501050814	nan	nan	nan	nan
mha4_s4	protocol_off__l1nosync	25	4	0.223232	0.25088	0.244736	0.325824	0.522096653	nan	nan	nan	nan
mha4_s4	c1__full	25	2	0.359552	0.392192	0.38912	0.290816	0.500115593	nan	nan	nan	nan
mha4_s4	c1__nofence	25	2	0.356	0.392192	0.38912	0.243712	0.499489749	nan	nan	nan	nan
mha4_s4	c1__nowait	25	3	0.357024	0.393184	0.38912	0.20608	0.519859665	nan	nan	nan	nan
mha4_s4	c1__neither	25	4	0.355552	0.39328	0.38912	0.150336	0.512404473	nan	nan	nan	nan
