cell	arm	processes	processes_with_active_telemetry	l1_min_ms	l1_max_ms	l1_median_ms	l2_median_ms	process_seconds_median	active_clock_mhz_median	active_power_w_median	l1_clock_spearman	l2_clock_spearman
gqa2_s128	eft__full	25	5	0.3072	0.340992	0.336832	0.319488	0.573392855	nan	nan	nan	nan
gqa2_s128	eft__nofence	25	4	0.3072	0.339968	0.336896	0.289792	0.579700345	nan	nan	nan	nan
gqa2_s128	eft__nowait	25	5	0.306208	0.340832	0.336896	0.227296	0.573960066	nan	nan	nan	nan
gqa2_s128	eft__neither	25	3	0.310272	0.339968	0.336896	0.203712	0.575008167	nan	nan	nan	nan
gqa2_s128	eft__l1nosync	25	4	0.224256	0.241664	0.236544	0.320224	0.57484233	nan	nan	nan	nan
gqa2_s128	wavefront__full	25	4	0.311296	0.34016	0.336896	0.303104	0.57709439	nan	nan	nan	nan
gqa2_s128	wavefront__nofence	25	5	0.313344	0.340992	0.336896	0.273632	0.579611721	nan	nan	nan	nan
gqa2_s128	wavefront__nowait	25	6	0.310272	0.340992	0.336896	0.215296	0.578247317	nan	nan	nan	nan
gqa2_s128	wavefront__neither	25	4	0.320384	0.339968	0.336896	0.192224	0.576611613	nan	nan	nan	nan
gqa2_s128	wavefront__l1nosync	25	3	0.222304	0.239616	0.236416	0.30288	0.578017601	nan	nan	nan	nan
gqa2_s128	rotate__full	25	3	0.30704	0.340992	0.33792	0.335872	0.57869688	nan	nan	nan	nan
gqa2_s128	rotate__nofence	25	6	0.3072	0.342016	0.33792	0.308224	0.577731344	nan	nan	nan	nan
gqa2_s128	rotate__nowait	25	9	0.305888	0.341056	0.338752	0.206848	0.576399625	nan	nan	nan	nan
gqa2_s128	rotate__neither	25	7	0.31232	0.341056	0.33808	0.188416	0.575568415	nan	nan	nan	nan
gqa2_s128	rotate__l1nosync	25	9	0.214976	0.239584	0.22016	0.310272	0.573992778	nan	nan	nan	nan
gqa2_s128	legacy_grid_stride__full	25	3	0.306176	0.338944	0.3072	0.3184	0.570555045	nan	nan	nan	nan
gqa2_s128	legacy_grid_stride__nofence	25	8	0.306464	0.339968	0.307488	0.284672	0.49898473	nan	nan	nan	nan
gqa2_s128	legacy_grid_stride__nowait	25	3	0.306976	0.340832	0.336896	0.240704	0.574968987	nan	nan	nan	nan
gqa2_s128	legacy_grid_stride__neither	25	6	0.306176	0.339968	0.310272	0.193536	0.578260922	nan	nan	nan	nan
gqa2_s128	legacy_grid_stride__l1nosync	25	6	0.21504	0.238592	0.217088	0.320512	0.56071127	nan	nan	nan	nan
gqa2_s128	chain__full	25	5	0.30688	0.339968	0.335872	0.342016	0.572506465	nan	nan	nan	nan
gqa2_s128	chain__nofence	25	2	0.306176	0.339968	0.309248	0.287744	0.502386909	nan	nan	nan	nan
gqa2_s128	chain__nowait	25	3	0.30704	0.340992	0.330752	0.202688	0.577009757	nan	nan	nan	nan
gqa2_s128	chain__neither	25	4	0.31232	0.339968	0.336896	0.189344	0.572624835	nan	nan	nan	nan
gqa2_s128	chain__l1nosync	25	4	0.220224	0.240544	0.236384	0.342816	0.572029508	nan	nan	nan	nan
gqa2_s128	balanced__full	25	4	0.305152	0.339968	0.307168	2.192384	0.611616569	nan	nan	nan	nan
gqa2_s128	balanced__nofence	25	3	0.313344	0.340992	0.335872	2.198304	0.577329229	nan	nan	nan	nan
gqa2_s128	balanced__nowait	25	6	0.319488	0.339968	0.335872	0.654336	0.590130103	nan	nan	nan	nan
gqa2_s128	balanced__neither	25	5	0.306528	0.339968	0.335872	0.630112	0.592402109	nan	nan	nan	nan
gqa2_s128	balanced__l1nosync	25	7	0.219136	0.239616	0.236512	2.413568	0.577500923	nan	nan	nan	nan
gqa2_s128	protocol_off__full	25	3	0.316416	0.346112	0.342016	0.334688	0.573195122	nan	nan	nan	nan
gqa2_s128	protocol_off__nofence	25	8	0.320192	0.346112	0.342688	0.311296	0.577091108	nan	nan	nan	nan
gqa2_s128	protocol_off__nowait	25	6	0.340992	0.347136	0.342016	0.258048	0.574962993	nan	nan	nan	nan
gqa2_s128	protocol_off__neither	25	4	0.319712	0.346112	0.34288	0.206848	0.568745821	nan	nan	nan	nan
gqa2_s128	protocol_off__l1nosync	25	4	0.234496	0.241664	0.236544	0.334848	0.572690928	nan	nan	nan	nan
gqa2_s128	c1__full	25	4	0.31232	0.340992	0.336896	0.316416	0.57826937	nan	nan	nan	nan
gqa2_s128	c1__nofence	25	2	0.31232	0.340992	0.336896	0.289632	0.579039507	nan	nan	nan	nan
gqa2_s128	c1__nowait	25	7	0.310272	0.339968	0.336928	0.224544	0.576706858	nan	nan	nan	nan
gqa2_s128	c1__neither	25	6	0.311296	0.342208	0.337216	0.203552	0.57572693	nan	nan	nan	nan
gqa2_s128	c1__l1nosync	25	6	0.22016	0.24064	0.236544	0.31744	0.578018152	nan	nan	nan	nan
gqa2_s128	c2__full	25	6	0.31232	0.339968	0.336896	0.31744	0.573310401	nan	nan	nan	nan
gqa2_s128	c2__nofence	25	3	0.311296	0.340928	0.336	0.288768	0.574884774	nan	nan	nan	nan
gqa2_s128	c2__nowait	25	6	0.333504	0.340992	0.337568	0.224928	0.576533729	nan	nan	nan	nan
