cell	arm	processes	processes_with_active_telemetry	l1_min_ms	l1_max_ms	l1_median_ms	l2_median_ms	process_seconds_median	active_clock_mhz_median	active_power_w_median	l1_clock_spearman	l2_clock_spearman
mha4_s128	eft__full	25	22	0.621568	0.688128	0.681984	0.658304	0.813041213	nan	nan	nan	nan
mha4_s128	eft__nofence	25	24	0.620544	0.685056	0.681984	0.59904	0.810597532	nan	nan	nan	nan
mha4_s128	eft__nowait	25	25	0.630784	0.68608	0.681984	0.486368	0.808964188	2520.0	79.3	-0.23904572186687875	-0.2950835532617377
mha4_s128	eft__neither	25	25	0.628736	0.68608	0.682112	0.432864	0.810871009	2520.0	79.71	-0.43278921145054855	-0.4544886550007652
mha4_s128	eft__l1nosync	25	25	0.434176	0.478432	0.475136	0.657408	0.788522885	2520.0	79.89	-0.4986192264315735	-0.6309849684925984
mha4_s128	wavefront__full	25	25	0.620544	0.685952	0.681984	0.6328	0.785780339	2520.0	79.49	-0.48662561371765173	-0.49419376592702263
mha4_s128	wavefront__nofence	25	25	0.620544	0.68608	0.68208	0.574464	0.776732582	2520.0	79.86	-0.3406672256137213	-0.34613336549553436
mha4_s128	wavefront__nowait	25	25	0.621376	0.68608	0.681984	0.455616	0.784030294	2520.0	79.97	-0.12950879808438656	-0.2766992952647332
mha4_s128	wavefront__neither	25	25	0.649216	0.685056	0.681984	0.397216	0.818194307	2520.0	79.37	-0.3458572319330373	-0.3398792510220618
mha4_s128	wavefront__l1nosync	25	25	0.431104	0.478208	0.47488	0.632832	0.809798364	2520.0	79.46	-0.4928111274066333	-0.5070422629585135
mha4_s128	chain__full	25	25	0.620544	0.685056	0.681984	0.702368	0.812404567	2520.0	79.25	-0.5587319997123383	-0.5174960439503224
mha4_s128	chain__nofence	25	25	0.621568	0.686016	0.681984	0.642048	0.808843429	2520.0	79.65	-0.5553064768578517	-0.5526696148323573
mha4_s128	chain__nowait	25	25	0.680704	0.685056	0.681984	0.441344	0.802289558	2520.0	79.96	0.0861727484432139	0.05788572597059899
mha4_s128	chain__neither	25	25	0.61952	0.685056	0.681984	0.396288	0.816050372	2520.0	79.47	-0.5659187001286311	-0.5677953497544812
mha4_s128	chain__l1nosync	25	25	0.473088	0.478272	0.474816	0.702368	0.815328635	2520.0	79.11	-0.08203889894166778	-0.22782189828108904
mha4_s128	legacy_grid_stride__full	25	25	0.67872	0.685056	0.681984	0.693184	0.813469928	2520.0	79.56	-0.1840024184031653	-0.29942279347457884
mha4_s128	legacy_grid_stride__nofence	25	25	0.677888	0.687104	0.681984	0.618496	0.815187959	2520.0	79.42	-0.16752583248428027	-0.3018254988886659
mha4_s128	legacy_grid_stride__nowait	25	24	0.621568	0.684864	0.681984	0.493568	0.813513675	nan	nan	nan	nan
mha4_s128	legacy_grid_stride__neither	25	24	0.620544	0.685056	0.681984	0.422624	0.808735799	nan	nan	nan	nan
mha4_s128	legacy_grid_stride__l1nosync	25	25	0.430272	0.478208	0.474912	0.692224	0.811137876	2520.0	79.22	-0.3707316348492103	-0.03860334408773949
mha4_s128	rotate__full	25	25	0.622592	0.687104	0.683008	0.679936	0.812016203	2520.0	79.79	-0.47185985222220095	-0.1475703340252388
mha4_s128	rotate__nofence	25	25	0.621568	0.68608	0.682848	0.618432	0.782533838	2520.0	80.04	-0.23772155341359336	-0.5429248952299619
mha4_s128	rotate__nowait	25	25	0.6208	0.68608	0.68272	0.429824	0.806879693	2520.0	79.93	-0.5021355173865036	-0.5216389538199911
mha4_s128	rotate__neither	25	25	0.61952	0.685056	0.682912	0.38528	0.80893484	2520.0	79.69	nan	nan
mha4_s128	rotate__l1nosync	25	25	0.433088	0.478208	0.474784	0.678912	0.786967188	2520.0	79.34	-0.48147257404963784	-0.37908354361821417
mha4_s128	balanced__full	25	12	0.627712	0.68608	0.683008	6.199296	1.093406088	nan	nan	nan	nan
mha4_s128	balanced__nofence	25	14	0.621536	0.686208	0.681952	5.465088	1.079219871	nan	nan	nan	nan
mha4_s128	balanced__nowait	25	12	0.632832	0.687104	0.681984	1.514496	1.007830737	nan	nan	nan	nan
mha4_s128	balanced__neither	25	11	0.622208	0.68608	0.681824	1.485632	1.009879925	nan	nan	nan	nan
mha4_s128	balanced__l1nosync	25	10	0.432128	0.478336	0.474112	6.206464	1.087441641	nan	nan	nan	nan
mha4_s128	protocol_off__full	25	25	0.651616	0.694272	0.690176	0.69136	0.81353429	2520.0	80.76	-0.5478273454257268	-0.3427903456862109
mha4_s128	protocol_off__nofence	25	25	0.654016	0.694208	0.690912	0.642048	0.808294774	2520.0	79.53	-0.5405810006646827	-0.12925876839823752
mha4_s128	protocol_off__nowait	25	25	0.649216	0.694272	0.691104	0.553984	0.811032484	2520.0	79.43	-0.4742490313051463	-0.47185985222220095
mha4_s128	protocol_off__neither	25	25	0.645248	0.69408	0.690176	0.440224	0.788798128	2520.0	79.86	-0.5768782103413765	-0.5945125799876929
mha4_s128	protocol_off__l1nosync	25	24	0.432128	0.47808	0.474112	0.692	0.811116946	nan	nan	nan	nan
mha4_s128	c1__full	25	25	0.620544	0.684992	0.681984	0.654496	0.808958203	2520.0	80.3	-0.30732525843727254	-0.38146028183405806
mha4_s128	c1__nofence	25	25	0.61952	0.629472	0.620544	0.545792	0.806040397	2775.0	98.08	-0.3482256676384777	-0.34099716973523675
mha4_s128	c1__nowait	25	24	0.61952	0.681984	0.621408	0.436224	0.810074641	nan	nan	nan	nan
mha4_s128	c1__neither	25	25	0.621248	0.685056	0.68096	0.432064	0.810309834	2520.0	80.44	-0.5725303257223445	-0.5656307772724501
mha4_s128	c1__l1nosync	25	24	0.433152	0.478208	0.474112	0.654336	0.804090443	nan	nan	nan	nan
mha4_s128	c2__full	25	25	0.61952	0.68096	0.621248	0.596992	0.80983177	2775.0	98.21	-0.34126181639496755	-0.34139437099945946
mha4_s128	c2__nofence	25	25	0.621216	0.685056	0.68096	0.597952	0.807632678	2520.0	80.25	-0.4611517053926701	-0.44980345313468495
mha4_s128	c2__nowait	25	25	0.620544	0.685056	0.681152	0.478912	0.812650638	2520.0	80.19	-0.2744341728851682	-0.3824896942047962
mha4_s128	c2__neither	25	25	0.679936	0.685024	0.681984	0.433152	0.803105587	2520.0	79.82	nan	nan
mha4_s128	c2__l1nosync	25	25	0.472064	0.479232	0.474912	0.656384	0.813779374	2520.0	79.81	-0.2580383824514908	-0.24046039732358374
mha4_s128	c3__full	25	25	0.620544	0.68608	0.681984	0.656384	0.810189009	2520.0	79.74	-0.3630160432205614	-0.4139410535769099
mha4_s128	c3__nofence	25	25	0.621568	0.68608	0.681984	0.59904	0.813321501	2520.0	79.79	-0.42439830281557744	-0.24352458157696985
mha4_s128	c3__nowait	25	25	0.680864	0.685056	0.682048	0.480032	0.816057259	2520.0	79.23	-0.4332264206998311	-0.31796226455862125
mha4_s128	c3__neither	25	25	0.678912	0.68608	0.681984	0.433152	0.815434852	2520.0	79.46	-0.341063273674936	-0.3404697182675532
mha4_s128	c3__l1nosync	25	25	0.431232	0.478432	0.475136	0.656096	0.814344396	2520.0	79.04	-0.4889736978194881	-0.4770967925809073
