cell	arm	processes	processes_with_active_telemetry	l1_min_ms	l1_max_ms	l1_median_ms	l2_median_ms	process_seconds_median	active_clock_mhz_median	active_power_w_median	l1_clock_spearman	l2_clock_spearman
gqa2_s4	wavefront__full	25	5	0.1792	0.19968	0.196608	0.140288	0.47437062	nan	nan	nan	nan
gqa2_s4	wavefront__nofence	25	8	0.180224	0.19872	0.196608	0.116512	0.425373813	nan	nan	nan	nan
gqa2_s4	wavefront__nowait	25	4	0.1792	0.198656	0.19648	0.098304	0.431560249	nan	nan	nan	nan
gqa2_s4	wavefront__neither	25	7	0.179904	0.19968	0.196608	0.07168	0.423171792	nan	nan	nan	nan
gqa2_s4	wavefront__l1nosync	25	7	0.113664	0.128128	0.124928	0.140288	0.472423732	nan	nan	nan	nan
gqa2_s4	eft__full	25	6	0.179328	0.199648	0.196608	0.146432	0.430934279	nan	nan	nan	nan
gqa2_s4	eft__nofence	25	8	0.180224	0.198656	0.196608	0.121856	0.471950387	nan	nan	nan	nan
gqa2_s4	eft__nowait	25	7	0.178176	0.199392	0.196608	0.103424	0.474550165	nan	nan	nan	nan
gqa2_s4	eft__neither	25	8	0.180128	0.199552	0.196576	0.073728	0.471903904	nan	nan	nan	nan
gqa2_s4	eft__l1nosync	25	7	0.114688	0.126976	0.125888	0.146432	0.478709445	nan	nan	nan	nan
gqa2_s4	rotate__full	25	11	0.18432	0.2048	0.196608	0.142336	0.47532094	nan	nan	nan	nan
gqa2_s4	rotate__nofence	25	10	0.180224	0.19968	0.196608	0.121664	0.430221864	nan	nan	nan	nan
gqa2_s4	rotate__nowait	25	11	0.183424	0.206848	0.196608	0.050976	0.472765762	nan	nan	nan	nan
gqa2_s4	rotate__neither	25	7	0.180032	0.19968	0.196608	0.043008	0.479916728	nan	nan	nan	nan
gqa2_s4	rotate__l1nosync	25	7	0.114336	0.128	0.125184	0.142336	0.473786029	nan	nan	nan	nan
gqa2_s4	chain__full	25	8	0.181248	0.2048	0.196608	0.150528	0.47913196	nan	nan	nan	nan
gqa2_s4	chain__nofence	25	7	0.182272	0.19968	0.196608	0.125952	0.48219857	nan	nan	nan	nan
gqa2_s4	chain__nowait	25	6	0.184288	0.199552	0.196608	0.052096	0.473943012	nan	nan	nan	nan
gqa2_s4	chain__neither	25	7	0.18432	0.19968	0.196608	0.042208	0.440555679	nan	nan	nan	nan
gqa2_s4	chain__l1nosync	25	8	0.113664	0.128	0.124928	0.150528	0.473722263	nan	nan	nan	nan
gqa2_s4	legacy_grid_stride__full	25	6	0.178944	0.198656	0.195584	0.188416	0.474800414	nan	nan	nan	nan
gqa2_s4	legacy_grid_stride__nofence	25	5	0.178176	0.197792	0.1792	0.14336	0.416947651	nan	nan	nan	nan
gqa2_s4	legacy_grid_stride__nowait	25	5	0.178144	0.19968	0.1792	0.121856	0.402885714	nan	nan	nan	nan
gqa2_s4	legacy_grid_stride__neither	25	9	0.179104	0.198656	0.195584	0.090112	0.478654371	nan	nan	nan	nan
gqa2_s4	legacy_grid_stride__l1nosync	25	6	0.113664	0.128	0.124928	0.188768	0.474974036	nan	nan	nan	nan
gqa2_s4	balanced__full	25	7	0.178208	0.18704	0.18	0.786368	0.488069456	nan	nan	nan	nan
gqa2_s4	balanced__nofence	25	5	0.179936	0.198656	0.195584	0.653184	0.499415274	nan	nan	nan	nan
gqa2_s4	balanced__nowait	25	5	0.1792	0.199584	0.196608	0.173056	0.484349309	nan	nan	nan	nan
gqa2_s4	balanced__neither	25	8	0.184192	0.198752	0.196608	0.137152	0.476667244	nan	nan	nan	nan
gqa2_s4	balanced__l1nosync	25	5	0.116896	0.129024	0.125056	0.86528	0.493901893	nan	nan	nan	nan
gqa2_s4	protocol_off__full	25	6	0.18368	0.210944	0.20656	0.15584	0.481539502	nan	nan	nan	nan
gqa2_s4	protocol_off__nofence	25	8	0.185344	0.208896	0.205824	0.140288	0.485392746	nan	nan	nan	nan
gqa2_s4	protocol_off__nowait	25	6	0.190784	0.20992	0.20576	0.123168	0.477553457	nan	nan	nan	nan
gqa2_s4	protocol_off__neither	25	6	0.190464	0.208896	0.205824	0.075968	0.482350674	nan	nan	nan	nan
gqa2_s4	protocol_off__l1nosync	25	10	0.114624	0.129024	0.125664	0.155808	0.473948975	nan	nan	nan	nan
gqa2_s4	c1__full	25	6	0.183296	0.19968	0.196608	0.139616	0.408810189	nan	nan	nan	nan
gqa2_s4	c1__nofence	25	8	0.179584	0.19968	0.196608	0.116736	0.47468167	nan	nan	nan	nan
gqa2_s4	c1__nowait	25	6	0.180224	0.199616	0.196608	0.098656	0.475186278	nan	nan	nan	nan
gqa2_s4	c1__neither	25	8	0.187392	0.206848	0.196608	0.07168	0.472761062	nan	nan	nan	nan
gqa2_s4	c1__l1nosync	25	3	0.114336	0.128096	0.124928	0.139264	0.449948699	nan	nan	nan	nan
gqa2_s4	c2__full	25	7	0.18	0.19968	0.196608	0.139264	0.478083083	nan	nan	nan	nan
gqa2_s4	c2__nofence	25	5	0.179456	0.200704	0.196704	0.116736	0.475185797	nan	nan	nan	nan
gqa2_s4	c2__nowait	25	8	0.180224	0.200512	0.196608	0.099072	0.479715733	nan	nan	nan	nan
gqa2_s4	c2__neither	25	7	0.1792	0.19968	0.196608	0.07168	0.474690751	nan	nan	nan	nan
gqa2_s4	c2__l1nosync	25	3	0.113664	0.128064	0.124928	0.139264	0.440721901	nan	nan	nan	nan
gqa2_s4	c3__full	25	6	0.180192	0.19952	0.19744	0.140064	0.474463343	nan	nan	nan	nan
gqa2_s4	c3__nofence	25	5	0.180224	0.19968	0.196608	0.116736	0.472578917	nan	nan	nan	nan
gqa2_s4	c3__nowait	25	8	0.179936	0.199584	0.196608	0.099008	0.410185148	nan	nan	nan	nan
gqa2_s4	c3__neither	25	5	0.187392	0.198656	0.196576	0.07168	0.472617492	nan	nan	nan	nan
gqa2_s4	c3__l1nosync	25	2	0.11696	0.128	0.125952	0.139936	0.478397867	nan	nan	nan	nan
