cell	arm	processes	processes_with_active_telemetry	l1_min_ms	l1_max_ms	l1_median_ms	l2_median_ms	process_seconds_median	active_clock_mhz_median	active_power_w_median	l1_clock_spearman	l2_clock_spearman
real_s128	eft__full	25	25	6.33744	6.674432	6.670336	6.577152	13.390177195	2520.0	82.39	-0.7867124697382948	-0.7068061993390119
real_s128	eft__nofence	25	25	6.332544	6.6816	6.67136	6.406144	13.300301923	2520.0	82.09	-0.8189112266938295	-0.7236277105497001
real_s128	eft__nowait	25	25	6.33152	6.6816	6.672384	6.048768	13.290899145	2520.0	82.125	-0.7890219460535948	-0.4922617256310891
real_s128	eft__neither	25	25	6.335488	6.679584	6.67136	5.915456	13.403090726	2520.0	81.92	-0.741923141731031	-0.6824097184776013
real_s128	eft__l1nosync	25	25	6.06208	6.395808	6.35088	6.577152	13.393359937	2520.0	82.6	-0.6783255914167707	-0.6974100784181884
real_s128	wavefront__full	25	25	6.33456	6.677504	6.668288	6.631424	13.38762981	2520.0	82.33	-0.7351886216943392	-0.7320865599994264
real_s128	wavefront__nofence	25	25	6.334112	6.674432	6.666464	6.393856	13.299733067	2520.0	82.84	-0.8523666369570302	-0.7439709412019261
real_s128	wavefront__nowait	25	25	6.334656	6.67664	6.668544	6.142688	13.399793243	2520.0	82.41	-0.6964111232999436	-0.4298408144454477
real_s128	wavefront__neither	25	25	6.331488	6.678528	6.672032	5.9904	13.386393591	2520.0	82.58	-0.7792113918668745	-0.7412493166611012
real_s128	wavefront__l1nosync	25	25	6.084608	6.400896	6.351872	6.629376	13.491074676	2520.0	82.61	-0.788042015126771	-0.6944711636089355
real_s128	rotate__full	25	25	6.334464	6.67968	6.67104	6.664448	13.427011085	2520.0	81.9	-0.6936420820223287	-0.6935086251510555
real_s128	rotate__nofence	25	25	6.333568	6.675648	6.666944	6.464512	13.505111456	2520.0	82.34	-0.6974858324629157	-0.6072232423591067
real_s128	rotate__nowait	25	25	6.332416	6.67648	6.667424	5.506048	13.497731051	2520.0	82.12	-0.8501938694285668	-0.6302281415170063
real_s128	rotate__neither	25	25	6.334464	6.67872	6.666464	5.390336	13.404641035	2520.0	82.08	-0.8084809167386812	-0.7614437205459353
real_s128	rotate__l1nosync	25	25	6.0416	6.40512	6.3744	6.664192	13.395763526	2520.0	82.37	-0.7836340595975221	-0.6697223416610402
real_s128	chain__full	25	25	6.333504	6.677504	6.67136	7.011232	13.298554831	2520.0	82.11	-0.8200292036298709	-0.6993258775207464
real_s128	chain__nofence	25	25	6.334272	6.677376	6.66624	6.829056	13.432549793	2520.0	83.09	-0.855014856012186	-0.8370145432540347
real_s128	chain__nowait	25	25	6.335584	6.673344	6.668192	6.20032	13.515138146	2520.0	82.4	-0.8223123014525554	-0.8233837907799472
real_s128	chain__neither	25	25	6.33632	6.675456	6.668192	6.06208	13.304947279	2520.0	82.63	-0.7786113059928307	-0.7790612403302908
real_s128	chain__l1nosync	25	25	6.05696	6.40688	6.361088	6.91904	13.406063769	2520.0	82.26	-0.7250313154278497	-0.5718763176550473
real_s128	legacy_grid_stride__full	25	25	6.333344	6.67872	6.667264	6.842368	13.431921214	2520.0	82.5	-0.8948632351275089	-0.7074994523765529
real_s128	legacy_grid_stride__nofence	25	25	6.332416	6.673632	6.668352	6.667328	13.185817679	2520.0	82.63	-0.8781536574847514	-0.8353645648537456
real_s128	legacy_grid_stride__nowait	25	25	6.33248	6.677504	6.670528	6.584288	13.332004014	2520.0	82.51	-0.6969734274259787	-0.6497021634889018
real_s128	legacy_grid_stride__neither	25	25	6.33152	6.678752	6.671584	6.296576	13.392228693	2520.0	82.19	-0.7443515658336867	-0.6998972362075082
real_s128	legacy_grid_stride__l1nosync	25	25	6.05184	6.40512	6.37024	6.897664	13.49830771	2520.0	82.25	-0.7469316483215398	-0.746787993805677
real_s128	balanced__full	25	25	6.336384	6.677504	6.671456	80.902908	16.227305919	2520.0	82.69	-0.684672514770181	-0.00110498924021966
real_s128	balanced__nofence	25	25	6.33344	6.679552	6.669312	79.167358	16.251442589	2520.0	83.37	-0.8507295201387568	0.32703649148357333
real_s128	balanced__nowait	25	25	6.333344	6.67648	6.67152	19.784704	15.214270995	2520.0	82.58	-0.8409767598642315	-0.010075123249096457
real_s128	balanced__neither	25	25	6.332416	6.677696	6.672352	19.253248	15.206540611	2520.0	82.85	-0.7474473031910768	0.07813754476275356
real_s128	balanced__l1nosync	25	25	6.048448	6.402048	6.341632	80.970879	16.217042226	2520.0	83.64	-0.8434112961306447	0.1288423305038606
real_s128	protocol_off__full	25	25	6.343328	6.679616	6.672576	6.720512	13.504448642	2520.0	82.48	-0.6386981173088967	-0.5707097931933344
real_s128	protocol_off__nofence	25	25	6.338688	6.681792	6.675456	6.58432	13.411111236	2520.0	82.01	-0.6377928041432807	-0.6247461576519695
real_s128	protocol_off__nowait	25	25	6.333248	6.671552	6.66592	6.14912	13.305728474	2520.0	82.64	-0.8560427595834047	-0.8371425088675968
real_s128	protocol_off__neither	25	25	6.337632	6.683328	6.673568	5.906432	13.509083342	2520.0	82.09	-0.7321825216762925	-0.7273568878827684
real_s128	protocol_off__l1nosync	25	25	6.024192	6.404096	6.366208	6.679552	13.393979287	2520.0	82.97	-0.8729975437058212	-0.8241805046672144
real_s128	c1__full	25	25	6.334464	6.677696	6.672064	6.571008	13.401305974	2520.0	82.21	-0.697932967474199	-0.5760979075912621
real_s128	c1__nofence	25	25	6.330464	6.678528	6.669568	6.332416	13.30986833	2520.0	82.4	-0.8078463210257408	-0.7897472041109852
