group	cells	pairs	median_ratio	ci_lo	ci_hi	bootstrap_draws	seed
reference	4	100	0.8959319950530888	0.8708708708708708	0.9763663220088626	20000	20260906
real	2	50	0.9635739126503015	0.9631847425184086	0.967151369350876	20000	20260906
