cell	arm	processes	processes_with_active_telemetry	l1_min_ms	l1_max_ms	l1_median_ms	l2_median_ms	process_seconds_median	active_clock_mhz_median	active_power_w_median	l1_clock_spearman	l2_clock_spearman
real_s4	wavefront__full	25	25	2.68416	2.7648	2.761728	2.54976	11.12923105	2520.0	77.84	-0.3424603981716306	-0.3437393702033653
real_s4	wavefront__nofence	25	25	2.685632	2.764	2.761472	2.514944	11.129540336	2520.0	77.97	-0.35834597209920616	-0.5639534507721419
real_s4	wavefront__nowait	25	25	2.684928	2.766848	2.760928	2.560032	11.132205159	2520.0	78.1	-0.5647829413880113	-0.5644325210301584
real_s4	wavefront__neither	25	25	2.737152	2.763776	2.760704	2.529984	11.149083611	2520.0	77.91	nan	nan
real_s4	wavefront__l1nosync	25	25	2.56512	2.579456	2.568192	2.54976	11.132800064	2520.0	77.8	nan	nan
real_s4	eft__full	25	25	2.68464	2.763776	2.761536	2.564096	11.204558207	2520.0	77.91	-0.4749512167553332	-0.4715412192195367
real_s4	eft__nofence	25	25	2.684928	2.763008	2.760736	2.523136	11.112629938	2520.0	78.06	-0.640886200912783	-0.6265603502939074
real_s4	eft__nowait	25	25	2.688	2.763616	2.760576	2.568192	11.109954953	2520.0	78.2	-0.5509556971822026	-0.19829459638106095
real_s4	eft__neither	25	25	2.684928	2.7648	2.760704	2.528448	11.110050769	2520.0	77.99	-0.4720892045517071	-0.4708135317192587
real_s4	eft__l1nosync	25	25	2.512256	2.577696	2.568128	2.563072	11.06295452	2520.0	78.08	-0.4523739231479794	-0.4424052929091911
real_s4	rotate__full	25	25	2.682208	2.7648	2.760704	2.628672	11.213381872	2520.0	78.26	-0.4730067743281393	-0.47273094179948577
real_s4	rotate__nofence	25	25	2.685952	2.762752	2.760704	2.587328	11.05826247	2520.0	78.34	-0.5658088876312107	-0.5671308728156005
real_s4	rotate__nowait	25	25	2.685952	2.763712	2.760768	2.052096	11.140236288	2520.0	77.92	-0.4734675701259946	-0.4714500737235235
real_s4	rotate__neither	25	25	2.688896	3.509248	2.760768	2.02752	11.052704706	2520.0	77.83	-0.019634281539316643	-0.32024575352350393
real_s4	rotate__l1nosync	25	25	2.56512	3.113984	2.56896	2.628352	11.106484309	2520.0	78.27	0.3398792510220618	0.3407990882954985
