cell	config	selected	previous	l2_ms	l2_ms_lo	l2_ms_hi	wait_ms	wait_ms_lo	wait_ms_hi	notify_ms	notify_ms_lo	notify_ms_hi	barrier_ms	barrier_ms_lo	barrier_ms_hi	fence_ms	fence_ms_lo	fence_ms_hi	protocol_ms	protocol_ms_lo	protocol_ms_hi	protocol_barrier	protocol_barrier_lo	protocol_barrier_hi	l2_l1	l2_l1_lo	l2_l1_hi	relative_previous	relative_previous_lo	relative_previous_hi	relative_selected	relative_selected_lo	relative_selected_hi	relative_legacy	relative_legacy_lo	relative_legacy_hi	nonpositive_barrier_pairs	zero_barrier_pairs	cp_ns	queue_lb_ns	floor_ns	measured_floor	trace
real_s4	wavefront	wavefront	wavefront	2.54976	2.548736	2.551808	-0.01123200000000013	-0.012288000000000299	-0.009279999999999955	0.030719999999999636	0.022591999999999945	0.03183999999999987	0.19257599999999986	0.18921600000000005	0.19456000000000007	0.035136000000000056	0.03414399999999995	0.03583999999999987	0.020480000000000054	0.013119999999999798	0.02249599999999985	0.10754495042849974	0.06743421052631474	0.11491442542787239	0.9234577922077922	0.9229243970315398	0.9237610004631773	1.0	1.0	1.0	1.0	1.0	1.0	0.933748624154001	0.9332583427071616	0.9341282297547379	0	0	974848	2274304.0	2274304.0	1.1211166141377757	docs/experiments/REBASE/bounded_raw/real_s4/trace/wavefront__full/dump
real_s4	eft	wavefront	wavefront	2.564096	2.563872	2.56512	-0.0040959999999996555	-0.006336000000000119	-0.0022079999999999878	0.0378879999999997	0.033792000000000044	0.041151999999999855	0.1925119999999998	0.19046399999999997	0.19558399999999976	0.04124799999999995	0.04041600000000001	0.04345599999999994	0.03468800000000005	0.03155199999999958	0.03686400000000001	0.1819852941176485	0.14934392265193472	0.19007841800204384	0.9288149350649352	0.9284390063033	0.9291650728518274	1.0057802743436064	1.0048260733312442	1.0060265166733628	1.0057802743436064	1.0048260733312442	1.0060265166733628	0.9391410352588146	0.9378629636568004	0.9398686679174485	0	0	973824	2271232.0	2271232.0	1.1289449954914337	docs/experiments/REBASE/bounded_raw/real_s4/trace/eft__full/dump
real_s4	rotate	wavefront	wavefront	2.628672	2.628608	2.630656	0.5766079999999998	0.5748800000000003	0.5777920000000001	0.02364799999999967	0.02249599999999985	0.026879999999999793	0.1925119999999998	0.18703999999999965	0.19356799999999996	0.042944000000000315	0.04063999999999979	0.04403200000000007	0.6010879999999998	0.59904	0.6024320000000003	3.1163828732021814	3.0989694094552536	3.209238665526096	0.9524416234247591	0.9517804154302671	0.9525398591027067	1.0313378867014866	1.0308988764044944	1.0314291808338458	1.0313378867014866	1.0308988764044944	1.0314291808338458	0.9629777023468133	0.962143928035982	0.963254593175853	1	0	1007616	1927168.0	1927168.0	1.3640077045696068	docs/experiments/REBASE/bounded_raw/real_s4/trace/rotate__full/dump
real_s4	legacy_grid_stride	wavefront	wavefront	2.731008	2.72896	2.732864	0.019807999999999826	0.01740800000000009	0.021568000000000254	0.056319999999999926	0.05340800000000012	0.05843200000000026	0.18832000000000004	0.18432000000000004	0.1946880000000002	0.04438399999999998	0.04281600000000019	0.04614399999999996	0.07676799999999995	0.07561600000000013	0.078592	0.39959534648457407	0.3840000000000018	0.41591539528432636	0.9891091290782773	0.9888649425287356	0.9896103896103897	1.0709520465489568	1.0705168392807882	1.0715146645239053	1.0709520465489568	1.0705168392807882	1.0715146645239053	1.0	1.0	1.0	1	0	1011712	2350080.0	2350080.0	1.162091503267974	docs/experiments/REBASE/bounded_raw/real_s4/trace/legacy_grid_stride__full/dump
real_s4	chain	wavefront	wavefront	2.690368	2.68896	2.692096	0.46224000000000043	0.46073600000000026	0.46486399999999994	0.007263999999999715	0.006015999999999799	0.009151999999999827	0.19251200000000024	0.18943999999999983	0.19552000000000014	0.04287999999999981	0.03916799999999965	0.04451200000000011	0.4682560000000002	0.4669439999999998	0.4723200000000003	2.4447635135135157	2.4071263609369864	2.508287292817677	0.9744950577656234	0.9740124258160237	0.9751483679525221	1.055020080321285	1.0546230084054697	1.0552699551119693	1.055020080321285	1.0546230084054697	1.0552699551119693	0.9854885596399099	0.984813002037423	0.9861163227016887	0	0	971776	1951744.0	1951744.0	1.3784430745015739	docs/experiments/REBASE/bounded_raw/real_s4/trace/chain__full/dump
real_s4	balanced	wavefront	wavefront	23.373823	23.359104	23.392256	18.455424	18.435071999999998	18.46432	0.11487999999999943	0.10236800000000024	0.1302399999999997	0.19456000000000007	0.19232000000000005	0.19791999999999987	0.8630720000000025	0.8111989999999984	0.8814710000000012	18.573120000000003	18.536448	18.596192000000002	95.55347682119199	93.65626515763951	96.55508007487519	8.46804271781685	8.452389773990367	8.471578264094955	9.167268351383875	9.154379584926955	9.171649749695746	9.167268351383875	9.154379584926955	9.171649749695746	8.559019888027361	8.543679775280898	8.563695163104612	0	0	808960	3873792.0	3873792.0	6.033835322082342	docs/experiments/REBASE/bounded_raw/real_s4/trace/balanced__full/dump
real_s4	protocol_off	wavefront	wavefront	2.612384	2.612224	2.614016	0.0047999999999999154	0.0035840000000000316	0.006272000000000055	0.07478399999999974	0.07180799999999987	0.07961599999999969	0.21529599999999993	0.21276800000000007	0.21804800000000002	0.03558400000000006	0.033792000000000044	0.03686400000000001	0.08089599999999963	0.07574400000000026	0.08396800000000004	0.3654235328129504	0.35014792899408465	0.39031635229466743	0.938925680647535	0.9385901371690065	0.9392935982339956	1.0249096022498996	1.0239696802369358	1.0256178307137562	1.0249096022498996	1.0239696802369358	1.0256178307137562	0.9569127013862869	0.9561469265367316	0.9575206301575394	0	0	978944	2219008.0	2219008.0	1.1772756114443932	docs/experiments/REBASE/bounded_raw/real_s4/trace/protocol_off__full/dump
real_s4	c1	wavefront	wavefront	2.555904	2.554848	2.556896	-0.0032640000000001557	-0.0048320000000003915	-0.0021759999999999557	0.025920000000000165	0.019391999999999854	0.029824000000000073	0.1905920000000001	0.1867519999999998	0.19427200000000022	0.03993599999999997	0.039039999999999964	0.04096000000000011	0.02281600000000017	0.016383999999999954	0.02588799999999969	0.11794871794871893	0.08689748811948368	0.13347388906908914	0.925699250037672	0.9254335126112758	0.9263536231884059	1.0021203718806069	1.0016070711128968	1.0031388107673764	1.0021203718806069	1.0016070711128968	1.0031388107673764	0.9362462504686914	0.9351440657113061	0.9368079016516516	0	0	972800	2265088.0	2265088.0	1.1283905967450272	docs/experiments/REBASE/bounded_raw/real_s4/trace/c1__full/dump
real_s4	c2	wavefront	c1	2.556864	2.555904	2.557952	-0.0030400000000003757	-0.0038719999999998755	-0.00048000000000003595	0.031391999999999864	0.02662399999999998	0.034591999999999956	0.19251200000000024	0.18943999999999983	0.19446399999999997	0.04063999999999979	0.03891200000000028	0.04179200000000005	0.029695999999999945	0.024576000000000153	0.03094399999999986	0.1555265731985648	0.1216755319148952	0.16214005235602172	0.9261321455085374	0.9258525393680258	0.9263456418566964	1.0005507090378862	1.0000125159578463	1.0012159045326916	1.002836523376216	1.0023324638844302	1.003151366010446	0.9362471899587862	0.9358947319085114	0.936665301106104	0	0	975872	2278400.0	2278400.0	1.1222191011235956	docs/experiments/REBASE/bounded_raw/real_s4/trace/c2__full/dump
real_s4	c3	wavefront	c2	2.5568	2.555904	2.55792	-0.0021439999999999237	-0.0041279999999996875	0.0	0.029312000000000005	0.027648000000000117	0.03276800000000035	0.19305600000000034	0.1903039999999998	0.1943999999999999	0.040704000000000296	0.03900799999999993	0.04227199999999964	0.028415999999999997	0.025567999999999813	0.029695999999999945	0.14683127572016533	0.1319788569540789	0.15338842975206585	0.9259606481481482	0.9255003706449222	0.9265033407572382	0.9999124649859945	0.9995994943616315	1.000262815378454	1.002748381793897	1.002296571457256	1.0030885897950985	0.936164229471316	0.9355563881603598	0.9365501876172608	0	0	974848	2273280.0	2273280.0	1.1247184684684686	docs/experiments/REBASE/bounded_raw/real_s4/trace/c3__full/dump
