slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kind_name	simt_barriers	seg_setup	seg_wait	seg_compute	seg_epilogue
0	0	0	1	1	0	0	0	1	0	1024	0	1024	0	0	0	2048	1348	0	2811	1960	1830	130	6119	rmsnorm	8	1348	89	2722	1960
1	2	0	0	1	32	16	64	1	6144	1024	0	4096	1024	0	1024	6144	2164	1057	9421	1245	945	300	13887	gemm	0	2164	2648	7830	1245
2	5	0	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1291	0	1541	159	30	129	2991	rope	0	1291	0	1541	159
3	6	0	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1127	0	986	160	30	130	2273	kvappend	0	1127	0	986	160
4	8	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1763	0	8121	159	30	129	10043	attention	2	1763	52	8069	159
5	9	0	0	1	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	2184	998	9471	2119	1988	131	14772	gemm	0	2184	2370	8099	2119
6	10	0	1	0	0	0	0	1	0	0	0	2048	0	0	0	2048	1280	0	2913	1946	1815	131	6139	rmsnorm	8	1280	89	2824	1946
7	11	0	0	1	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	2179	1087	9297	1322	1193	129	13885	gemm	0	2179	2906	7478	1322
8	13	0	4	1	0	0	0	1	0	1024	0	2048	1024	0	1024	4096	1316	0	6260	160	30	130	7736	elementwise	0	1316	0	6260	160
9	14	0	0	1	32	16	64	1	6144	1024	1024	7168	1024	1024	0	10240	2160	1028	18274	2247	2118	129	23709	gemm	0	2160	4122	15180	2247
10	15	0	1	1	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1295	0	2908	1842	1710	132	6045	rmsnorm	8	1295	89	2819	1842
11	17	0	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2157	1042	9421	1232	933	299	13852	gemm	0	2157	2495	7968	1232
12	20	0	2	1	0	0	0	1	0	1024	0	0	1024	0	1024	2048	1283	0	1585	159	30	129	3027	rope	0	1283	0	1585	159
13	21	0	3	1	0	0	0	1	0	0	0	1024	0	0	0	1024	1126	0	942	160	30	130	2228	kvappend	0	1126	0	942	160
14	23	0	5	1	0	0	0	1	0	1024	0	3072	0	0	0	4096	1679	0	8372	160	30	130	10211	attention	2	1679	52	8320	160
15	24	0	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2217	1004	9396	1552	1422	130	14169	gemm	0	2217	2322	8078	1552
16	25	0	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1369	0	2901	1862	1731	131	6132	rmsnorm	8	1369	89	2812	1862
17	26	0	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2234	1003	9500	1382	1251	131	14119	gemm	0	2234	3228	7275	1382
18	28	0	4	1	0	0	0	1	0	1024	0	2048	0	0	0	3072	1331	0	6454	159	30	129	7944	elementwise	0	1331	0	6454	159
19	29	0	0	1	32	16	64	1	6144	1024	1024	7168	0	0	0	9216	2225	1035	18351	1752	1622	130	23363	gemm	0	2225	4274	15112	1752
20	0	1	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1345	0	2900	1909	1778	131	6154	rmsnorm	8	1345	89	2811	1909
21	2	1	0	0	32	16	64	1	6144	1024	0	4096	1024	0	1024	6144	2165	1036	9421	1250	944	306	13872	gemm	0	2165	2571	7886	1250
22	5	1	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1291	0	1558	159	30	129	3008	rope	0	1291	0	1558	159
23	6	1	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1139	0	956	159	30	129	2254	kvappend	0	1139	0	956	159
24	8	1	5	0	0	0	0	1	0	1024	0	3072	0	0	0	4096	1689	0	8094	159	30	129	9942	attention	2	1689	52	8042	159
25	9	1	0	0	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	2195	1020	9367	2026	1892	134	14608	gemm	0	2195	2674	7713	2026
26	10	1	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1286	0	2858	1897	1767	130	6041	rmsnorm	8	1286	89	2769	1897
27	11	1	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2177	1011	9485	1074	942	132	13747	gemm	0	2177	2593	7903	1074
28	13	1	4	0	0	0	0	1	0	1024	0	2048	0	0	0	3072	1323	0	6403	163	30	133	7889	elementwise	0	1323	0	6403	163
29	14	1	0	0	32	16	64	1	6144	1024	1024	7168	1024	0	1024	10240	2188	1016	18291	2260	2130	130	23755	gemm	0	2188	4355	14952	2260
30	15	1	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1280	0	2858	1874	1743	131	6012	rmsnorm	8	1280	89	2769	1874
31	17	1	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2175	1066	9268	1077	946	131	13586	gemm	0	2175	2608	7726	1077
32	20	1	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1281	0	1561	159	30	129	3001	rope	0	1281	0	1561	159
33	21	1	3	0	0	0	0	1	0	0	0	0	1024	0	1024	1024	1103	0	985	160	30	130	2248	kvappend	0	1103	0	985	160
34	23	1	5	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1673	0	8300	159	30	129	10132	attention	2	1673	52	8248	159
35	24	1	0	0	32	16	64	1	6144	0	1024	3072	1024	1024	0	5120	2209	1019	9430	1501	1371	130	14159	gemm	0	2209	2628	7821	1501
36	25	1	1	0	0	0	0	1	0	1024	0	1024	0	0	0	2048	1348	0	2844	1894	1764	130	6086	rmsnorm	8	1348	89	2755	1894
37	26	1	0	1	32	16	64	1	6144	1024	1024	4096	0	0	0	6144	2208	1011	10236	1369	1238	131	14824	gemm	0	2208	2870	8377	1369
38	28	1	4	0	0	0	0	1	0	1024	0	2048	0	0	0	3072	1313	0	6429	160	30	130	7902	elementwise	0	1313	0	6429	160
39	29	1	0	0	32	16	64	1	6144	1024	1024	7168	0	0	0	9216	2199	1059	18257	1997	1867	130	23512	gemm	0	2199	4239	15077	1997
40	0	2	1	0	0	0	0	1	0	0	0	2048	0	0	0	2048	1313	0	2779	1861	1731	130	5953	rmsnorm	8	1313	89	2690	1861
41	2	2	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2103	1041	9293	1226	935	291	13663	gemm	0	2103	2327	8007	1226
42	5	2	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1254	0	1532	159	30	129	2945	rope	0	1254	0	1532	159
43	6	2	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1101	0	1204	159	30	129	2464	kvappend	0	1101	0	1204	159
44	8	2	5	0	0	0	0	1	0	1024	0	3072	0	0	0	4096	1652	0	7945	160	30	130	9757	attention	2	1652	52	7893	160
45	9	2	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2130	988	9413	1738	1604	134	14269	gemm	0	2130	2287	8114	1738
46	10	2	1	1	0	0	0	1	0	1024	0	1024	1024	1024	0	3072	1249	0	2789	1838	1707	131	5876	rmsnorm	8	1249	89	2700	1838
47	11	2	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2114	995	9416	1061	930	131	13586	gemm	0	2114	2245	8166	1061
