slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	prefetch_wait_cycles	prefetch_issued
0	1	0	0	0	1	0	1789823754103989248	8678223273346	1789823754103990272	8678223274971	1789823754103990272	8678223274971	1789823754103994368	8678223287308	1789823754103996416	8678223291218	1789823754103996416	8678223291334	0	0	0	0	457	1
1	0	32	16	16	1	1536	1789823754103998464	8678223296367	1789823754103999488	8678223299578	1789823754104000512	8678223301336	1789823754104067072	8678223466776	1789823754104067072	8678223468815	1789823754104067072	8678223468964	8678223301346	8678223466668	104317	256	955	0
2	2	0	0	0	1	0	1789823754104070144	8678223474427	1789823754104070144	8678223476792	1789823754104070144	8678223476792	1789823754104071168	8678223478957	1789823754104071168	8678223478999	1789823754104071168	8678223479144	0	0	0	0	947	0
3	2	0	0	0	1	0	1789823754104150016	8678223677846	1789823754104151040	8678223680052	1789823754104151040	8678223680052	1789823754104152064	8678223683028	1789823754104152064	8678223683059	1789823754104152064	8678223683227	0	0	0	0	321	0
4	5	0	0	0	1	0	1789823754104156160	8678223691928	1789823754104157184	8678223694726	1789823754104157184	8678223694726	1789823754104161280	8678223703973	1789823754104161280	8678223704004	1789823754104161280	8678223704120	0	0	0	0	960	0
5	0	32	16	16	1	1536	1789823754104165376	8678223716523	1789823754104167424	8678223720529	1789823754104167424	8678223721844	1789823754104236032	8678223892410	1789823754104236032	8678223893731	1789823754104236032	8678223893848	8678223722057	8678223892305	107190	256	2017	0
6	1	0	0	0	1	0	1789823754104239104	8678223901353	1789823754104241152	8678223905052	1789823754104241152	8678223905052	1789823754104245248	8678223916280	1789823754104247296	8678223920200	1789823754104247296	8678223920316	0	0	0	0	1253	1
7	0	32	16	16	1	1536	1789823754104248320	8678223924868	1789823754104250368	8678223927888	1789823754104250368	8678223929299	1789823754104315904	8678224093191	1789823754104315904	8678224094714	1789823754104315904	8678224094945	8678223929969	8678224093080	104799	256	771	0
8	0	32	16	16	1	1536	1789823754104317952	8678224098074	1789823754104318976	8678224100468	1789823754104318976	8678224101329	1789823754104385536	8678224268986	1789823754104386560	8678224270742	1789823754104386560	8678224270858	8678224101471	8678224268891	106432	256	309	0
9	0	32	16	16	1	1536	1789823754104387584	8678224273743	1789823754104388608	8678224277502	1789823754104389632	8678224278438	1789823754104456192	8678224446877	1789823754104457216	8678224448368	1789823754104457216	8678224448601	8678224278712	8678224446781	107768	256	287	0
10	0	32	16	16	1	1536	1789823754104458240	8678224451660	1789823754104459264	8678224454542	1789823754104459264	8678224455569	1789823754104525824	8678224621359	1789823754104525824	8678224622815	1789823754104525824	8678224623062	8678224455579	8678224621235	105787	256	787	0
11	0	32	16	16	1	1536	1789823754104527872	8678224626445	1789823754104528896	8678224629498	1789823754104528896	8678224630465	1789823754104594432	8678224794449	1789823754104595456	8678224795886	1789823754104595456	8678224796136	8678224630475	8678224794354	105546	256	489	0
12	0	32	16	16	1	1536	1789823754104596480	8678224799224	1789823754104597504	8678224802219	1789823754104597504	8678224803212	1789823754104664064	8678224970443	1789823754104665088	8678224971942	1789823754104665088	8678224972184	8678224803222	8678224970322	105514	256	560	0
13	0	32	16	16	1	1536	1789823754104666112	8678224975181	1789823754104667136	8678224977832	1789823754104668160	8678224978793	1789823754104732672	8678225143336	1789823754104733696	8678225144793	1789823754104733696	8678225145049	8678224979091	8678225143231	105309	256	264	0
14	4	0	0	0	1	0	1789823754104743936	8678225171581	1789823754104744960	8678225174289	1789823754104744960	8678225174289	1789823754104796160	8678225301996	1789823754104796160	8678225302026	1789823754104796160	8678225302143	0	0	0	0	1288	0
15	0	32	16	16	1	1536	1789823754104798208	8678225306965	1789823754104800256	8678225312286	1789823754104801280	8678225314214	1789823754105042944	8678225922153	1789823754105043968	8678225924290	1789823754105043968	8678225924412	8678225314877	8678225922063	392369	896	2408	0
16	1	0	0	0	1	0	1789823754105047040	8678225933351	1789823754105049088	8678225937891	1789823754105049088	8678225937891	1789823754105053184	8678225949411	1789823754105055232	8678225953324	1789823754105055232	8678225953441	0	0	0	0	974	1
17	0	32	16	16	1	1536	1789823754105057280	8678225958699	1789823754105058304	8678225961753	1789823754105059328	8678225962594	1789823754105124864	8678226129311	1789823754105125888	8678226130751	1789823754105125888	8678226131031	8678225962761	8678226129202	105710	256	979	0
18	2	0	0	0	1	0	1789823754105127936	8678226136115	1789823754105128960	8678226138614	1789823754105128960	8678226138614	1789823754105129984	8678226140266	1789823754105129984	8678226140296	1789823754105129984	8678226140641	0	0	0	0	976	0
19	2	0	0	0	1	0	1789823754105200640	8678226319722	1789823754105202688	8678226322820	1789823754105202688	8678226322820	1789823754105202688	8678226325076	1789823754105202688	8678226325106	1789823754105203712	8678226325464	0	0	0	0	1213	0
20	5	0	0	0	1	0	1789823754105205760	8678226333040	1789823754105207808	8678226336420	1789823754105207808	8678226336420	1789823754105212928	8678226351033	1789823754105212928	8678226351064	1789823754105212928	8678226351180	0	0	0	0	1397	0
21	0	32	16	16	1	1536	1789823754105216000	8678226358274	1789823754105218048	8678226362015	1789823754105218048	8678226363219	1789823754105283584	8678226527895	1789823754105284608	8678226530112	1789823754105284608	8678226530228	8678226363229	8678226527804	104664	256	1846	0
22	1	0	0	0	1	0	1789823754105288704	8678226539480	1789823754105289728	8678226543348	1789823754105289728	8678226543348	1789823754105294848	8678226554562	1789823754105295872	8678226558717	1789823754105295872	8678226558833	0	0	0	0	1229	1
23	0	32	16	16	1	1536	1789823754105297920	8678226563975	1789823754105299968	8678226567437	1789823754105299968	8678226568537	1789823754105366528	8678226736280	1789823754105367552	8678226738010	1789823754105367552	8678226738278	8678226568750	8678226736190	105401	256	978	0
24	0	32	16	16	1	1536	1789823754105368576	8678226741487	1789823754105369600	8678226744685	1789823754105370624	8678226745615	1789823754105434112	8678226907168	1789823754105435136	8678226908886	1789823754105435136	8678226909138	8678226745625	8678226907075	102904	256	269	0
25	0	32	16	16	1	1536	1789823754105436160	8678226912342	1789823754105438208	8678226915924	1789823754105438208	8678226916779	1789823754105505792	8678227085887	1789823754105505792	8678227087711	1789823754105506816	8678227087961	8678226916886	8678227085788	107597	256	764	0
26	0	32	16	16	1	1536	1789823754105507840	8678227090966	1789823754105508864	8678227093522	1789823754105508864	8678227094400	1789823754105574400	8678227258659	1789823754105575424	8678227260688	1789823754105575424	8678227260841	8678227094410	8678227258553	104807	256	419	0
27	0	32	16	16	1	1536	1789823754105576448	8678227263726	1789823754105578496	8678227268406	1789823754105578496	8678227269379	1789823754105644032	8678227433740	1789823754105644032	8678227435207	1789823754105644032	8678227435447	8678227269436	8678227433646	105817	256	534	0
28	0	32	16	16	1	1536	1789823754105646080	8678227438419	1789823754105647104	8678227441675	1789823754105647104	8678227442660	1789823754105713664	8678227609727	1789823754105714688	8678227611254	1789823754105714688	8678227611473	8678227442780	8678227609617	105099	256	277	0
29	0	32	16	16	1	1536	1789823754105715712	8678227614435	1789823754105716736	8678227617666	1789823754105717760	8678227618720	1789823754105783296	8678227783668	1789823754105783296	8678227784396	1789823754105783296	8678227784512	8678227618736	8678227783561	104698	256	276	0
30	4	0	0	0	1	0	1789823754105793536	8678227811368	1789823754105794560	8678227814033	1789823754105794560	8678227814033	1789823754105843712	8678227937470	1789823754105843712	8678227937500	1789823754105843712	8678227937847	0	0	0	0	1254	0
31	0	32	16	16	1	1536	1789823754105847808	8678227947598	1789823754105849856	8678227951847	1789823754105850880	8678227954056	1789823754106092544	8678228563173	1789823754106093568	8678228565128	1789823754106093568	8678228565245	8678227954073	8678228563077	392008	896	2204	0
32	1	0	0	0	1	0	1789823754106096640	8678228573665	1789823754106098688	8678228577773	1789823754106098688	8678228577773	1789823754106102784	8678228588980	1789823754106104832	8678228592892	1789823754106104832	8678228593008	0	0	0	0	274	1
33	0	32	16	16	1	1536	1789823754106106880	8678228597893	1789823754106107904	8678228601226	1789823754106107904	8678228602125	1789823754106174464	8678228767273	1789823754106174464	8678228769004	1789823754106175488	8678228769275	8678228602254	8678228767166	106195	256	705	0
