model	seq	place	round	l2_ms	l1_ms
gqa2	128	4	14	1.011712	0.566272
gqa2	512	0	0	1.939456	1.782944
gqa2	512	4	0	4.574208	1.614880
gqa2	512	5	0	1.611776	1.615872
gqa2	512	4	1	4.571136	1.613856
gqa2	512	5	1	1.610624	1.615872
gqa2	512	0	1	1.822592	1.614848
gqa2	512	5	2	1.781760	1.785952
gqa2	512	0	2	1.755168	1.615872
gqa2	512	4	2	5.054464	1.783712
gqa2	512	0	3	1.755136	1.615744
gqa2	512	4	3	4.577280	1.615872
gqa2	512	5	3	1.611776	1.614848
gqa2	512	4	4	5.060608	1.787040
gqa2	512	5	4	1.612608	1.614848
gqa2	512	0	4	1.753984	1.613824
gqa2	512	5	5	1.609728	1.614912
gqa2	512	0	5	1.761376	1.617984
gqa2	512	4	5	4.590592	1.618944
gqa2	512	0	6	1.761056	1.618944
gqa2	512	4	6	4.591840	1.619968
gqa2	512	5	6	1.618816	1.618880
gqa2	512	4	7	4.592608	1.781920
gqa2	512	5	7	1.617856	1.620032
gqa2	512	0	7	1.760256	1.618944
gqa2	512	5	8	1.617888	1.619040
gqa2	512	0	8	1.935488	1.781920
gqa2	512	4	8	4.592640	1.619968
gqa2	512	0	9	1.760256	1.620000
gqa2	512	4	9	5.049600	1.781952
gqa2	512	5	9	1.620000	1.618784
gqa2	512	4	10	4.591616	1.617984
gqa2	512	5	10	1.617920	1.619008
gqa2	512	0	10	1.761408	1.619968
gqa2	512	5	11	1.618720	1.620992
gqa2	512	0	11	1.764352	1.619008
gqa2	512	4	11	5.051392	1.782784
gqa2	512	0	12	1.762112	1.619008
gqa2	512	4	12	5.050368	1.783968
gqa2	512	5	12	1.616864	1.620032
gqa2	512	4	13	4.591616	1.619968
gqa2	512	5	13	1.618944	1.618944
gqa2	512	0	13	1.760256	1.619968
gqa2	512	5	14	1.617920	1.618944
gqa2	512	0	14	1.761376	1.620992
gqa2	512	4	14	4.587520	1.619072
mha4	4	0	0	0.805888	0.729152
mha4	4	4	0	1.099776	0.732128
mha4	4	5	0	0.529408	0.732160
mha4	4	4	1	1.208320	0.814080
mha4	4	5	1	0.578560	0.806016
mha4	4	0	1	0.895008	0.816192
mha4	4	5	2	0.579584	0.812032
mha4	4	0	2	0.889856	0.811008
mha4	4	4	2	1.210240	0.811168
mha4	4	0	3	0.891936	0.813216
mha4	4	4	3	1.207296	0.807936
mha4	4	5	3	0.578560	0.812864
mha4	4	4	4	1.207296	0.813056
mha4	4	5	4	0.579424	0.806912
mha4	4	0	4	0.891904	0.815040
mha4	4	5	5	0.578560	0.809920
mha4	4	0	5	0.893952	0.814240
mha4	4	4	5	1.208320	0.816128
mha4	4	0	6	0.886880	0.810208
mha4	4	4	6	1.207296	0.812032
mha4	4	5	6	0.578560	0.808960
mha4	4	4	7	1.205248	0.808064
mha4	4	5	7	0.570336	0.787616
mha4	4	0	7	0.870400	0.789568
mha4	4	5	8	0.567040	0.780480
mha4	4	0	8	0.887808	0.814080
mha4	4	4	8	1.207296	0.807072
mha4	4	0	9	0.879616	0.796896
mha4	4	4	9	1.192960	0.797920
mha4	4	5	9	0.575424	0.794528
mha4	4	4	10	1.210368	0.809920
mha4	4	5	10	0.578720	0.810976
mha4	4	0	10	0.889760	0.813248
mha4	4	5	11	0.557056	0.759808
mha4	4	0	11	0.837632	0.755616
mha4	4	4	11	1.139712	0.762880
mha4	4	0	12	0.888832	0.812032
mha4	4	4	12	1.208224	0.812256
mha4	4	5	12	0.579424	0.807936
mha4	4	4	13	1.211136	0.816128
mha4	4	5	13	0.569344	0.785600
mha4	4	0	13	0.870400	0.783360
mha4	4	5	14	0.568320	0.781312
mha4	4	0	14	0.887808	0.801664
mha4	4	4	14	1.206272	0.814080
mha4	128	0	0	1.257792	1.136640
mha4	128	4	0	4.031488	1.134592
mha4	128	5	0	0.856960	1.029216
mha4	128	4	1	3.664896	1.030240
mha4	128	5	1	0.856064	1.031168
mha4	128	0	1	1.145856	1.030016
mha4	128	5	2	0.939968	1.131520
mha4	128	0	2	1.259520	1.138528
mha4	128	4	2	3.627008	1.133568
mha4	128	0	3	1.143904	1.031296
mha4	128	4	3	3.659776	1.029184
mha4	128	5	3	0.857088	1.030272
mha4	128	4	4	3.661824	1.029216
mha4	128	5	4	0.859136	1.031232
mha4	128	0	4	1.144608	1.030272
mha4	128	5	5	0.916480	1.134592
mha4	128	0	5	1.220608	1.102720
mha4	128	4	5	3.917760	1.103872
mha4	128	0	6	1.254400	1.130496
mha4	128	4	6	3.662656	1.030208
mha4	128	5	6	0.857088	1.029120
mha4	128	4	7	3.662848	1.030144
mha4	128	5	7	0.856800	1.030080
mha4	128	0	7	1.145856	1.030208
mha4	128	5	8	0.856064	1.030080
mha4	128	0	8	1.143808	1.030144
mha4	128	4	8	3.663712	1.028960
mha4	128	0	9	1.147904	1.032192
mha4	128	4	9	3.662848	1.031168
mha4	128	5	9	0.857088	1.029120
mha4	128	4	10	3.663872	1.032128
mha4	128	5	10	0.856064	1.029184
mha4	128	0	10	1.143680	1.030112
mha4	128	5	11	0.857088	1.029120
mha4	128	0	11	1.145728	1.030208
mha4	128	4	11	3.664864	1.030144
mha4	128	0	12	1.144832	1.030144
mha4	128	4	12	3.661728	1.030208
mha4	128	5	12	0.857088	1.029184
mha4	128	4	13	3.664704	1.029216
mha4	128	5	13	0.857088	1.030208
mha4	128	0	13	1.144832	1.030144
mha4	128	5	14	0.942976	1.134464
mha4	128	0	14	1.259616	1.138688
mha4	128	4	14	4.031488	1.135488
mha4	512	0	0	3.597312	3.574976
mha4	512	4	0	28.973057	3.244096
mha4	512	5	0	3.322976	3.578848
mha4	512	4	1	28.969984	3.572736
mha4	512	5	1	3.322880	3.570464
mha4	512	0	1	3.600384	3.571712
mha4	512	5	2	3.330016	3.246176
mha4	512	0	2	3.595264	3.244960
mha4	512	4	2	28.971008	3.573952
mha4	512	0	3	3.628032	3.271552
mha4	512	4	3	28.961792	3.246144
mha4	512	5	3	3.322816	3.568800
mha4	512	4	4	28.962816	3.244832
mha4	512	5	4	3.324096	3.567808
mha4	512	0	4	3.594240	3.250176
mha4	512	5	5	3.333120	3.570912
mha4	512	0	5	3.594240	3.569856
mha4	512	4	5	28.969984	3.573760
mha4	512	0	6	3.730560	3.381248
mha4	512	4	6	28.972033	3.245120
mha4	512	5	6	3.403776	3.339264
mha4	512	4	7	28.967072	3.572736
mha4	512	5	7	3.325760	3.571712
mha4	512	0	7	3.595264	3.570688
mha4	512	5	8	3.320832	3.245056
mha4	512	0	8	3.597248	3.570688
mha4	512	4	8	28.974943	3.572896
mha4	512	0	9	3.597408	3.381184
mha4	512	4	9	28.978176	3.571904
mha4	512	5	9	3.321856	3.355648
mha4	512	4	10	28.977152	3.576608
mha4	512	5	10	3.333184	3.571712
mha4	512	0	10	3.594240	3.572736
mha4	512	5	11	3.323904	3.574944
mha4	512	0	11	3.595264	3.571936
mha4	512	4	11	28.971008	3.481792
mha4	512	0	12	3.716096	3.374080
mha4	512	4	12	28.969984	3.243072
mha4	512	5	12	3.323904	3.242784
mha4	512	4	13	28.967936	3.243072
mha4	512	5	13	3.324928	3.570496
mha4	512	0	13	3.597088	3.570688
mha4	512	5	14	3.324000	3.570912
mha4	512	0	14	3.594368	3.245152
mha4	512	4	14	28.971071	3.245152
