stage	logical_stage	combine	task_ns	count
0	0	0	10240	4
1	1	0	9716.1	256
2	1	1	2991.36	32
3	2	0	10527.8	64
4	2	1	3343.36	8
5	3	0	10039	64
6	3	1	2831.36	8
7	4	0	2048	128
8	5	0	2048	32
9	6	0	1024	32
10	7	0	1024	32
11	8	0	4240	128
12	9	0	12500.2	256
13	9	1	5967.36	32
14	10	0	13312	4
15	11	0	16362.4	896
16	11	1	3114.79	112
17	12	0	15123	896
18	12	1	3370.79	112
19	13	0	30720	4
20	14	0	28644.5	256
21	14	1	5967.36	32
22	15	0	13312	4
23	16	0	9689.9	256
24	16	1	3119.36	32
25	17	0	10527.8	64
26	17	1	3343.36	8
27	18	0	10108.8	64
28	18	1	3215.36	8
29	19	0	1288	128
30	20	0	2048	32
31	21	0	1024	32
32	22	0	1024	32
33	23	0	5120	128
34	24	0	12531.5	256
35	24	1	5967.36	32
36	25	0	13312	4
37	26	0	16119.2	896
38	26	1	3133.07	112
39	27	0	15131.8	896
40	27	1	3398.22	112
41	28	0	30976	4
42	29	0	28613.1	256
43	29	1	5871.36	32
44	30	0	12288	4
45	31	0	9901.95	256
46	31	1	3087.36	32
47	32	0	10079.8	64
48	32	1	3215.36	8
49	33	0	10522	64
50	33	1	3343.36	8
51	34	0	1544	128
52	35	0	2048	32
53	36	0	1024	32
54	37	0	1024	32
55	38	0	5120	128
56	39	0	12525	256
57	39	1	5999.36	32
58	40	0	13312	4
59	41	0	15019.7	896
60	41	1	3471.36	112
61	42	0	16221.9	896
62	42	1	3242.79	112
63	43	0	32000	4
64	44	0	28567.8	256
65	44	1	5839.36	32
66	45	0	13312	4
67	46	0	9669.6	256
68	46	1	3119.36	32
69	47	0	9532.8	64
70	47	1	2959.36	8
71	48	0	9916.8	64
72	48	1	3343.36	8
73	49	0	2048	128
74	50	0	2048	32
75	51	0	1024	32
76	52	0	1056	32
77	53	0	5120	128
78	54	0	12439.1	256
79	54	1	5903.36	32
80	55	0	13312	4
81	56	0	15203.1	896
82	56	1	3443.93	112
83	57	0	16260.1	896
84	57	1	3261.07	112
85	58	0	30720	4
86	59	0	28625.6	256
87	59	1	5967.36	32
