stage	logical_stage	combine	task_ns	count
0	0	0	2048	4
1	1	0	19456	4
2	2	0	19456	4
3	3	0	19456	4
4	4	0	1024	16
5	5	0	1024	16
6	6	0	1024	16
7	7	0	1024	16
8	8	0	3520	16
9	9	0	22528	4
10	10	0	2048	4
11	11	0	19456	8
12	12	0	19456	8
13	13	0	3072	4
14	14	0	39168	4
15	15	0	2048	4
16	16	0	19456	4
17	17	0	19456	4
18	18	0	19456	4
19	19	0	1024	16
20	20	0	1024	16
21	21	0	1024	16
22	22	0	1024	16
23	23	0	3520	16
24	24	0	22528	4
25	25	0	2048	4
26	26	0	19456	8
27	27	0	19456	8
28	28	0	2816	4
29	29	0	38912	4
30	30	0	2048	4
31	31	0	19456	4
32	32	0	19712	4
33	33	0	19456	4
34	34	0	1024	16
35	35	0	1024	16
36	36	0	1024	16
37	37	0	1024	16
38	38	0	3456	16
39	39	0	22528	4
40	40	0	2048	4
41	41	0	19456	8
42	42	0	19456	8
43	43	0	2816	4
44	44	0	38912	4
45	45	0	2048	4
46	46	0	19456	4
47	47	0	19456	4
48	48	0	19456	4
49	49	0	1024	16
50	50	0	1024	16
51	51	0	1024	16
52	52	0	1024	16
53	53	0	3456	16
54	54	0	22528	4
55	55	0	2048	4
56	56	0	19456	8
57	57	0	19456	8
58	58	0	2816	4
59	59	0	38912	4
