producer	first	last
0	2048	2079
0	4096	4127
0	6144	6175
1	2048	2079
1	4096	4127
1	6144	6175
2	2048	2079
2	4096	4127
2	6144	6175
3	2048	2079
3	4096	4127
3	6144	6175
4	2048	2079
4	4096	4127
4	6144	6175
5	2048	2079
5	4096	4127
5	6144	6175
6	2048	2079
6	4096	4127
6	6144	6175
7	2048	2079
7	4096	4127
7	6144	6175
8	2048	2079
8	4096	4127
8	6144	6175
9	2048	2079
9	4096	4127
9	6144	6175
10	2048	2079
10	4096	4127
10	6144	6175
11	2048	2079
11	4096	4127
11	6144	6175
12	2048	2079
12	4096	4127
12	6144	6175
13	2048	2079
13	4096	4127
13	6144	6175
14	2048	2079
14	4096	4127
14	6144	6175
15	2048	2079
15	4096	4127
15	6144	6175
16	2048	2079
16	4096	4127
16	6144	6175
17	2048	2079
17	4096	4127
17	6144	6175
18	2048	2079
18	4096	4127
18	6144	6175
19	2048	2079
19	4096	4127
19	6144	6175
20	2048	2079
20	4096	4127
20	6144	6175
21	2048	2079
21	4096	4127
21	6144	6175
22	2048	2079
22	4096	4127
22	6144	6175
23	2048	2079
23	4096	4127
23	6144	6175
24	2048	2079
24	4096	4127
24	6144	6175
25	2048	2079
25	4096	4127
25	6144	6175
26	2048	2079
26	4096	4127
26	6144	6175
27	2048	2079
27	4096	4127
27	6144	6175
28	2048	2079
28	4096	4127
28	6144	6175
29	2048	2079
29	4096	4127
29	6144	6175
30	2048	2079
30	4096	4127
30	6144	6175
31	2048	2079
31	4096	4127
31	6144	6175
32	2080	2111
32	4128	4159
32	6176	6207
33	2080	2111
33	4128	4159
33	6176	6207
34	2080	2111
34	4128	4159
34	6176	6207
35	2080	2111
35	4128	4159
35	6176	6207
36	2080	2111
36	4128	4159
36	6176	6207
37	2080	2111
37	4128	4159
37	6176	6207
38	2080	2111
38	4128	4159
38	6176	6207
39	2080	2111
39	4128	4159
39	6176	6207
40	2080	2111
40	4128	4159
40	6176	6207
41	2080	2111
41	4128	4159
41	6176	6207
42	2080	2111
42	4128	4159
42	6176	6207
43	2080	2111
43	4128	4159
43	6176	6207
44	2080	2111
44	4128	4159
44	6176	6207
45	2080	2111
45	4128	4159
45	6176	6207
46	2080	2111
46	4128	4159
46	6176	6207
47	2080	2111
47	4128	4159
47	6176	6207
48	2080	2111
48	4128	4159
48	6176	6207
49	2080	2111
49	4128	4159
49	6176	6207
50	2080	2111
50	4128	4159
50	6176	6207
51	2080	2111
51	4128	4159
51	6176	6207
52	2080	2111
52	4128	4159
52	6176	6207
53	2080	2111
53	4128	4159
53	6176	6207
54	2080	2111
54	4128	4159
54	6176	6207
55	2080	2111
55	4128	4159
55	6176	6207
56	2080	2111
56	4128	4159
56	6176	6207
57	2080	2111
57	4128	4159
57	6176	6207
58	2080	2111
58	4128	4159
58	6176	6207
59	2080	2111
59	4128	4159
59	6176	6207
60	2080	2111
60	4128	4159
60	6176	6207
61	2080	2111
61	4128	4159
61	6176	6207
62	2080	2111
62	4128	4159
62	6176	6207
63	2080	2111
63	4128	4159
63	6176	6207
64	2112	2143
64	4160	4191
64	6208	6239
65	2112	2143
65	4160	4191
65	6208	6239
66	2112	2143
66	4160	4191
66	6208	6239
67	2112	2143
67	4160	4191
67	6208	6239
68	2112	2143
68	4160	4191
68	6208	6239
69	2112	2143
69	4160	4191
69	6208	6239
70	2112	2143
70	4160	4191
70	6208	6239
71	2112	2143
71	4160	4191
71	6208	6239
72	2112	2143
72	4160	4191
72	6208	6239
73	2112	2143
73	4160	4191
73	6208	6239
74	2112	2143
74	4160	4191
74	6208	6239
75	2112	2143
75	4160	4191
75	6208	6239
76	2112	2143
76	4160	4191
76	6208	6239
77	2112	2143
77	4160	4191
77	6208	6239
78	2112	2143
78	4160	4191
78	6208	6239
79	2112	2143
79	4160	4191
79	6208	6239
80	2112	2143
80	4160	4191
80	6208	6239
81	2112	2143
81	4160	4191
81	6208	6239
82	2112	2143
82	4160	4191
82	6208	6239
83	2112	2143
83	4160	4191
83	6208	6239
84	2112	2143
84	4160	4191
84	6208	6239
85	2112	2143
85	4160	4191
85	6208	6239
86	2112	2143
86	4160	4191
86	6208	6239
87	2112	2143
87	4160	4191
87	6208	6239
88	2112	2143
88	4160	4191
88	6208	6239
89	2112	2143
89	4160	4191
89	6208	6239
90	2112	2143
90	4160	4191
90	6208	6239
91	2112	2143
91	4160	4191
91	6208	6239
92	2112	2143
92	4160	4191
92	6208	6239
93	2112	2143
93	4160	4191
93	6208	6239
94	2112	2143
94	4160	4191
94	6208	6239
95	2112	2143
95	4160	4191
95	6208	6239
96	2144	2175
96	4192	4223
96	6240	6271
97	2144	2175
97	4192	4223
97	6240	6271
98	2144	2175
98	4192	4223
98	6240	6271
99	2144	2175
99	4192	4223
99	6240	6271
100	2144	2175
100	4192	4223
100	6240	6271
101	2144	2175
101	4192	4223
101	6240	6271
102	2144	2175
102	4192	4223
102	6240	6271
103	2144	2175
103	4192	4223
103	6240	6271
104	2144	2175
104	4192	4223
104	6240	6271
105	2144	2175
105	4192	4223
105	6240	6271
106	2144	2175
106	4192	4223
106	6240	6271
107	2144	2175
107	4192	4223
107	6240	6271
108	2144	2175
108	4192	4223
108	6240	6271
109	2144	2175
109	4192	4223
109	6240	6271
110	2144	2175
110	4192	4223
110	6240	6271
111	2144	2175
111	4192	4223
111	6240	6271
112	2144	2175
112	4192	4223
112	6240	6271
113	2144	2175
113	4192	4223
113	6240	6271
114	2144	2175
114	4192	4223
114	6240	6271
115	2144	2175
115	4192	4223
115	6240	6271
116	2144	2175
116	4192	4223
116	6240	6271
117	2144	2175
117	4192	4223
117	6240	6271
118	2144	2175
118	4192	4223
