stage	task	category	start_ns	end_ns	wait_ns	fixed_ns	mainloop_ns	publication_ns	hop_ns
0	3	embedding	0	2107.2075435373108	0	440.32091100000002	592.75822953731085	1074.1284029999999	0
1	3	rmsnorm	2107.2075435373108	5096.4377398952111	0	843.63354040000002	1071.4682529579004	1074.1284029999999	0
2	95	gemm	6331.8495408952112	25649.949718900418	1764.368211	2788.1533880000002	13691.450176005208	1074.1284029999999	1235.411801
3	156	fused_attention	30345.881854300416	69770.518052044412	1764.368211	7782.7629440000001	28803.376639743998	1074.1284029999999	1235.411801
4	31	attention_merge	71005.929853044407	75889.747148947587	1764.368211	1586.404417	458.91626490319322	1074.1284029999999	1235.411801
5	63	gemm	77125.158949947581	92302.183311674409	1764.368211	3090.9534960000001	9247.5742517268372	1074.1284029999999	1235.411801
6	3	rmsnorm	93537.595112674404	98291.193520032291	1764.368211	843.63354040000002	1071.4682529579004	1074.1284029999999	1235.411801
7	127	swiglu_gemm	99526.605321032286	179404.95931546687	1764.368211	4569.3484520000002	72470.508928434574	1074.1284029999999	1235.411801
8	63	gemm	180640.37111646688	223560.11823337426	1764.368211	3090.9534960000001	36990.297006907378	1074.1284029999999	1235.411801
9	3	rmsnorm	224795.53003437427	229549.12844173217	1764.368211	843.63354040000002	1071.4682529578859	1074.1284029999999	1235.411801
10	95	gemm	230784.54024273218	250102.64042073739	1764.368211	2788.1533880000002	13691.450176005193	1074.1284029999999	1235.411801
11	156	fused_attention	254798.5725561374	294223.20875388139	1764.368211	7782.7629440000001	28803.376639743976	1074.1284029999999	1235.411801
12	31	attention_merge	295458.6205548814	300342.43785078463	1764.368211	1586.404417	458.91626490320778	1074.1284029999999	1235.411801
13	63	gemm	301577.84965178464	316754.87401351146	1764.368211	3090.9534960000001	9247.5742517268518	1074.1284029999999	1235.411801
14	3	rmsnorm	317990.28581451147	322743.8842218694	1764.368211	843.63354040000002	1071.468252957915	1074.1284029999999	1235.411801
15	127	swiglu_gemm	323979.29602286941	403857.650017304	1764.368211	4569.3484520000002	72470.508928434574	1074.1284029999999	1235.411801
16	63	gemm	405093.06181830401	448012.80893521133	1764.368211	3090.9534960000001	36990.297006907349	1074.1284029999999	1235.411801
17	3	rmsnorm	449248.22073621134	454001.81914356927	1764.368211	843.63354040000002	1071.468252957915	1074.1284029999999	1235.411801
18	95	gemm	455237.23094456928	474555.33112257445	1764.368211	2788.1533880000002	13691.450176005193	1074.1284029999999	1235.411801
19	156	fused_attention	479251.26325797447	518675.89945571846	1764.368211	7782.7629440000001	28803.376639743976	1074.1284029999999	1235.411801
20	31	attention_merge	519911.31125671847	524795.1285526217	1764.368211	1586.404417	458.91626490320778	1074.1284029999999	1235.411801
21	63	gemm	526030.54035362171	541207.56471534853	1764.368211	3090.9534960000001	9247.5742517268518	1074.1284029999999	1235.411801
22	3	rmsnorm	542442.97651634854	547196.57492370636	1764.368211	843.63354040000002	1071.468252957915	1074.1284029999999	1235.411801
23	127	swiglu_gemm	548431.98672470637	628310.34071914083	1764.368211	4569.3484520000002	72470.508928434574	1074.1284029999999	1235.411801
24	63	gemm	629545.75252014084	672465.49963704823	1764.368211	3090.9534960000001	36990.297006907407	1074.1284029999999	1235.411801
25	3	rmsnorm	673700.91143804824	678454.50984540605	1764.368211	843.63354040000002	1071.468252957915	1074.1284029999999	1235.411801
26	95	gemm	679689.92164640606	699008.02182441123	1764.368211	2788.1533880000002	13691.450176005252	1074.1284029999999	1235.411801
27	156	fused_attention	703703.95395981113	743128.59015755507	1764.368211	7782.7629440000001	28803.376639744034	1074.1284029999999	1235.411801
