family	seq	grid	nodes	different_entries	template_file	selected_file
legacy_grid_stride	4	512	11760	11292	legacy_grid_stride.tsv	selected.tsv
rotate	4	512	11760	11756	rotate.tsv	selected.tsv
band	4	512	11760	11292	band.tsv	selected.tsv
wavefront	4	512	11760	0	wavefront.tsv	selected.tsv
