slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kloop_measured	k_iterations	kloop_body_cycles	kloop_wait_cycles	kloop_fixed_cycles	kloop_body_ns	kloop_wait_ns	kloop_fixed_ns	kloop_iteration_ns
616	2	22	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2103	1076	9232	1091	960	131	13502	1	8	7789	1323	120	2953.6127981039845	501.68567619611906	45.504369723004	431.9123092875129
617	4	6	2	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1217	0	1495	159	30	129	2871	0	0	0	0	0	0.0	0.0	0.0	0.0
618	9	22	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2087	1072	9258	1754	1625	129	14171	1	8	7863	1275	120	2840.9117211205985	460.65909251287843	43.356149883565024	412.6963517041846
619	11	22	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2054	1087	9232	1284	1153	131	13657	1	8	7841	1271	120	2939.5855605184156	476.4970344878085	44.98791828366406	427.010324375778
620	14	22	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	2055	1086	18116	2085	1955	130	23342	1	16	15105	2891	120	5963.828292348556	1141.438437151915	47.37897352411961	444.07917059377945
621	17	22	0	0	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2065	1085	9173	1064	935	129	13387	1	8	7851	1202	120	3603.237767983865	551.661163815642	55.07432583850004	519.3623664749384
622	19	6	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1235	0	1451	159	30	129	2845	0	0	0	0	0	0.0	0.0	0.0	0.0
623	24	22	0	0	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	2043	1082	9216	1673	1544	129	14014	1	8	7634	1462	120	3346.8885400313975	640.9681746824605	52.61024689596118	498.48208933923223
624	26	22	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2081	1076	9660	1442	1175	267	14259	1	8	7707	1833	120	2767.3637702503684	658.1779928466232	43.08857563644015	428.1927203871239
625	29	22	0	0	32	16	64	1	6144	1024	0	8192	0	0	0	9216	2082	1086	18167	1703	1574	129	23038	1	16	15340	2707	120	6136.532685128917	1082.8940012153832	48.00416702838788	451.2141678965188
626	32	22	0	0	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2057	1074	9210	1754	1624	130	14095	1	8	7934	1156	120	3458.4246896062436	503.8995388435616	52.307910606598085	495.29052855622564
627	34	6	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1211	0	1484	159	30	129	2854	0	0	0	0	0	0.0	0.0	0.0	0.0
628	39	22	0	0	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2120	984	9356	1486	1357	129	13946	1	8	7993	1146	217	3521.3675605908506	504.877671016779	95.60074573354368	503.2806539509537
629	41	22	0	0	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	2064	1088	9183	1507	1377	130	13842	1	8	7578	1485	120	3363.6202860858257	659.1417425227568	53.263979193758125	502.8452535760728
630	44	22	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	2086	1079	17955	1972	1843	129	23092	1	16	14911	2924	120	5950.968993590855	1166.9662220682487	47.89191061839598	444.87095097869394
631	47	22	0	0	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	2125	1086	9241	1337	1208	129	13789	1	8	7949	1172	120	3541.8562622380155	522.2110377837406	53.46870694031474	508.0084125027195
632	49	6	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1232	0	1494	159	30	129	2885	0	0	0	0	0	0.0	0.0	0.0	0.0
633	54	22	0	0	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	2099	1084	9266	1505	1376	129	13954	1	8	7780	1366	120	3425.5639959868136	601.4550666475562	52.83646266303569	503.3773828292962
634	56	22	0	0	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	2104	1087	9433	1321	1192	129	13945	1	8	7130	2183	120	3141.392613840086	961.8036572248118	52.87056292577985	512.8995338831122
635	59	22	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	2116	1082	18144	2239	2110	129	23581	1	16	15223	2801	120	5949.500360459692	1094.6955599847336	46.898774437046775	440.2622450277766
