stage	logical_stage	combine	task_ns	count
0	0	0	17416	128
1	1	0	145408	32
2	2	0	146304	8
3	3	0	145792	8
4	4	0	1097	4096
5	5	0	1295	1024
6	6	0	853	1024
7	7	0	886	1024
8	8	0	20108	4096
9	9	0	151776	32
10	10	0	15656	128
11	11	0	271424	112
12	12	0	271205	112
13	13	0	31056	128
14	14	0	483616	32
15	15	0	13312	128
16	16	0	145120	32
17	17	0	145152	8
18	18	0	144000	8
19	19	0	1123.25	4096
20	20	0	1050	1024
21	21	0	872	1024
22	22	0	849	1024
23	23	0	166424	4096
24	24	0	156960	32
25	25	0	16384	128
26	26	0	249957	112
27	27	0	289243	112
28	28	0	31040	128
29	29	0	481920	32
30	30	0	13312	128
31	31	0	145152	32
32	32	0	146304	8
33	33	0	145280	8
34	34	0	1091.5	4096
35	35	0	1303	1024
36	36	0	856	1024
37	37	0	878	1024
38	38	0	20102	4096
39	39	0	2.48893e+06	32
40	40	0	16384	128
41	41	0	272896	112
42	42	0	295195	112
43	43	0	30952	128
44	44	0	482912	32
45	45	0	12832	128
46	46	0	144096	32
47	47	0	144384	8
48	48	0	143488	8
49	49	0	1119.25	4096
50	50	0	1034	1024
51	51	0	852	1024
52	52	0	861	1024
53	53	0	20283.5	4096
54	54	0	152000	32
55	55	0	15360	128
56	56	0	273189	112
57	57	0	263333	112
58	58	0	2.33842e+06	128
59	59	0	495360	32
