model	seq	k	index	candidate	simulated	predicted_ns	batch_us
gqa2	4	1	0	rotate	1	421518.85283	57.655
gqa2	4	1	1	wavefront	1	421518.85283	57.655
gqa2	4	1	2	legacy_grid_stride	0	551735.307169	57.655
gqa2	4	1	3	band	0	551735.307169	57.655
gqa2	4	1	4	balanced	0	687623.03762	57.655
gqa2	4	2	0	rotate	1	421518.85283	50.164
gqa2	4	2	1	wavefront	1	421518.85283	50.164
gqa2	4	2	2	legacy_grid_stride	0	551735.307169	50.164
gqa2	4	2	3	band	0	551735.307169	50.164
gqa2	4	2	4	balanced	0	687623.03762	50.164
gqa2	4	3	0	rotate	1	421518.85283	73.114
gqa2	4	3	1	wavefront	1	421518.85283	73.114
gqa2	4	3	2	legacy_grid_stride	1	644757.635947	73.114
gqa2	4	3	3	band	1	644757.635947	73.114
gqa2	4	3	4	balanced	0	687623.03762	73.114
gqa2	4	4	0	rotate	1	421518.85283	72.298
gqa2	4	4	1	wavefront	1	421518.85283	72.298
gqa2	4	4	2	legacy_grid_stride	1	644757.635947	72.298
gqa2	4	4	3	band	1	644757.635947	72.298
gqa2	4	4	4	balanced	0	687623.03762	72.298
gqa2	4	5	0	rotate	1	421518.85283	87.021
gqa2	4	5	1	wavefront	1	421518.85283	87.021
gqa2	4	5	2	legacy_grid_stride	1	644757.635947	87.021
gqa2	4	5	3	band	1	644757.635947	87.021
gqa2	4	5	4	balanced	1	859900.666384	87.021
gqa2	128	1	0	rotate	1	450989.049976	731.506
gqa2	128	1	1	wavefront	1	450989.049976	731.506
gqa2	128	1	2	legacy_grid_stride	0	567453.889733	731.506
gqa2	128	1	3	band	0	569094.915389	731.506
gqa2	128	1	4	balanced	0	576730.978041	731.506
gqa2	128	2	0	rotate	1	450989.049976	674.436
gqa2	128	2	1	wavefront	1	450989.049976	674.436
gqa2	128	2	2	legacy_grid_stride	0	567453.889733	674.436
gqa2	128	2	3	band	0	569094.915389	674.436
gqa2	128	2	4	balanced	0	576730.978041	674.436
gqa2	128	3	0	rotate	1	450989.049976	858.383
gqa2	128	3	1	wavefront	1	450989.049976	858.383
gqa2	128	3	2	legacy_grid_stride	1	669681.948161	858.383
gqa2	128	3	3	band	0	569094.915389	858.383
gqa2	128	3	4	balanced	0	576730.978041	858.383
gqa2	128	4	0	rotate	1	450989.049976	1039.609
gqa2	128	4	1	wavefront	1	450989.049976	1039.609
gqa2	128	4	2	legacy_grid_stride	1	669681.948161	1039.609
gqa2	128	4	3	band	1	671322.973816	1039.609
gqa2	128	4	4	balanced	0	576730.978041	1039.609
gqa2	128	5	0	rotate	1	450989.049976	1238.652
gqa2	128	5	1	wavefront	1	450989.049976	1238.652
gqa2	128	5	2	legacy_grid_stride	1	669681.948161	1238.652
gqa2	128	5	3	band	1	671322.973816	1238.652
gqa2	128	5	4	balanced	1	1036642.04095	1238.652
gqa2	512	1	0	rotate	1	755811.899597	3241.387
gqa2	512	1	1	wavefront	1	755811.899597	3241.387
gqa2	512	1	2	legacy_grid_stride	0	773890.84963	3241.387
gqa2	512	1	3	band	0	819737.003871	3241.387
gqa2	512	1	4	balanced	0	1396674.32748	3241.387
gqa2	512	2	0	rotate	1	755811.899597	3215.654
gqa2	512	2	1	wavefront	1	755811.899597	3215.654
gqa2	512	2	2	legacy_grid_stride	0	773890.84963	3215.654
gqa2	512	2	3	band	0	819737.003871	3215.654
gqa2	512	2	4	balanced	0	1396674.32748	3215.654
gqa2	512	3	0	rotate	1	755811.899597	4109.53
gqa2	512	3	1	wavefront	1	755811.899597	4109.53
gqa2	512	3	2	legacy_grid_stride	1	974504.797782	4109.53
gqa2	512	3	3	band	0	819737.003871	4109.53
gqa2	512	3	4	balanced	0	1396674.32748	4109.53
gqa2	512	4	0	rotate	1	755811.899597	5042.012
gqa2	512	4	1	wavefront	1	755811.899597	5042.012
gqa2	512	4	2	legacy_grid_stride	1	974504.797782	5042.012
gqa2	512	4	3	band	1	1026528.01103	5042.012
gqa2	512	4	4	balanced	0	1396674.32748	5042.012
gqa2	512	5	0	rotate	1	755811.899597	6183.902
gqa2	512	5	1	wavefront	1	755811.899597	6183.902
gqa2	512	5	2	legacy_grid_stride	1	974504.797782	6183.902
gqa2	512	5	3	band	1	1026528.01103	6183.902
gqa2	512	5	4	balanced	1	2264009.74493	6183.902
mha4	4	1	0	rotate	1	847111.614075	112.354
mha4	4	1	1	wavefront	1	847111.614075	112.354
mha4	4	1	2	legacy_grid_stride	0	1103470.61434	112.354
mha4	4	1	3	band	0	1103470.61434	112.354
mha4	4	1	4	balanced	0	1366498.90795	112.354
mha4	4	2	0	rotate	1	847111.614075	90.36
mha4	4	2	1	wavefront	1	847111.614075	90.36
mha4	4	2	2	legacy_grid_stride	0	1103470.61434	90.36
mha4	4	2	3	band	0	1103470.61434	90.36
mha4	4	2	4	balanced	0	1366498.90795	90.36
mha4	4	3	0	rotate	1	847111.614075	137.96
mha4	4	3	1	wavefront	1	847111.614075	137.96
mha4	4	3	2	legacy_grid_stride	1	1293589.18031	137.96
mha4	4	3	3	band	1	1293589.18031	137.96
mha4	4	3	4	balanced	0	1366498.90795	137.96
mha4	4	4	0	rotate	1	847111.614075	138.014
mha4	4	4	1	wavefront	1	847111.614075	138.014
mha4	4	4	2	legacy_grid_stride	1	1293589.18031	138.014
mha4	4	4	3	band	1	1293589.18031	138.014
