model	seq	candidate	prepare_us	coarse_us	full_us	coarse_ns	full_ns	binding_cp_ns	semantic_cp_ns	queue_lb_ns	readiness_us	cached_us
gqa2	4	legacy_grid_stride	37.627	8.922	23.332	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091	5.049	8.501
gqa2	4	rotate	37.627	6.388	18.335	344114.592952	421518.85283	344114.592952	344114.592952	61038.4362679	9.311	6.167
gqa2	4	balanced	37.627	8.49	19.477	687623.03762	859900.666384	687623.03762	344114.592952	392543.105409	5.48	8.189
gqa2	4	band	37.627	6.315	13.273	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091	4.117	7.354
gqa2	4	wavefront	37.627	6.685	13.971	344114.592952	421518.85283	344114.592952	344114.592952	344037.669874	4.533	6.842
gqa2	128	legacy_grid_stride	3207.519	101.712	239.893	567453.889733	669681.948161	567453.889733	350473.567366	564223.120475	63.305	134.498
gqa2	128	rotate	3207.519	70.626	194.903	363321.147629	450989.049976	363321.147629	350473.567366	90438.3797309	61.167	129.664
gqa2	128	balanced	3207.519	75.137	203.42	576730.978041	1036642.04095	576730.978041	350473.567366	156615.410483	61.998	136.751
gqa2	128	band	3207.519	68.829	193.518	569094.915389	671322.973816	569094.915389	350473.567366	562582.09482	60.793	130.184
gqa2	128	wavefront	3207.519	67.177	190.417	363321.147629	450989.049976	363321.147629	350473.567366	360090.37837	60.449	128.125
gqa2	512	legacy_grid_stride	40777.294	431.582	1054.274	773890.84963	974504.797782	773890.84963	370165.875228	761172.900802	277.919	672.53
gqa2	512	rotate	40777.294	414.394	871.385	569758.107525	755811.899597	569758.107525	370165.875228	299663.852187	294.185	600.206
gqa2	512	balanced	40777.294	345.814	927.264	1396674.32748	2264009.74493	1396674.32748	370165.875228	436718.012015	260.098	681.725
gqa2	512	band	40777.294	340.485	954.708	819737.003871	1026528.01103	819737.003871	370165.875228	717993.413251	243.041	757.838
gqa2	512	wavefront	40777.294	316.402	846.913	569758.107525	755811.899597	569758.107525	370165.875228	557450.415112	247.279	639.606
mha4	4	legacy_grid_stride	96.717	13.151	37.836	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818	8.684	18.473
mha4	4	rotate	96.717	9.996	33.262	688229.185904	847111.614075	688229.185904	688229.185904	122076.872536	14.569	13.442
mha4	4	balanced	96.717	12.962	27.761	1366498.90795	1697006.75023	1366498.90795	688229.185904	612921.626319	8.008	16.016
mha4	4	band	96.717	9.181	24.147	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818	7.225	15.713
mha4	4	wavefront	96.717	9.577	24.659	688229.185904	847111.614075	688229.185904	688229.185904	688075.339749	8.798	13.894
mha4	128	legacy_grid_stride	11888.433	246.92	571.95	1145358.87529	1376596.87347	1145358.87529	700947.134732	1138897.33677	167.811	442.888
mha4	128	rotate	11888.433	226.362	575.624	737093.39108	939211.077099	737093.39108	700947.134732	161361.295738	167.438	389.551
mha4	128	balanced	11888.433	207.294	592.654	2248301.63193	3859320.23628	2248301.63193	700947.134732	322065.88119	158.627	426.872
mha4	128	band	11888.433	184.109	558.234	1148640.9266	1379878.92478	1148640.9266	700947.134732	1135717.84957	155.266	415.55
mha4	128	wavefront	11888.433	200.525	542.848	737093.39108	939211.077099	737093.39108	700947.134732	730631.852563	153.31	386.345
mha4	512	legacy_grid_stride	159381.603	1349.092	2795.532	1589586.08255	2086248.73532	1589586.08255	740331.750455	1564970.69772	778.641	1765.822
mha4	512	rotate	159381.603	1211.408	2405.375	1181320.59834	1648862.93895	1181320.59834	740331.750455	647317.385938	790.81	1602.649
mha4	512	balanced	159381.603	1049.476	2509.734	6666403.47098	10078464.5212	6666403.47098	740331.750455	1818741.79726	659.792	1835.385
mha4	512	band	159381.603	1056.636	2735.08	1681278.39103	2191530.57361	1681278.39103	740331.750455	1484355.31241	663.026	2036.333
mha4	512	wavefront	159381.603	1024.24	2310.117	1181320.59834	1648862.93895	1181320.59834	740331.750455	1156705.21351	682.171	1595.878
real	4	legacy_grid_stride	922.258	61.265	263.093	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625	41.51	122.687
real	4	rotate	922.258	47.027	120.625	7995594.84006	8154477.26824	7995594.84006	7995594.84006	2589677.25825	43.334	70.97
real	4	balanced	922.258	47.64	139.492	102295054.394	103686547.267	102295054.394	7995594.84006	17145734.4052	43.153	85.608
real	4	band	922.258	41.954	126.562	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625	38.457	82.905
real	4	wavefront	922.258	40.305	116.077	7995594.84006	8154477.26824	7995594.84006	7995594.84006	7995193.82082	42.302	70.658
real	128	legacy_grid_stride	114952.438	1071.514	2037.946	12272063.6249	12806477.9991	12272063.6249	8028739.74807	12257092.2522	573.973	1212.65
real	128	rotate	114952.438	775.392	1631.346	8600097.0229	9105391.08491	8600097.0229	8028739.74807	3543047.54921	531.084	1079.004
real	128	balanced	114952.438	685.373	1621.009	26106495.7047	29008178.745	26106495.7047	8028739.74807	9430676.31424	423.602	1165.081
real	128	band	114952.438	742.518	1825.302	12400389.6768	12934804.051	12400389.6768	8028739.74807	12135182.5028	451.761	1355.164
real	128	wavefront	114952.438	761.712	1560.069	8600097.0229	9105391.08491	8600097.0229	8028739.74807	8585125.65018	446.359	1102.548
