producer	consumer	structure	predecessor	successor	all_producer
0	1	M:N	General	General	0
0	2	M:N	General	General	0
0	3	M:N	General	General	0
1	4	M:N	General	General	1
2	5	M:N	General	General	1
5	6	1:1	Unique	Unique	0
3	7	M:N	General	General	1
4	8	1:1	Unique	Unique	0
6	8	M:N	General	General	1
7	8	M:N	General	General	1
8	9	M:N	General	General	0
9	10	M:N	General	General	0
10	11	M:N	General	General	0
10	12	M:N	General	General	0
11	13	M:N	General	General	0
12	13	M:N	General	General	0
9	14	1:1	Unique	Unique	0
13	14	M:N	General	General	0
9	15	1:1	Unique	Unique	0
14	15	N:1	General	Unique	0
15	16	M:N	General	General	0
16	17	M:N	General	General	0
16	18	M:N	General	General	0
16	19	M:N	General	General	0
17	20	M:N	General	General	1
18	21	M:N	General	General	1
21	22	1:1	Unique	Unique	0
19	23	M:N	General	General	1
20	24	1:1	Unique	Unique	0
22	24	M:N	General	General	1
23	24	M:N	General	General	1
15	25	1:1	Unique	Unique	0
24	25	M:N	General	General	0
25	26	M:N	General	General	0
26	27	M:N	General	General	0
26	28	M:N	General	General	0
27	29	M:N	General	General	0
28	29	M:N	General	General	0
25	30	1:1	Unique	Unique	0
29	30	M:N	General	General	0
25	31	1:1	Unique	Unique	0
30	31	N:1	General	Unique	0
31	32	M:N	General	General	0
32	33	M:N	General	General	0
32	34	M:N	General	General	0
32	35	M:N	General	General	0
33	36	M:N	General	General	1
34	37	M:N	General	General	1
37	38	1:1	Unique	Unique	0
35	39	M:N	General	General	1
36	40	1:1	Unique	Unique	0
38	40	M:N	General	General	1
39	40	M:N	General	General	1
31	41	1:1	Unique	Unique	0
40	41	M:N	General	General	0
41	42	M:N	General	General	0
42	43	M:N	General	General	0
42	44	M:N	General	General	0
43	45	M:N	General	General	0
44	45	M:N	General	General	0
41	46	1:1	Unique	Unique	0
45	46	M:N	General	General	0
41	47	1:1	Unique	Unique	0
46	47	N:1	General	Unique	0
47	48	M:N	General	General	0
48	49	M:N	General	General	0
48	50	M:N	General	General	0
48	51	M:N	General	General	0
49	52	M:N	General	General	1
50	53	M:N	General	General	1
53	54	1:1	Unique	Unique	0
51	55	M:N	General	General	1
52	56	1:1	Unique	Unique	0
54	56	M:N	General	General	1
55	56	M:N	General	General	1
47	57	1:1	Unique	Unique	0
56	57	M:N	General	General	0
57	58	M:N	General	General	0
58	59	M:N	General	General	0
58	60	M:N	General	General	0
59	61	M:N	General	General	0
60	61	M:N	General	General	0
57	62	1:1	Unique	Unique	0
61	62	M:N	General	General	0
57	63	1:1	Unique	Unique	0
62	63	N:1	General	Unique	0
