rank	key	estimated	actual	re_solved	residency	level2_ns	simulated_ns
1	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k4;	6	5	1	3	274182	460862
2	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k8;	6	5	1	4	274609	425918
3	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;	6	5	1	4	279571	397419
4	32x16x32s2k1;32x16x32s2k1;32x16x32s2k2;32x16x32s2k4;	6	5	1	3	282054	505284
5	32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;32x16x32s2k2;	6	5	1	3	284820	467203
