producer	consumer	structure	predecessor	successor	all_producer
0	1	M:N	General	General	0
0	2	M:N	General	General	0
0	3	M:N	General	General	0
1	4	M:N	General	General	1
2	5	M:N	General	General	1
5	6	1:1	Unique	Unique	0
3	7	M:N	General	General	1
4	8	1:1	Unique	Unique	0
6	8	M:N	General	General	1
7	8	M:N	General	General	1
8	9	M:N	General	General	0
9	10	M:N	General	General	0
10	11	M:N	General	General	0
11	12	N:1	General	Unique	0
10	13	M:N	General	General	0
13	14	N:1	General	Unique	0
12	15	M:N	General	General	0
14	15	M:N	General	General	0
9	16	1:1	Unique	Unique	0
15	16	M:N	General	General	0
9	17	1:1	Unique	Unique	0
16	17	N:1	General	Unique	0
17	18	M:N	General	General	0
18	19	M:N	General	General	0
18	20	M:N	General	General	0
18	21	M:N	General	General	0
19	22	M:N	General	General	1
20	23	M:N	General	General	1
23	24	1:1	Unique	Unique	0
21	25	M:N	General	General	1
22	26	1:1	Unique	Unique	0
24	26	M:N	General	General	1
25	26	M:N	General	General	1
17	27	1:1	Unique	Unique	0
26	27	M:N	General	General	0
27	28	M:N	General	General	0
28	29	M:N	General	General	0
29	30	N:1	General	Unique	0
28	31	M:N	General	General	0
31	32	N:1	General	Unique	0
30	33	M:N	General	General	0
32	33	M:N	General	General	0
27	34	1:1	Unique	Unique	0
33	34	M:N	General	General	0
27	35	1:1	Unique	Unique	0
34	35	N:1	General	Unique	0
35	36	M:N	General	General	0
36	37	M:N	General	General	0
36	38	M:N	General	General	0
36	39	M:N	General	General	0
37	40	M:N	General	General	1
38	41	M:N	General	General	1
41	42	1:1	Unique	Unique	0
39	43	M:N	General	General	1
40	44	1:1	Unique	Unique	0
42	44	M:N	General	General	1
43	44	M:N	General	General	1
35	45	1:1	Unique	Unique	0
44	45	M:N	General	General	0
45	46	M:N	General	General	0
46	47	M:N	General	General	0
47	48	N:1	General	Unique	0
46	49	M:N	General	General	0
49	50	N:1	General	Unique	0
48	51	M:N	General	General	0
50	51	M:N	General	General	0
45	52	1:1	Unique	Unique	0
51	52	M:N	General	General	0
45	53	1:1	Unique	Unique	0
52	53	N:1	General	Unique	0
53	54	M:N	General	General	0
54	55	M:N	General	General	0
54	56	M:N	General	General	0
54	57	M:N	General	General	0
55	58	M:N	General	General	1
56	59	M:N	General	General	1
59	60	1:1	Unique	Unique	0
57	61	M:N	General	General	1
58	62	1:1	Unique	Unique	0
60	62	M:N	General	General	1
61	62	M:N	General	General	1
53	63	1:1	Unique	Unique	0
62	63	M:N	General	General	0
63	64	M:N	General	General	0
64	65	M:N	General	General	0
65	66	N:1	General	Unique	0
64	67	M:N	General	General	0
67	68	N:1	General	Unique	0
66	69	M:N	General	General	0
68	69	M:N	General	General	0
63	70	1:1	Unique	Unique	0
69	70	M:N	General	General	0
63	71	1:1	Unique	Unique	0
70	71	N:1	General	Unique	0
