slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
0	0	0	1	1	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1401	0	2385	2045	1857	188	5831
1	30	0	1	1	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1330	0	2295	1945	1757	188	5570
2	0	1	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1372	0	2359	1997	1809	188	5728
3	30	1	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1277	0	2346	1971	1783	188	5594
4	0	2	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1319	0	2254	1949	1761	188	5522
5	30	2	1	0	0	0	0	1	0	1024	0	0	1024	1024	0	2048	1242	0	2274	1927	1739	188	5443
6	0	3	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1268	0	2201	1879	1692	187	5348
7	30	3	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1201	0	2198	1868	1680	188	5267
8	2	0	0	1	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2250	1010	47366	3725	3308	417	54351
9	32	0	0	1	128	128	16	1	8192	1024	1024	16384	2048	1024	1024	20480	2200	1847	47163	3905	3487	418	55115
10	2	1	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2320	1026	47074	3806	3372	434	54226
11	32	1	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2257	1008	47059	4018	3584	434	54342
12	2	2	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2399	1045	47133	3897	3445	452	54474
13	32	2	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2310	1071	46662	3965	3514	451	54008
14	2	3	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2331	1337	46710	3851	3415	436	54229
15	32	3	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2242	1040	47304	3928	3490	438	54514
16	1	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2265	1007	47008	3728	3302	426	54008
17	31	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2180	1019	47245	3920	3496	424	54364
18	1	1	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2199	1009	46967	3561	3143	418	53736
19	31	1	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2131	1016	46970	3696	3281	415	53813
20	1	2	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2263	1017	47356	3616	3184	432	54252
21	31	2	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2199	1026	47425	3764	3334	430	54414
22	1	3	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2325	1016	46962	3656	3212	444	53959
23	31	3	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2260	1296	46647	3812	3369	443	54015
24	3	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2248	1031	46532	3832	3405	427	53643
25	33	0	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2240	1025	47089	3654	3228	426	54008
26	3	1	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2198	1019	46991	3793	3378	415	54001
27	33	1	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2181	1019	47216	3595	3180	415	54011
28	3	2	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2132	981	47124	3774	3377	397	54011
29	33	2	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2087	1001	46889	3512	3116	396	53489
30	3	3	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2192	1010	47433	3829	3422	407	54464
31	33	3	0	0	128	128	16	1	8192	1024	0	17408	1024	1024	0	19456	2142	999	47722	3547	3141	406	54410
32	5	0	2	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1289	0	1507	217	30	187	3013
33	35	0	2	1	0	0	0	1	0	1024	0	0	0	0	0	1024	1206	0	1508	217	30	187	2931
34	5	1	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1324	0	1753	217	30	187	3294
35	35	1	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1245	0	1517	217	30	187	2979
36	5	2	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1288	0	1503	217	30	187	3008
37	35	2	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1207	0	1492	217	30	187	2916
38	5	3	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1248	0	1444	217	30	187	2909
39	35	3	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1181	0	1431	217	30	187	2829
40	5	4	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1214	0	1410	217	30	187	2841
41	35	4	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1149	0	1406	217	30	187	2772
42	5	5	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1252	0	1450	217	30	187	2919
43	35	5	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1188	0	1447	217	30	187	2852
44	5	6	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1291	0	1497	217	30	187	3005
45	35	6	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1225	0	1484	217	30	187	2926
46	5	7	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1245	0	1462	217	30	187	2924
47	35	7	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1184	0	1455	217	30	187	2856
48	5	8	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1213	0	1418	217	30	187	2848
