model	seq	candidate	prepare_us	coarse_us	full_us	coarse_ns	full_ns	binding_cp_ns	semantic_cp_ns	queue_lb_ns	readiness_us	cached_us
gqa2	4	legacy_grid_stride	35.741	9.534	25.032	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091	4.985	9.177
gqa2	4	rotate	35.741	5.56	18.412	344114.592952	421518.85283	344114.592952	344114.592952	61038.4362679	8.782	6.483
gqa2	4	balanced	35.741	8.349	19.19	687623.03762	859900.666384	687623.03762	344114.592952	392543.105409	5.112	9.179
gqa2	4	band	35.741	5.64	14.355	551735.307169	644757.635947	551735.307169	344114.592952	551658.384091	4.278	7.867
gqa2	4	wavefront	35.741	6.432	14.278	344114.592952	421518.85283	344114.592952	344114.592952	344037.669874	4.814	6.705
gqa2	128	legacy_grid_stride	2919.453	85.967	219.373	567453.889733	669681.948161	567453.889733	350473.567366	564223.120475	75.55	125.02
gqa2	128	rotate	2919.453	63.054	192.795	363321.147629	450989.049976	363321.147629	350473.567366	90438.3797309	61.196	122.603
gqa2	128	balanced	2919.453	67.792	203.918	576730.978041	1036642.04095	576730.978041	350473.567366	156615.410483	64.169	135.085
gqa2	128	band	2919.453	67.629	185.986	569094.915389	671322.973816	569094.915389	350473.567366	562582.09482	62.007	120.674
gqa2	128	wavefront	2919.453	64.522	182.997	363321.147629	450989.049976	363321.147629	350473.567366	360090.37837	61.902	120.45
gqa2	512	legacy_grid_stride	68954.536	435.917	980.292	773890.84963	974504.797782	773890.84963	370165.875228	761172.900802	281.505	599.372
gqa2	512	rotate	68954.536	400.635	842.787	569758.107525	755811.899597	569758.107525	370165.875228	299663.852187	287.391	551.181
gqa2	512	balanced	68954.536	350.355	883.625	1396674.32748	2264009.74493	1396674.32748	370165.875228	436718.012015	247.698	650.278
gqa2	512	band	68954.536	316.575	949.522	819737.003871	1026528.01103	819737.003871	370165.875228	717993.413251	242.494	652.188
gqa2	512	wavefront	68954.536	306.488	787.485	569758.107525	755811.899597	569758.107525	370165.875228	557450.415112	243.573	558.969
mha4	4	legacy_grid_stride	94.942	13.992	39.726	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818	8.847	17.233
mha4	4	rotate	94.942	10.045	32.12	688229.185904	847111.614075	688229.185904	688229.185904	122076.872536	14.889	13.275
mha4	4	balanced	94.942	12.998	27.644	1366498.90795	1697006.75023	1366498.90795	688229.185904	612921.626319	7.765	15.236
mha4	4	band	94.942	8.778	24.548	1103470.61434	1293589.18031	1103470.61434	688229.185904	1103316.76818	7.726	15.031
mha4	4	wavefront	94.942	10.23	24.325	688229.185904	847111.614075	688229.185904	688229.185904	688075.339749	8.912	13.237
mha4	128	legacy_grid_stride	11860.853	249.504	533.523	1145358.87529	1376596.87347	1145358.87529	700947.134732	1138897.33677	159.393	392.706
mha4	128	rotate	11860.853	238.038	525.574	737093.39108	939211.077099	737093.39108	700947.134732	161361.295738	157.502	353.463
mha4	128	balanced	11860.853	203.095	542.198	2248301.63193	3859320.23628	2248301.63193	700947.134732	322065.88119	149.699	389.642
mha4	128	band	11860.853	189.069	534.091	1148640.9266	1379878.92478	1148640.9266	700947.134732	1135717.84957	148.837	363.86
mha4	128	wavefront	11860.853	188.972	531.926	737093.39108	939211.077099	737093.39108	700947.134732	730631.852563	147.904	353.898
mha4	512	legacy_grid_stride	153317.13	1397.925	2633.135	1589586.08255	2086248.73532	1589586.08255	740331.750455	1564970.69772	765.73	1632.948
mha4	512	rotate	153317.13	1150.871	2287.849	1181320.59834	1648862.93895	1181320.59834	740331.750455	647317.385938	793.309	1442.486
mha4	512	balanced	153317.13	1074.152	2422.009	6666403.47098	10078464.5212	6666403.47098	740331.750455	1818741.79726	662.756	1805.103
mha4	512	band	153317.13	1059.247	2586.432	1681278.39103	2191530.57361	1681278.39103	740331.750455	1484355.31241	647.936	1911.295
mha4	512	wavefront	153317.13	1022.91	2269.786	1181320.59834	1648862.93895	1181320.59834	740331.750455	1156705.21351	668.947	1488.704
real	4	legacy_grid_stride	475.081	39.923	98.149	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625	27.86	58.484
real	4	rotate	475.081	28.965	76.727	7995594.84006	8154477.26824	7995594.84006	7995594.84006	2589677.25825	28.938	45.252
real	4	balanced	475.081	32.867	89.423	102295054.394	103686547.267	102295054.394	7995594.84006	17145734.4052	28.433	55.244
real	4	band	475.081	29.059	83.62	11674910.8818	11865029.4477	11674910.8818	7995594.84006	11674509.8625	26.434	53.123
real	4	wavefront	475.081	28.036	74.152	7995594.84006	8154477.26824	7995594.84006	7995594.84006	7995193.82082	28.556	44.618
real	128	legacy_grid_stride	115648.521	1115.771	1868.04	12272063.6249	12806477.9991	12272063.6249	8028739.74807	12257092.2522	557.62	1528.971
real	128	rotate	115648.521	998.412	2466.775	8600097.0229	9105391.08491	8600097.0229	8028739.74807	3543047.54921	785.623	1660.036
real	128	balanced	115648.521	876.001	2548.311	26106495.7047	29008178.745	26106495.7047	8028739.74807	9430676.31424	625.094	1575.095
real	128	band	115648.521	694.288	1737.932	12400389.6768	12934804.051	12400389.6768	8028739.74807	12135182.5028	436.434	1251.873
real	128	wavefront	115648.521	716.335	1508.532	8600097.0229	9105391.08491	8600097.0229	8028739.74807	8585125.65018	445.582	1081.713
