model	seq	k	index	candidate	simulated	predicted_ns	batch_us
gqa2	4	1	0	rotate	1	421518.85283	55.592
gqa2	4	1	1	wavefront	1	421518.85283	55.592
gqa2	4	1	2	legacy_grid_stride	0	551735.307169	55.592
gqa2	4	1	3	band	0	551735.307169	55.592
gqa2	4	1	4	balanced	0	687623.03762	55.592
gqa2	4	2	0	rotate	1	421518.85283	50.032
gqa2	4	2	1	wavefront	1	421518.85283	50.032
gqa2	4	2	2	legacy_grid_stride	0	551735.307169	50.032
gqa2	4	2	3	band	0	551735.307169	50.032
gqa2	4	2	4	balanced	0	687623.03762	50.032
gqa2	4	3	0	rotate	1	421518.85283	75.214
gqa2	4	3	1	wavefront	1	421518.85283	75.214
gqa2	4	3	2	legacy_grid_stride	1	644757.635947	75.214
gqa2	4	3	3	band	1	644757.635947	75.214
gqa2	4	3	4	balanced	0	687623.03762	75.214
gqa2	4	4	0	rotate	1	421518.85283	73.004
gqa2	4	4	1	wavefront	1	421518.85283	73.004
gqa2	4	4	2	legacy_grid_stride	1	644757.635947	73.004
gqa2	4	4	3	band	1	644757.635947	73.004
gqa2	4	4	4	balanced	0	687623.03762	73.004
gqa2	4	5	0	rotate	1	421518.85283	88.518
gqa2	4	5	1	wavefront	1	421518.85283	88.518
gqa2	4	5	2	legacy_grid_stride	1	644757.635947	88.518
gqa2	4	5	3	band	1	644757.635947	88.518
gqa2	4	5	4	balanced	1	859900.666384	88.518
gqa2	128	1	0	rotate	1	450989.049976	694.63
gqa2	128	1	1	wavefront	1	450989.049976	694.63
gqa2	128	1	2	legacy_grid_stride	0	567453.889733	694.63
gqa2	128	1	3	band	0	569094.915389	694.63
gqa2	128	1	4	balanced	0	576730.978041	694.63
gqa2	128	2	0	rotate	1	450989.049976	676.633
gqa2	128	2	1	wavefront	1	450989.049976	676.633
gqa2	128	2	2	legacy_grid_stride	0	567453.889733	676.633
gqa2	128	2	3	band	0	569094.915389	676.633
gqa2	128	2	4	balanced	0	576730.978041	676.633
gqa2	128	3	0	rotate	1	450989.049976	858.671
gqa2	128	3	1	wavefront	1	450989.049976	858.671
gqa2	128	3	2	legacy_grid_stride	1	669681.948161	858.671
gqa2	128	3	3	band	0	569094.915389	858.671
gqa2	128	3	4	balanced	0	576730.978041	858.671
gqa2	128	4	0	rotate	1	450989.049976	1037.489
gqa2	128	4	1	wavefront	1	450989.049976	1037.489
gqa2	128	4	2	legacy_grid_stride	1	669681.948161	1037.489
gqa2	128	4	3	band	1	671322.973816	1037.489
gqa2	128	4	4	balanced	0	576730.978041	1037.489
gqa2	128	5	0	rotate	1	450989.049976	1221.197
gqa2	128	5	1	wavefront	1	450989.049976	1221.197
gqa2	128	5	2	legacy_grid_stride	1	669681.948161	1221.197
gqa2	128	5	3	band	1	671322.973816	1221.197
gqa2	128	5	4	balanced	1	1036642.04095	1221.197
gqa2	512	1	0	rotate	1	755811.899597	3207.468
gqa2	512	1	1	wavefront	1	755811.899597	3207.468
gqa2	512	1	2	legacy_grid_stride	0	773890.84963	3207.468
gqa2	512	1	3	band	0	819737.003871	3207.468
gqa2	512	1	4	balanced	0	1396674.32748	3207.468
gqa2	512	2	0	rotate	1	755811.899597	3243.881
gqa2	512	2	1	wavefront	1	755811.899597	3243.881
gqa2	512	2	2	legacy_grid_stride	0	773890.84963	3243.881
gqa2	512	2	3	band	0	819737.003871	3243.881
gqa2	512	2	4	balanced	0	1396674.32748	3243.881
gqa2	512	3	0	rotate	1	755811.899597	3967.524
gqa2	512	3	1	wavefront	1	755811.899597	3967.524
gqa2	512	3	2	legacy_grid_stride	1	974504.797782	3967.524
gqa2	512	3	3	band	0	819737.003871	3967.524
gqa2	512	3	4	balanced	0	1396674.32748	3967.524
gqa2	512	4	0	rotate	1	755811.899597	4834.475
gqa2	512	4	1	wavefront	1	755811.899597	4834.475
gqa2	512	4	2	legacy_grid_stride	1	974504.797782	4834.475
gqa2	512	4	3	band	1	1026528.01103	4834.475
gqa2	512	4	4	balanced	0	1396674.32748	4834.475
gqa2	512	5	0	rotate	1	755811.899597	5823.686
gqa2	512	5	1	wavefront	1	755811.899597	5823.686
gqa2	512	5	2	legacy_grid_stride	1	974504.797782	5823.686
gqa2	512	5	3	band	1	1026528.01103	5823.686
gqa2	512	5	4	balanced	1	2264009.74493	5823.686
mha4	4	1	0	rotate	1	847111.614075	100.126
mha4	4	1	1	wavefront	1	847111.614075	100.126
mha4	4	1	2	legacy_grid_stride	0	1103470.61434	100.126
mha4	4	1	3	band	0	1103470.61434	100.126
mha4	4	1	4	balanced	0	1366498.90795	100.126
mha4	4	2	0	rotate	1	847111.614075	94.487
mha4	4	2	1	wavefront	1	847111.614075	94.487
mha4	4	2	2	legacy_grid_stride	0	1103470.61434	94.487
mha4	4	2	3	band	0	1103470.61434	94.487
mha4	4	2	4	balanced	0	1366498.90795	94.487
mha4	4	3	0	rotate	1	847111.614075	138.705
mha4	4	3	1	wavefront	1	847111.614075	138.705
mha4	4	3	2	legacy_grid_stride	1	1293589.18031	138.705
mha4	4	3	3	band	1	1293589.18031	138.705
mha4	4	3	4	balanced	0	1366498.90795	138.705
mha4	4	4	0	rotate	1	847111.614075	139.013
mha4	4	4	1	wavefront	1	847111.614075	139.013
mha4	4	4	2	legacy_grid_stride	1	1293589.18031	139.013
mha4	4	4	3	band	1	1293589.18031	139.013
mha4	4	4	4	balanced	0	1366498.90795	139.013
mha4	4	5	0	rotate	1	847111.614075	161.922
mha4	4	5	1	wavefront	1	847111.614075	161.922
mha4	4	5	2	legacy_grid_stride	1	1293589.18031	161.922
mha4	4	5	3	band	1	1293589.18031	161.922
mha4	4	5	4	balanced	1	1697006.75023	161.922
mha4	128	1	0	rotate	1	939211.077099	1893.019
mha4	128	1	1	wavefront	1	939211.077099	1893.019
mha4	128	1	2	legacy_grid_stride	0	1145358.87529	1893.019
mha4	128	1	3	band	0	1148640.9266	1893.019
mha4	128	1	4	balanced	0	2248301.63193	1893.019
mha4	128	2	0	rotate	1	939211.077099	1953.159
mha4	128	2	1	wavefront	1	939211.077099	1953.159
mha4	128	2	2	legacy_grid_stride	0	1145358.87529	1953.159
mha4	128	2	3	band	0	1148640.9266	1953.159
mha4	128	2	4	balanced	0	2248301.63193	1953.159
