placement	kappa	residency	grid	zero_sync_floor_ns	semantic_cp_ns	queue_lb_ns	predicted_ns	source
eft	4	3	384	1.03893e+06	359223	1.03893e+06	1.30957e+06	/root/TileMega/docs/experiments/REBASE/raw/real_s4/eft.cu
wavefront	4	3	384	1.03959e+06	359223	1.03939e+06	1.31452e+06	/root/TileMega/docs/experiments/REBASE/raw/real_s4/wavefront.cu
rotate	4	3	384	1.08533e+06	359223	861821	1.34896e+06	/root/TileMega/docs/experiments/REBASE/raw/real_s4/rotate.cu
chain	4	3	384	1.14548e+06	359223	870734	1.41958e+06	/root/TileMega/docs/experiments/REBASE/raw/real_s4/chain.cu
legacy_grid_stride	4	3	384	1.15104e+06	359223	1.15084e+06	1.49697e+06	/root/TileMega/docs/experiments/REBASE/raw/real_s4/legacy_grid_stride.cu
balanced	4	3	384	2.49676e+07	359223	3.92275e+06	2.70013e+07	/root/TileMega/docs/experiments/REBASE/raw/real_s4/balanced.cu
