round	execution_index	model	split	seq	past	grid	threads	task_refs	waits	max_worker_tasks	hash	status	log_sha256
0	54	gqa2	16	4	512	256	128	5512	3496		b5e535d4fb302065	PASS	3bf5664fa6c08984fa8c2944dd7bad5dfc7ca34e401a710ab2db21c4e64c394f
0	55	mha4	1	4	512	256	128	16816	3060		24d954801baa8262	PASS	973bf9d3287d4b44d90fde3dc0421b1dfa0aa1ca376ef1cdf0309197e36c826a
0	56	mha4	2	4	512	256	128	17536	3608		ce3a3b0d25231c2e	PASS	d739f6ffdd4c71dafbfdeaf6c92debb083ccd9d4bbd388ac0c8f992908ad3b71
0	57	mha4	4	4	512	256	128	17824	4112		a09acc9b630fa3dd	PASS	651aadfecf1af93c0b1023c73a640a145ed4e3d885758513b9ed58b04d8d5767
0	58	mha4	8	4	512	256	128	18400	5120		1d82e34aeeae7264	PASS	9e3b6c002766e7771818d921653f66c94ccf8fd2608bb140028b8e690037a322
0	59	mha4	16	4	512	256	128	19552	7136		1d82e34aeeae7264	PASS	ce5f6d137708d730fb0e3088fb131e109f47f711773b19314997b8d670f3e003
0	60	gqa2	1	128	0	256	128	5440	13012		9ea9695e933dc643	PASS	54fa0a87e616834a8287ea6b40eb54dbec9765e2da554571d71e566122503eff
0	61	gqa2	2	128	0	256	128	13696	14448		6abbf8cda681e590	PASS	b67b3fcc1eab987cdfee091703f19843fc1136fd07a7287f947fb453aa22429f
0	62	gqa2	4	128	0	256	128	13824	20576		c3f3a64a18223d67	PASS	bdf4c9d443b3d4205ca3ea5197d5c1409913b888c5e8b5316e80957057267594
0	63	gqa2	8	128	0	256	128	14080	32832		10569f835bb8b2f3	PASS	80509c8328a59b77ae74eee47f0dbeef8ffc375c061b7cb20ed4674165a66140
0	64	gqa2	16	128	0	256	128	14592	57344		231d0db21fd471ed	PASS	55c797a270c3fa70b5b5472e3da432292af16d14ee76dc6124f9d26d0c41d5b4
0	65	mha4	1	128	0	256	128	13456	27044		74ca67454e867370	PASS	552c5994fca0de6033dda7ce4804f5291a8d4b96301379b2bf43f1fae4cdd49f
0	66	mha4	2	128	0	256	128	32032	29536		de344e26127aea8b	PASS	a902fd37e9841d5d5b978841cc98161f00f47efaf8ee5703f0dace8263a8e4d6
0	67	mha4	4	128	0	256	128	32320	41792		16a6b3ba44f9dd14	PASS	d22a762e17f6755d98119b2700e1d776bdc2bb0f418b79b7ea849fb8a7633bd0
0	68	mha4	8	128	0	256	128	32896	66304		f715e88257c602e6	PASS	a26d0787d52a4603250c0071d6726214800a0528fed7e0e48cca21eeaa714b5d
0	69	mha4	16	128	0	256	128	34048	115328		c4ec4c3b3f85b44d	PASS	76778d7deaf42648b6e87f66a82a5274d0558ce842dbd668ce511960cdfc810c
