rank	key	estimated	actual	re_solved	residency	level2_ns	simulated_ns
1	32x16x32s2k4;32x16x32s2k16;32x16x32s2k16;32x16x32s2k4;32x16x32s2k8;	6	5	1	4	88292.7	161446
2	32x16x32s2k4;32x16x32s2k16;32x16x32s2k16;32x16x32s2k4;32x16x32s2k16;	6	5	1	5	88299.6	163095
3	32x16x32s2k4;32x16x32s2k16;32x16x32s2k16;32x16x32s2k4;32x16x32s2k4;	6	5	1	4	91338.3	164958
4	32x16x32s2k4;32x16x32s2k16;32x16x32s2k16;32x16x32s2k1;32x16x32s2k16;	6	5	1	4	92448	159923
5	32x16x32s2k4;32x16x32s2k16;32x16x32s2k16;32x16x32s2k2;32x16x32s2k16;	6	5	1	5	92516	167160
