solver	model	seq	phase	count	total_ms
skeleton	gqa2	4	analysis_cache_hit	163811	0
skeleton	gqa2	4	analysis_cache_miss	770	0
skeleton	gqa2	4	bridge_and_plan	1	7.64085
skeleton	gqa2	4	cache_hit	3552	0
skeleton	gqa2	4	cache_miss	108	0
skeleton	gqa2	4	derive	36	412.664
skeleton	gqa2	4	derive_alignment	5	486.036
skeleton	gqa2	4	import	1	3.62029
skeleton	gqa2	4	instantiate	36	12.6521
skeleton	gqa2	4	level2	211	10608.4
skeleton	gqa2	4	megakernel_compile	5	229750
skeleton	gqa2	4	oracle	3278669	1022.39
skeleton	gqa2	4	oracle_general	213789	87.93
skeleton	gqa2	4	oracle_rectangular	0	0
skeleton	gqa2	4	oracle_unique	3064880	934.461
skeleton	gqa2	4	resource_probe	36	3234.78
skeleton	gqa2	4	search_evaluations	26	0
skeleton	gqa2	4	search_rounds	1	0
skeleton	gqa2	4	simulate	5	4.0878
skeleton	gqa2	4	skeleton	211	35466.3
skeleton	gqa2	4	task_pricing	211	1.70416e+06
skeleton	gqa2	4	total	1	2.00217e+06
